population,family,family_ko,fragrantica_id,brand,name,top1,margin
korea200,MUSK,머스크·파우더리,131717,Diptyque,Fleur de Peau,0.5436,0.3378
korea200,MUSK,머스크·파우더리,93865,SW19,Midnight,0.5097,0.2581
korea200,MUSK,머스크·파우더리,20542,Maison Martin Margiela,Lazy Sunday Morning,0.5056,0.1685
korea200,MUSK,머스크·파우더리,122211,Narciso Rodriguez,Pure Musc Blanc For Her,0.4846,0.2654
global1000,CITRUS,시트러스,728,Moschino,Cheap & Chic I Love Love,0.5417,0.4213
global1000,CITRUS,시트러스,3256,4711,4711 Original Eau de Cologne,0.5388,0.335
global1000,CITRUS,시트러스,67370,Louis Vuitton,Imagination,0.5285,0.2967
global1000,CITRUS,시트러스,92647,Versace,Eros Energy,0.5181,0.3523
global1000,CITRUS,시트러스,1215,Moschino,Moschino Funny!,0.4662,0.3543
global1000,FRUITY,프루티,17145,The Body Shop,Mango,0.6207,0.4138
global1000,FRUITY,프루티,46098,Xerjoff,Cruz del Sur II,0.5183,0.25
global1000,FRUITY,프루티,66098,Moschino,Toy 2 Bubble Gum,0.4088,0.1824
global1000,FRUITY,프루티,1835,Lalique,Amethyst,0.3968,0.2103
global1000,FRUITY,프루티,105520,French Avenue,Vulcan Feu,0.396,0.194
global1000,FLORAL,플로럴,44894,Gucci,Gucci Bloom,0.8,0.7091
global1000,FLORAL,플로럴,15924,By Kilian,Good Girl Gone Bad,0.6848,0.5157
global1000,FLORAL,플로럴,27997,Juliette Has A Gun,Moon Dance,0.6582,0.4218
global1000,FLORAL,플로럴,808,Avon,Today,0.6507,0.5042
global1000,FLORAL,플로럴,94,Yves Saint Laurent,Paris,0.6299,0.443
global1000,GREEN,그린·아로마틱,7344,O Boticário,Thaty,0.5815,0.4486
global1000,GREEN,그린·아로마틱,8315,O Boticário,Ma Chérie,0.5396,0.2256
global1000,GREEN,그린·아로마틱,614,Chanel,Egoiste Platinum,0.5394,0.2727
global1000,GREEN,그린·아로마틱,43531,Etat Libre d'Orange,You Or Someone Like You,0.5358,0.3515
global1000,GREEN,그린·아로마틱,70424,Xerjoff,Torino21,0.5331,0.3228
global1000,AQUATIC,아쿠아틱,55963,Valentino,Valentino Uomo Born in Roma,0.5397,0.3272
global1000,AQUATIC,아쿠아틱,47255,Escada,Sorbetto Rosso,0.5058,0.3216
global1000,AQUATIC,아쿠아틱,96740,Diptyque,Lilyphéa,0.4929,0.2946
global1000,AQUATIC,아쿠아틱,42747,Hermès,Eau des Merveilles Bleue,0.4928,0.1971
global1000,AQUATIC,아쿠아틱,95642,Issey Miyake,Le Sel d’Issey,0.4555,0.1081
global1000,WOODY,우디,12863,Bottega Veneta,Bottega Veneta,0.7531,0.6607
global1000,WOODY,우디,43040,Gucci,Gucci Guilty Absolute,0.7317,0.6067
global1000,WOODY,우디,616,Chanel,Antaeus,0.6595,0.4902
global1000,WOODY,우디,12792,Новая Заря (The New Dawn),Mystere,0.6281,0.4421
global1000,WOODY,우디,6332,Le Labo,Patchouli 24,0.6243,0.3579
global1000,AMBER,앰버·스파이시,75064,Amouage,Opus XIV – Royal Tobacco,0.761,0.6265
global1000,AMBER,앰버·스파이시,42260,Initio Parfums Prives,Side Effect,0.7472,0.6287
global1000,AMBER,앰버·스파이시,15294,Amouage,Interlude Man,0.6707,0.3415
global1000,AMBER,앰버·스파이시,13857,Viktor&Rolf,Spicebomb,0.6537,0.5585
global1000,AMBER,앰버·스파이시,3606,Escentric Molecules,Molecule 02,0.625,0.25
global1000,GOURMAND,구르망,30551,Chabaud Maison de Parfum,Lait Concentré,0.8876,0.8101
