note,accord,p,lift
Juniper Berries,woody,0.9141,1.481
Juniper Berries,fresh spicy,0.864,2.4113
Juniper Berries,citrus,0.5433,1.1953
Kaffir Lime,citrus,0.9545,2.1
Kaffir Lime,woody,0.6667,1.0801
Kaffir Lime,aromatic,0.6364,1.5375
Kaffir Lime,fresh spicy,0.6212,1.7338
Kaffir Lime,amber,0.5303,1.5384
Kiwi,fruity,0.9118,2.7831
Kiwi,sweet,0.7326,1.5943
Kiwi,fresh,0.6631,2.6131
Kiwi,woody,0.5374,0.8707
Kiwi,floral,0.5267,1.4917
Kiwi,tropical,0.516,10.4548
Kumquat,citrus,0.8889,1.9555
Kumquat,aromatic,0.6405,1.5475
Kumquat,woody,0.6405,1.0377
Kumquat,fresh,0.5261,2.0734
Kumquat,sweet,0.5261,1.145
Labdanum,woody,0.8247,1.3361
Labdanum,amber,0.8089,2.3465
Labdanum,warm spicy,0.5786,1.6844
Labdanum,aromatic,0.5037,1.217
Lactones,sweet,0.6907,1.5031
Lactones,vanilla,0.5979,2.2824
Lactones,powdery,0.5979,1.2544
Lactones,woody,0.5876,0.952
Laotian Oud,woody,0.9082,1.4714
Laotian Oud,oud,0.8502,13.518
Laotian Oud,warm spicy,0.5604,1.6314
Laotian Oud,animalic,0.5556,4.0179
Laotian Oud,amber,0.5507,1.5976
Laurels,fresh spicy,0.8205,2.29
Laurels,aromatic,0.8154,1.97
Laurels,woody,0.7744,1.2546
Lavender,aromatic,0.859,2.0753
Lavender,woody,0.7218,1.1693
Lavender,fresh spicy,0.721,2.0122
Lavender,lavender,0.6347,10.0444
Lavender,citrus,0.5709,1.2559
Lavender Extract,aromatic,0.9178,2.2175
Lavender Extract,fresh spicy,0.8082,2.2557
Lavender Extract,lavender,0.726,11.4905
Lavender Extract,woody,0.6575,1.0653
Leather,leather,0.7244,8.8423
Leather,woody,0.7208,1.1678
Leather,warm spicy,0.5196,1.5126
Lemon,citrus,0.8376,1.8427
Lemon,woody,0.6957,1.1272
Lemon,aromatic,0.6862,1.6579
Lemon Balm,fresh spicy,0.8696,2.4269
Lemon Balm,aromatic,0.7681,1.8558
Lemon Balm,citrus,0.7536,1.6579
Lemon Balm,sweet,0.5797,1.2615
Lemon Balm,woody,0.5217,0.8453
Lemon Blossom,white floral,0.7465,2.4936
Lemon Blossom,citrus,0.7189,1.5815
Lemon Blossom,woody,0.5069,0.8213
Lemon Leaf,citrus,0.7879,1.7333
Lemon Leaf,aromatic,0.7576,1.8303
Lemon Leaf,green,0.6515,2.8887
Lemon Leaf,fresh spicy,0.6515,1.8183
Lemon Leaf,woody,0.6515,1.0555
Lemon Peel,citrus,0.9028,1.9861
Lemon Peel,aromatic,0.6944,1.6778
Lemon Peel,woody,0.5972,0.9676
Lemon Tree,citrus,0.7733,1.7013
Lemon Tree,woody,0.68,1.1017
Lemon Tree,white floral,0.5067,1.6924
Lemon Verbena,citrus,0.9277,2.0409
Lemon Verbena,aromatic,0.8296,2.0044
Lemon Verbena,fresh spicy,0.6833,1.9071
Lemon Verbena,woody,0.6179,1.0011
Lemon Zest,citrus,0.8585,1.8887
Lemon Zest,woody,0.627,1.0158
Lemonade,sweet,0.963,2.0956
Lemonade,citrus,0.9074,1.9963
Lemonade,fresh,0.8333,3.284
Lemonade,fruity,0.537,1.6392
Lemongrass,fresh spicy,0.8753,2.4429
Lemongrass,citrus,0.8753,1.9257
Lemongrass,aromatic,0.8005,1.934
Lemongrass,woody,0.591,0.9575
Liatris,floral,0.7826,2.2163
Liatris,sweet,0.6667,1.4508
Liatris,woody,0.6087,0.9862
Lichen,earthy,0.7797,5.3998
Lichen,woody,0.7119,1.1533
Lichen,mossy,0.6949,14.8518
Lichen,aromatic,0.678,1.638
Licorice,sweet,0.7844,1.707
Licorice,soft spicy,0.7471,7.2147
Licorice,woody,0.5731,0.9285
Light Amber,amber,0.7308,2.1199
Light Amber,woody,0.7308,1.1839
Light Amber,sweet,0.5769,1.2555
Lilac,floral,0.9351,2.6481
Lilac,fresh,0.7198,2.8367
Lilac,powdery,0.5653,1.1859
Lilac,green,0.53,2.3499
Lilac,woody,0.5039,0.8164
Lily,white floral,0.8371,2.796
Lily,woody,0.5762,0.9335
Lily,powdery,0.5371,1.1269
Lily of the Valley,white floral,0.7726,2.5808
Lily of the Valley,fresh,0.6242,2.4597
Lily of the Valley,woody,0.5775,0.9356
Lily of the Valley,powdery,0.5465,1.1466
Lily of the Valley,citrus,0.515,1.1329
Lily-of-the-Valley,white floral,0.7178,2.3977
Lily-of-the-Valley,woody,0.6076,0.9843
Lily-of-the-Valley,fresh,0.5704,2.2477
Lily-of-the-Valley,powdery,0.5597,1.1743
Lily-of-the-Valley,floral,0.5426,1.5366
Lime,citrus,0.8739,1.9225
Lime,woody,0.7092,1.149
Lime,aromatic,0.648,1.5656
Lime,fresh spicy,0.6076,1.6958
Lime (Linden Blossom),sweet,0.7231,1.5735
Lime (Linden Blossom),floral,0.6923,1.9606
Lime (Linden Blossom),green,0.5692,2.5239
Lime (Linden Blossom),citrus,0.5692,1.2523
Lime (Linden Blossom),yellow floral,0.5538,10.4593
Lime (Linden) Blossom,sweet,0.8712,1.8958
Lime (Linden) Blossom,yellow floral,0.7546,14.2506
Lime (Linden) Blossom,floral,0.681,1.9285
Lime (Linden) Blossom,green,0.5859,2.5978
Lime (Linden) Blossom,powdery,0.5429,1.1391
Linden Blossom,sweet,0.8013,1.7437
Linden Blossom,powdery,0.6603,1.3852
Linden Blossom,yellow floral,0.6538,12.3478
Linden Blossom,floral,0.6346,1.7972
Linden Blossom,woody,0.5385,0.8724
Linden Blossom,green,0.5128,2.2738
Linen,musky,0.7619,2.4425
Linen,powdery,0.5905,1.2388
Linen,woody,0.5619,0.9104
Linen,citrus,0.5048,1.1105
Lipstick,powdery,0.9608,2.0157
Lipstick,rose,0.6667,3.4334
Lipstick,sweet,0.549,1.1948
Liquor,sweet,0.7888,1.7167
Liquor,fruity,0.5777,1.7633
Liquor,woody,0.5657,0.9166
Liquor,alcohol,0.5458,467.5948
Liquor,warm spicy,0.51,1.4846
Litchi,fruity,0.8648,2.6396
Litchi,fresh,0.6762,2.6649
Litchi,floral,0.6311,1.7874
Litchi,woody,0.5111,0.8281
Litchi,rose,0.5,2.575
Litsea Cubeba,citrus,0.8917,1.9618
Litsea Cubeba,fresh spicy,0.7325,2.0443
Litsea Cubeba,aromatic,0.6815,1.6466
Litsea Cubeba,woody,0.6561,1.0629
Litsea Cubeba,green,0.5032,2.2311
Lotus,floral,0.8809,2.4946
Lotus,woody,0.585,0.9477
Lychee,fruity,0.8463,2.5832
Lychee,fresh,0.6696,2.6388
Lychee,floral,0.6042,1.7112
Lychee,rose,0.5477,2.8207
Macadamia,sweet,0.8246,1.7944
Macadamia,nutty,0.7895,28.7801
Macadamia,vanilla,0.5614,2.143
Macadamia,powdery,0.5439,1.141
Macarons,sweet,0.9884,2.1509
Macarons,vanilla,0.7326,2.7963
Macarons,almond,0.6512,24.9878
Macarons,fruity,0.6395,1.9521
Macarons,powdery,0.5349,1.1222
Mace,woody,0.7875,1.2758
Mace,fresh spicy,0.775,2.163
Mace,warm spicy,0.6875,2.0014
Mace,aromatic,0.65,1.5704
Mace,amber,0.525,1.523
Madagascar Cloves,warm spicy,0.9,2.62
Madagascar Cloves,woody,0.76,1.2313
Madagascar Cloves,aromatic,0.54,1.3047
Madagascar Vanilla,vanilla,0.7821,2.9856
Madagascar Vanilla,sweet,0.6688,1.4555
Madagascar Vanilla,powdery,0.65,1.3636
Madagascar Vanilla,woody,0.5483,0.8883
Madagascar Vetiver,woody,0.902,1.4613
Madagascar Vetiver,aromatic,0.8235,1.9897
Madagascar Vetiver,earthy,0.549,3.8024
Madagascar Ylang-Ylang,woody,0.8172,1.324
Madagascar Ylang-Ylang,sweet,0.7527,1.638
Madagascar Ylang-Ylang,yellow floral,0.6129,11.5746
Madagascar Ylang-Ylang,white floral,0.6129,2.0473
Madagascar Ylang-Ylang,citrus,0.5484,1.2064
Magnolia,floral,0.8697,2.463
Magnolia,citrus,0.7035,1.5477
Magnolia,woody,0.5813,0.9417
Magnolia,powdery,0.5213,1.0937
Magnolia,fruity,0.5008,1.5285
Mahogany,woody,0.9206,1.4914
Mahogany,aromatic,0.535,1.2927
Mahonial,floral,0.6667,1.888
Mahonial,woody,0.5942,0.9627
Mahonial,amber,0.5797,1.6817
Mahonial,sweet,0.5652,1.23
Mahonial,citrus,0.5217,1.1478
Mahonial,warm spicy,0.5072,1.4767
Malaysian Oud,woody,0.7358,1.1922
Malaysian Oud,fresh spicy,0.5472,1.5271
Malt,woody,0.7407,1.2001
Malt,sweet,0.5926,1.2896
Malt,warm spicy,0.5432,1.5814
Malt,whiskey,0.5062,82.6478
Maltol,sweet,0.9462,2.0592
Maltol,woody,0.6237,1.0104
Maltol,fruity,0.5484,1.6739
Maltol,powdery,0.5161,1.0828
Mandarin,citrus,0.7972,1.7539
Mandarin,woody,0.6334,1.0262
Mandarin,sweet,0.5078,1.1051
Mandarin Blossom,citrus,0.8125,1.7875
Mandarin Blossom,white floral,0.7679,2.5648
Mandarin Blossom,floral,0.6607,1.8711
Mandarin Blossom,sweet,0.5536,1.2047
Mandarin Leaf,citrus,0.7629,1.6783
Mandarin Leaf,woody,0.7526,1.2193
Mandarin Leaf,aromatic,0.7216,1.7435
Mandarin Orange,citrus,0.8202,1.8044
Mandarin Orange,woody,0.6654,1.078
Mandarin Orange,powdery,0.5088,1.0674
Mango,sweet,0.8955,1.9487
Mango,fruity,0.8617,2.6302
Mango,tropical,0.8024,16.2567
Mango,woody,0.5723,0.9273
Maple,woody,0.9524,1.543
Maple,sweet,0.8503,1.8505
Maple syrup,sweet,0.899,1.9564
Maple syrup,fruity,0.6263,1.9116
Maple syrup,woody,0.5556,0.9001
Maple syrup,warm spicy,0.5253,1.5291
Maple syrup,amber,0.5253,1.5237
Marigold,aromatic,0.759,1.8337
Marigold,sweet,0.6482,1.4106
Marigold,woody,0.645,1.0449
Marine notes,aromatic,0.8691,2.0998
Marine notes,marine,0.796,24.2769
Marine notes,woody,0.6621,1.0727
Marine notes,citrus,0.6119,1.3461
Marjoram,aromatic,0.9155,2.2119
Marjoram,fresh spicy,0.8732,2.4371
Marjoram,woody,0.7535,1.2208
Marjoram,herbal,0.7113,10.9025
Marjoram,citrus,0.5141,1.131
Marshamallow,sweet,0.9565,2.0815
Marshamallow,powdery,0.913,1.9155
Marshamallow,vanilla,0.6377,2.4342
Marshmallow,sweet,0.962,2.0934
Marshmallow,powdery,0.8973,1.8826
Marshmallow,vanilla,0.6008,2.2932
Marzipan,sweet,0.967,2.1044
Marzipan,nutty,0.6374,23.2349
Marzipan,vanilla,0.6044,2.3071
Marzipan,almond,0.5165,19.8196
Mastic or Lentisque,aromatic,0.8844,2.1367
Mastic or Lentisque,woody,0.8781,1.4227
Mastic or Lentisque,balsamic,0.6781,4.9259
Mastic or Lentisque,fresh spicy,0.5625,1.5699
Matcha Tea,powdery,0.8616,1.8077
Matcha Tea,green,0.8113,3.5973
Matcha Tea,woody,0.5849,0.9476
Matcha Tea,sweet,0.5597,1.2181
Matcha Tea,citrus,0.5094,1.1207
Mate,aromatic,0.8594,2.0763
Mate,woody,0.7131,1.1553
Mate,fresh spicy,0.706,1.9703
Mate,citrus,0.5355,1.1781
May Rose,rose,0.7056,3.6339
May Rose,floral,0.656,1.8578
May Rose,woody,0.6496,1.0524
Melon,fruity,0.6844,2.0889
Melon,fresh,0.627,2.4707
Melon,sweet,0.6026,1.3114
Melon,woody,0.5387,0.8728
Melon,citrus,0.51,1.122
Meringue,sweet,0.9619,2.0933
Meringue,powdery,0.9048,1.8982
Meringue,vanilla,0.6095,2.3267
Meringue,fruity,0.5524,1.6861
Metallic notes,metallic,0.8184,48.3099
Metallic notes,woody,0.5572,0.9028
Mexican Vanilla,vanilla,0.7925,3.0249
Mexican Vanilla,sweet,0.6981,1.5192
Mexican Vanilla,powdery,0.6415,1.3459
Mexican chocolate,sweet,0.9231,2.0088
Mexican chocolate,warm spicy,0.9077,2.6424
Mexican chocolate,chocolate,0.7538,63.9993
Mignonette,floral,0.8525,2.4141
Mignonette,powdery,0.7705,1.6165
Mignonette,woody,0.6885,1.1155
Mignonette,citrus,0.5902,1.2983
Mignonette,sweet,0.5738,1.2486
Milk,sweet,0.8214,1.7874
Milk,lactonic,0.8117,15.2657
Milk,powdery,0.586,1.2294
Milk,vanilla,0.5775,2.2046
Milk Chocolate,sweet,0.9773,2.1267
Milk Chocolate,warm spicy,0.8977,2.6134
Milk Chocolate,chocolate,0.7727,65.6023
Milk Chocolate,vanilla,0.625,2.3857
Milk Cream,sweet,0.8,1.7409
Milk Cream,vanilla,0.7,2.672
Milk Cream,powdery,0.56,1.1749
Milk Cream,fruity,0.52,1.5872
Milk Mousse,sweet,0.8182,1.7805
Milk Mousse,lactonic,0.7636,14.3616
Milk Mousse,vanilla,0.7636,2.915
Mimosa,powdery,0.8092,1.6978
Mimosa,floral,0.7201,2.0394
Mimosa,sweet,0.6204,1.3501
Mimosa,yellow floral,0.5901,11.1436
Mimosa,woody,0.5419,0.878
Mimosa absolute,powdery,0.8462,1.7752
Mimosa absolute,yellow floral,0.6731,12.711
Mimosa absolute,floral,0.6731,1.9061
Mimosa absolute,sweet,0.6154,1.3392
Mineral notes,mineral,0.7506,128.6022
Mineral notes,woody,0.6813,1.1038
Mineral notes,aromatic,0.5635,1.3615
Mint,aromatic,0.9127,2.2051
Mint,green,0.8326,3.6915
Mint,fresh spicy,0.8026,2.24
Mint,woody,0.6784,1.0991
Mint,citrus,0.6232,1.3711
Mirabelle,fruity,0.88,2.6861
Mirabelle,sweet,0.8267,1.799
Mirabelle,woody,0.7067,1.1449
Mirabelle,powdery,0.64,1.3427
Mirabelle Plum,sweet,0.8846,1.9251
Mirabelle Plum,fruity,0.8462,2.5828
Mirabelle Plum,woody,0.6731,1.0905
Mirabelle Plum,powdery,0.6538,1.3717
Mock Orange,white floral,0.8462,2.8264
Mock Orange,green,0.7308,3.2401
Mock Orange,sweet,0.6731,1.4647
Mock Orange,woody,0.5962,0.9658
Mock Orange,powdery,0.5,1.049
Mojito,citrus,0.9221,2.0285
Mojito,green,0.7143,3.1671
Mojito,aromatic,0.7013,1.6944
Mojito,fresh,0.6623,2.6101
Mojito,woody,0.5584,0.9047
Monoi Oil,white floral,0.8989,3.0025
Monoi Oil,tropical,0.764,15.4792
Monoi Oil,sweet,0.6854,1.4915
Monoi Oil,coconut,0.5843,23.5799
Moroccan Cedar,woody,0.8966,1.4525
Moroccan Cedar,aromatic,0.7069,1.7079
Moroccan Cedar,warm spicy,0.569,1.6563
Moroccan Cedar,fresh spicy,0.5,1.3955
Moroccan Jasmine,woody,0.8038,1.3023
Moroccan Jasmine,fruity,0.6835,2.0864
Moroccan Jasmine,citrus,0.6646,1.462
Moroccan Jasmine,sweet,0.6203,1.3498
Moroccan Jasmine,white floral,0.5063,1.6913
Moroccan Rose,woody,0.6913,1.12
Moroccan Rose,rose,0.6702,3.4515
Moroccan Rose,floral,0.5145,1.4571
Moss,woody,0.7829,1.2684
Moss,aromatic,0.5451,1.317
Moss,citrus,0.5151,1.1332
Mountain Air,fresh,0.9096,3.5847
Mountain Air,ozonic,0.7108,16.2336
Mountain Air,aromatic,0.506,1.2226
Mugwort,woody,0.7612,1.2332
Mugwort,aromatic,0.6716,1.6227
Mugwort,fresh spicy,0.5224,1.4579
Mushroom,earthy,0.8906,6.1683
Mushroom,woody,0.7656,1.2404
Mushroom,aromatic,0.5391,1.3024
Mushroom,mossy,0.5312,11.3539
Musk,powdery,0.6632,1.3915
Musk,woody,0.63,1.0206
Musk,musky,0.6153,1.9726
Musk,citrus,0.5042,1.1092
Musk Mallow,floral,0.7759,2.1972
Musk Mallow,musky,0.6724,2.1556
Musk Mallow,aromatic,0.5345,1.2913
Musk Mallow,woody,0.5345,0.8659
Musk Mallow,powdery,0.5,1.049
Myrhh,amber,0.8889,2.5786
Myrhh,warm spicy,0.7673,2.2337
Myrhh,woody,0.7086,1.148
Myrhh,aromatic,0.5975,1.4435
Myrhh,balsamic,0.5535,4.0204
Myrrh,amber,0.8815,2.5572
Myrrh,warm spicy,0.7656,2.2288
Myrrh,woody,0.7124,1.1542
Myrrh,aromatic,0.5714,1.3806
Myrrh,balsamic,0.5437,3.9498
Myrtle,aromatic,0.9004,2.1754
Myrtle,fresh spicy,0.7829,2.1849
Myrtle,woody,0.7291,1.1812
Myrtle,herbal,0.5478,8.3969
Myrtle,citrus,0.504,1.1087
Mysore Sandalwood,woody,0.5513,0.8931
Mysore Sandalwood,amber,0.5321,1.5435
Nagarmotha,woody,0.9524,1.543
Nagarmotha,earthy,0.5952,4.1225
Nagarmotha,amber,0.5714,1.6577
Nagarmotha,warm spicy,0.5179,1.5076
Narcissus,green,0.635,2.8154
Narcissus,woody,0.606,0.9817
Narcissus,yellow floral,0.5639,10.6485
Narcissus,floral,0.5566,1.5763
Narcissus,white floral,0.5102,1.7041
Nard Himalayan (Jatamansi),fresh spicy,0.7533,2.1025
Nard Himalayan (Jatamansi),woody,0.7333,1.1881
Nard Himalayan (Jatamansi),earthy,0.6667,4.6172
Nard Himalayan (Jatamansi),aromatic,0.6667,1.6107
Nard Himalayan (Jatamansi),amber,0.5467,1.5859
Nashi Pear,fruity,0.8333,2.5437
Nashi Pear,white floral,0.5641,1.8842
Nashi Pear,floral,0.5641,1.5975
Nashi Pear,musky,0.5256,1.6851
Nashi Pear,citrus,0.5,1.1
Natural Musk,musky,0.7315,2.3452
Natural Musk,powdery,0.6141,1.2883
Natural Musk,woody,0.5973,0.9677
Nectar,sweet,0.7604,1.6548
Nectar,fruity,0.6042,1.8441
Nectar,floral,0.5833,1.652
Nectar,powdery,0.5208,1.0927
Nectarine,sweet,0.8769,1.9084
Nectarine,fruity,0.8198,2.5022
Nectarine,powdery,0.8111,1.7016
Nectarine,fresh,0.617,2.4314
Nectarine,floral,0.5598,1.5853
Neroli,citrus,0.7778,1.7112
Neroli,woody,0.6313,1.0228
Neroli,white floral,0.6274,2.0958
Neroli,aromatic,0.5599,1.3528
Neroli,fresh spicy,0.5105,1.4247
Nigerian Ginger,fresh spicy,0.9259,2.5842
Nigerian Ginger,fresh,0.8333,3.284
Nigerian Ginger,woody,0.8148,1.3201
Nigerian Ginger,citrus,0.7963,1.7518
Nigerian Ginger,amber,0.7407,2.1489
Nigerian Ginger,green,0.6667,2.9559
Night Blooming Jasmine,sweet,0.7834,1.7049
Night Blooming Jasmine,fruity,0.758,2.3136
Night Blooming Jasmine,white floral,0.7389,2.468
Night Blooming Jasmine,woody,0.5541,0.8978
Night blooming Cereus,white floral,0.8095,2.704
Night blooming Cereus,sweet,0.6984,1.5199
Night blooming Cereus,woody,0.619,1.0029
Night blooming Cereus,floral,0.5714,1.6183
Nutmeg,fresh spicy,0.851,2.3752
Nutmeg,woody,0.7806,1.2647
Nutmeg,aromatic,0.6408,1.5481
Nutmeg,warm spicy,0.5926,1.7253
Nutmeg,citrus,0.5184,1.1405
Nutty Notes,sweet,0.7471,1.6259
Nutty Notes,woody,0.6552,1.0615
Nutty Notes,nutty,0.6092,22.2081
Nutty Notes,warm spicy,0.5632,1.6396
Nutty Notes,vanilla,0.5172,1.9744
Oak,woody,0.9479,1.5358
Oak,aromatic,0.6119,1.4783
Oak,warm spicy,0.5096,1.4835
Oak,sweet,0.5096,1.1089
Oakmoss,woody,0.8161,1.3221
Oakmoss,aromatic,0.5994,1.4482
Oakmoss,earthy,0.5314,3.6805
Oakmoss,citrus,0.522,1.1485
Oily Notes,sweet,0.6958,1.5142
Oily Notes,oily,0.55,549.7083
Olibanum,amber,0.8568,2.4856
Olibanum,woody,0.8129,1.3171
Olibanum,fresh spicy,0.7071,1.9735
Olibanum,warm spicy,0.6776,1.9725
Olibanum,aromatic,0.5864,1.4167
Olive,aromatic,0.8107,1.9586
Olive,woody,0.6272,1.0162
Olive Blossom,floral,0.7667,2.1712
Olive Blossom,citrus,0.7333,1.6133
Olive Blossom,woody,0.6833,1.1071
Olive Blossom,aromatic,0.6333,1.5302
Olive Tree,woody,0.9118,1.4772
Olive Tree,aromatic,0.6618,1.5988
Olive Tree,citrus,0.6103,1.3426
Oolong tea,aromatic,0.9176,2.2171
Oolong tea,warm spicy,0.6235,1.8152
Oolong tea,woody,0.6,0.9721
Opium,floral,0.8406,2.3805
Opium,sweet,0.7971,1.7346
Opium,balsamic,0.6812,4.948
Opium,amber,0.5652,1.6397
Opium,powdery,0.5217,1.0946
Opoponax,amber,0.8485,2.4615
Opoponax,woody,0.7574,1.2271
Opoponax,sweet,0.6931,1.5082
Opoponax,balsamic,0.6317,4.5886
Opoponax,warm spicy,0.5386,1.568
Orange,citrus,0.8494,1.8686
Orange,woody,0.6348,1.0284
Orange,sweet,0.6244,1.3588
Orange Blossom,white floral,0.8172,2.7298
Orange Blossom,citrus,0.7167,1.5767
Orange Blossom,sweet,0.6681,1.4539
Orange Blossom,woody,0.5846,0.9472
Orange Leaf,citrus,0.7727,1.7
Orange Leaf,aromatic,0.7273,1.7571
Orange Leaf,woody,0.6515,1.0555
Orange Leaf,green,0.6061,2.6872
Orange Leaf,white floral,0.5455,1.822
Orange Leaf,fresh spicy,0.5455,1.5223
Orange Oil,citrus,0.8539,1.8786
Orange Oil,sweet,0.6966,1.516
Orange Oil,woody,0.618,1.0012
Orange Oil,fresh spicy,0.5618,1.5679
Orange Peel,citrus,0.7952,1.7494
Orange Peel,sweet,0.6807,1.4814
Orange Peel,woody,0.5482,0.8881
Orcanox™,woody,0.6981,1.131
Orchid,floral,0.8195,2.3207
Orchid,sweet,0.795,1.73
Orchid,powdery,0.758,1.5902
Orchid,woody,0.5743,0.9304
Oregano,fresh spicy,0.8412,2.3477
Oregano,aromatic,0.824,1.9909
Oregano,woody,0.7983,1.2933
Oregano,warm spicy,0.5408,1.5743
Oriental notes,warm spicy,0.9534,2.7756
Oriental notes,amber,0.9401,2.7273
Oriental notes,musky,0.7228,2.3172
Oriental notes,woody,0.5188,0.8406
Orris,powdery,0.7866,1.6502
Orris,woody,0.7395,1.1981
Orris,iris,0.5084,9.002
Orris Root,woody,0.7824,1.2676
Orris Root,powdery,0.7735,1.6228
Osmanthus,floral,0.8196,2.3212
Osmanthus,fruity,0.7312,2.232
Osmanthus,woody,0.5846,0.9471
Oud,oud,0.6717,10.6793
Oud,woody,0.6571,1.0647
Oud,warm spicy,0.5979,1.7405
Oud,amber,0.5622,1.6308
Ozonic notes,ozonic,0.7651,17.4734
Ozonic notes,woody,0.6052,0.9806
Ozonic notes,aromatic,0.533,1.2877
Palisander Rosewood,woody,0.9036,1.464
Palisander Rosewood,amber,0.5647,1.6381
Palisander Rosewood,sweet,0.5149,1.1204
Palisander Rosewood,aromatic,0.5133,1.24
Palm Leaf,green,0.7674,3.4027
Palm Leaf,fresh,0.5814,2.2912
Palm Leaf,woody,0.5581,0.9043
Palm Leaf,sweet,0.5233,1.1387
Palmarosa,green,0.7692,3.4107
Palmarosa,aromatic,0.7552,1.8247
Palmarosa,woody,0.7413,1.2009
Palmarosa,citrus,0.6014,1.3231
Palmarosa,fresh spicy,0.5804,1.6199
Palo Santo,woody,0.9564,1.5495
Palo Santo,aromatic,0.7523,1.8176
Palo Santo,citrus,0.6284,1.3825
Pandanus,sweet,0.6806,1.481
Pandanus,floral,0.6667,1.888
Pandanus,woody,0.6667,1.0801
Pandanus,tropical,0.5556,11.2553
Papaya,tropical,0.8706,17.6377
Papaya,sweet,0.8627,1.8775
Papaya,fruity,0.698,2.1307
Papaya,fresh,0.5255,2.0709
Paper,woody,0.6389,1.0351
Paper,paper,0.537,1221.5741
Paprika,warm spicy,0.9237,2.6891
Paprika,woody,0.6356,1.0297
Paprika,aromatic,0.5339,1.2899
Paprika,fresh spicy,0.5,1.3955
Papyrus,woody,0.9621,1.5588
Papyrus,warm spicy,0.6376,1.8562
Papyrus,amber,0.529,1.5347
Parma Violet,powdery,0.8868,1.8605
Parma Violet,floral,0.7736,2.1908
Parma Violet,violet,0.7358,12.7503
Parma Violet,woody,0.5472,0.8865
Passion Flower,floral,0.917,2.5969
Passion Flower,sweet,0.883,1.9216
Passion Flower,fruity,0.8604,2.6262
Passion Flower,woody,0.5396,0.8743
Passionfruit,sweet,0.8532,1.8566
Passionfruit,fruity,0.836,2.5517
Passionfruit,tropical,0.6276,12.7158
Passionfruit,fresh,0.6131,2.4161
Patchouli,woody,0.8183,1.3258
Patchouli,warm spicy,0.5587,1.6265
Patchouli Leaf,woody,0.8279,1.3413
Patchouli Leaf,warm spicy,0.582,1.6942
Patchouli Leaf,patchouli,0.5328,4.7423
Peach,fruity,0.7717,2.3557
Peach,powdery,0.7278,1.5269
Peach,sweet,0.7158,1.5577
Peach,woody,0.5738,0.9296
Peach Blossom,floral,0.9155,2.5928
Peach Blossom,fruity,0.7313,2.2322
Peach Blossom,powdery,0.5835,1.2241
Peach Blossom,fresh,0.5662,2.2314
Peach Blossom,sweet,0.5451,1.1862
Pear,fruity,0.826,2.5213
Pear,sweet,0.8154,1.7745
Pear,woody,0.5547,0.8987
Pear,powdery,0.5196,1.0902
Pear Blossom,floral,0.8944,2.533
Pear Blossom,fruity,0.6778,2.0688
Pear Blossom,sweet,0.5611,1.2211
Pear Blossom,powdery,0.5389,1.1306
Pear Blossom,fresh,0.5222,2.058
Pelargonium,aromatic,0.8333,2.0134
Pelargonium,woody,0.7949,1.2878
Pelargonium,fresh spicy,0.6667,1.8606
Pelargonium,citrus,0.6282,1.382
Pelargonium,warm spicy,0.5769,1.6795
Peony,floral,0.9148,2.5906
Peony,fresh,0.8225,3.2415
Peony,fruity,0.5783,1.7652
Peony,rose,0.557,2.8688
Peony,woody,0.5358,0.868
Pepper,fresh spicy,0.8573,2.3926
Pepper,woody,0.7757,1.2568
Pepper,warm spicy,0.6603,1.9223
Pepper,aromatic,0.6576,1.5887
Pepper,citrus,0.5313,1.1688
Peppermint,aromatic,0.9049,2.1862
Peppermint,green,0.833,3.6935
Peppermint,fresh spicy,0.7825,2.184
Peppermint,woody,0.6835,1.1073
Peppermint,citrus,0.6194,1.3627
Persimmon,sweet,0.9565,2.0815
Persimmon,fruity,0.913,2.787
Persimmon,woody,0.6812,1.1036
Persimmon,powdery,0.6232,1.3074
Persimmon,floral,0.5942,1.6828
Peru Balsam,amber,0.8109,2.3525
Peru Balsam,woody,0.7881,1.2768
Peru Balsam,balsamic,0.7682,5.58
Peru Balsam,warm spicy,0.5502,1.6019
Peru Balsam,sweet,0.5363,1.1671
Petalia,floral,0.9018,2.5538
Petalia,fresh,0.8571,3.3778
Petalia,rose,0.6696,3.4487
Petalia,woody,0.6696,1.0849
Petalia,fruity,0.6518,1.9895
Petalia,musky,0.5357,1.7174
Petitgrain,citrus,0.8287,1.8232
Petitgrain,aromatic,0.8164,1.9724
Petitgrain,woody,0.7295,1.1818
Petitgrain,fresh spicy,0.6502,1.8146
Petitgrain,green,0.5884,2.6087
Petitgrain Paraguay,citrus,0.8889,1.9555
Petitgrain Paraguay,aromatic,0.8778,2.1207
Petitgrain Paraguay,woody,0.7222,1.1701
Petitgrain Paraguay,green,0.7111,3.153
Petitgrain Paraguay,fresh spicy,0.6778,1.8916
Petrichor,woody,0.6988,1.1321
Petrichor,aromatic,0.6627,1.601
Pimento,warm spicy,0.8929,2.5995
Pimento,woody,0.7835,1.2693
Pimento,aromatic,0.618,1.4931
Pimento,fresh spicy,0.5961,1.6637
Pine,woody,0.9592,1.554
Pine,aromatic,0.9144,2.2093
Pine,fresh spicy,0.5582,1.5579
Pine Tree,woody,0.9602,1.5556
Pine Tree,aromatic,0.9223,2.2283
Pine Tree,fresh spicy,0.5936,1.6568
