note,accord,p,lift
Black Musk,warm spicy,0.5276,1.536
Black Orchid,sweet,0.8511,1.8521
Black Orchid,woody,0.7589,1.2295
Black Orchid,floral,0.7305,2.0687
Black Orchid,powdery,0.7021,1.473
Black Orchid,fruity,0.5248,1.602
Black Pepper,fresh spicy,0.8482,2.3672
Black Pepper,woody,0.7856,1.2728
Black Pepper,warm spicy,0.7174,2.0885
Black Pepper,aromatic,0.6546,1.5816
Black Rose,rose,0.6839,3.522
Black Rose,woody,0.6839,1.108
Black Spruce,woody,0.9524,1.543
Black Spruce,aromatic,0.9365,2.2626
Black Spruce,fresh spicy,0.6667,1.8606
Black Spruce,balsamic,0.619,4.4968
Black Spruce,amber,0.5079,1.4735
Black Tea,green,0.6926,3.0707
Black Tea,woody,0.6624,1.0731
Black Tea,aromatic,0.5275,1.2745
Black Tea,fresh spicy,0.507,1.415
Black Vanilla Husk,vanilla,0.8643,3.2991
Black Vanilla Husk,sweet,0.6786,1.4767
Black Vanilla Husk,powdery,0.5857,1.2288
Black Vanilla Husk,woody,0.55,0.8911
Black Violet,powdery,0.8,1.6784
Black Violet,woody,0.8,1.2961
Black Violet,violet,0.6778,11.7441
Black Violet,fruity,0.6222,1.8993
Black Violet,sweet,0.5444,1.1848
Black Violet,floral,0.5,1.416
Black and Pink Pepper,fresh spicy,0.9038,2.5226
Black and Pink Pepper,woody,0.6538,1.0593
Black and Pink Pepper,warm spicy,0.6154,1.7915
Black and Pink Pepper,aromatic,0.5577,1.3474
Black and Pink Pepper,amber,0.5192,1.5063
Black currant leaf,green,0.7582,3.362
Black currant leaf,fruity,0.7033,2.1467
Black currant leaf,woody,0.5934,0.9614
Black currant leaf,aromatic,0.5879,1.4204
Black currant leaf,fresh spicy,0.5385,1.5028
Black locust,sweet,0.8171,1.7781
Black locust,white floral,0.7805,2.607
Black locust,woody,0.5854,0.9484
Black locust,floral,0.5488,1.5541
Blackberry,fruity,0.9396,2.8681
Blackberry,sweet,0.8525,1.8551
Blackberry,powdery,0.5633,1.1819
Blackberry,woody,0.5499,0.8909
Blackcurrant,fruity,0.8355,2.5502
Blackcurrant,woody,0.6937,1.1239
Blackcurrant Syrup,fruity,0.8594,2.6231
Blackcurrant Syrup,woody,0.7188,1.1645
Blackcurrant Syrup,floral,0.6719,1.9027
Blackwood,woody,0.96,1.5553
Blonde Woods,sweet,0.5596,1.2179
Blood,mineral,0.75,128.5032
Blood,metallic,0.7105,41.9417
Blood,woody,0.5526,0.8953
Blood Grapefruit,citrus,0.8387,1.8451
Blood Grapefruit,sweet,0.5645,1.2285
Blood Grapefruit,woody,0.5645,0.9146
Blood Grapefruit,fruity,0.5323,1.6247
Blood Grapefruit,fresh spicy,0.5,1.3955
Blood Mandarin,citrus,0.805,1.771
Blood Mandarin,woody,0.6792,1.1005
Blood Mandarin,aromatic,0.5094,1.2308
Blood Mandarin,amber,0.5031,1.4596
Blood Orange,citrus,0.8743,1.9235
Blood Orange,woody,0.6168,0.9992
Blood Orange,sweet,0.5547,1.2071
