primary_descriptor,secondary_descriptor,count
Balsamic,Sweet,16
Balsamic,Vanilla,16
Food Like,Roasted,16
Fruity,Fermented,16
Fruity,Plum,16
Green,Apple,16
Green,Leafy,16
Minty,Green,16
Sulfurous,Onion,16
Woody,Spicy,16
Aldehydic,Floral,15
Floral,Warm,15
Gourmand,Creamy,15
Spicy,Aromatic,15
Woody,Powdery,15
Balsamic,Fruity,14
Floral,Hyacinth,14
Fruity,Rose,14
Green,Grassy,14
Musk Like,Fruity,14
Spicy,Herbal,14
Amber,Sweet,13
Floral,Aldehydic,13
Fruity,Coconut,13
Green,Vegetable,13
Spicy,Fresh,13
Woody,Pine,13
Animal Like,Leathery,12
Citrus,Mandarin,12
Citrus,Sweet,12
Gourmand,Vanilla,12
Minty,Cooling,12
Spicy,Clove,12
Spicy,Dry,12
Woody,Creamy,12
Woody,Fruity,12
Aldehydic,Citrus,11
Floral,Oily,11
Fruity,Honey,11
Fruity,Strawberry,11
Green,Pear,11
Green,Violet,11
Musk Like,Warm,11
Spicy,Green,11
Balsamic,Spicy,10
Food Like,Coffee,10
Fruity,Balsamic,10
Fruity,Jasmin,10
Gourmand,Chocolate,10
Green,Galbanum,10
Green,Rose,10
Herbal,Sage,10
Herbal,Sweet,10
Powdery,Floral,10
Spicy,Citrus,10
Spicy,Ginger,10
Sulfurous,Garlic,10
Woody,Resinous,10
Woody,Violet,10
Acidic,Cheesy,9
Aldehydic,Waxy,9
Anisic,Herbal,9
Anisic,Spicy,9
Anisic,Sweet,9
Citrus,Aldehydic,9
Citrus,Sharp,9
Citrus,Spicy,9
Floral,Soft,9
Fruity,Apricot,9
Fruity,Melon,9
Fruity,Rum,9
Green,Earthy,9
Minty,Camphoraceous,9
Woody,Camphoraceous,9
Woody,Green,9
Animal Like,Phenolic,8
Camphoraceous,Herbal,8
Floral,Plum,8
Floral,Waxy,8
Fruity,Grapefruit,8
Fruity,Minty,8
Fruity,Waxy,8
Gourmand,Coconut,8
Gourmand,Fruity,8
Green,Melon,8
Minty,Spearmint,8
Minty,Sweet,8
Musk Like,Animal Like,8
Woody,Herbal,8
Woody,Vanilla,8
Aldehydic,Orange,7
Amber,Balsamic,7
Aromatic,Citrus,7
Earthy,Mushroom,7
Floral,Hay,7
Fruity,Creamy,7
Fruity,Grape,7
Fruity,Herbal,7
Fruity,Rhubarb,7
Gourmand,Buttery,7
Gourmand,Coffee,7
Gourmand,Milky,7
Green,Woody,7
Herbal,Anisic,7
Marine,Fresh,7
Musk Like,Sweet,7
Musk Like,Woody,7
Powdery,Violet,7
Smoky,Phenolic,7
Spicy,Fruity,7
Spicy,Metallic,7
Woody,Nutty,7
Aldehydic,Fresh,6
Aldehydic,Mandarin,6
Animal Like,Indolic,6
Aromatic,Herbal,6
Earthy,Sweet,6
Floral,Animal Like,6
Floral,Anisic,6
Floral,Cyclamen,6
Floral,Minty,6
Floral,Ozonic,6
Fruity,Caramel,6
Fruity,Spicy,6
Green,Hyacinth,6
Green,Sweet,6
Herbal,Balsamic,6
Herbal,Thyme,6
Herbal,Tobacco,6
Herbal,Warm,6
Powdery,Fruity,6
