surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Begonia,begonia,NOTE,Begonia,LEVEL_A_DIRECT,A
Behini Tree,behini tree,NOTE,Behini Tree,LEVEL_A_DIRECT,A
Belambra tree,belambra tree,NOTE,Belambra tree,LEVEL_A_DIRECT,A
Belanis,belanis,NOTE,Belanis,LEVEL_A_DIRECT,A
Belladonna,belladonna,NOTE,Belladonna,LEVEL_A_DIRECT,A
Bellflower,bellflower,NOTE,Bellflower,LEVEL_A_DIRECT,A
Bellini,bellini,NOTE,Bellini,LEVEL_A_DIRECT,A
Bengal Pepper,bengal pepper,NOTE,Bengal Pepper,LEVEL_A_DIRECT,A
Benzoin,benzoin,NOTE,Benzoin,LEVEL_A_DIRECT,A
Bergamot,bergamot,NOTE,Bergamot,LEVEL_A_DIRECT,A
Bergamot Blossom,bergamot blossom,NOTE,Bergamot Blossom,LEVEL_A_DIRECT,A
Bergamot Leaf,bergamot leaf,NOTE,Bergamot Leaf,LEVEL_A_DIRECT,A
Berries,berries,NOTE,Berries,LEVEL_A_DIRECT,A
Berry Fruits,berry fruits,NOTE,Berry Fruits,LEVEL_A_DIRECT,A
Betel Leaf,betel leaf,NOTE,Betel Leaf,LEVEL_A_DIRECT,A
Betel Pepper,betel pepper,NOTE,Betel Pepper,LEVEL_A_DIRECT,A
Big Strawberry,big strawberry,NOTE,Big Strawberry,LEVEL_A_DIRECT,A
Bigarade,bigarade,NOTE,Bigarade,LEVEL_A_DIRECT,A
Bigarane™,bigaranetm,NOTE,Bigarane™,LEVEL_A_DIRECT,A
Birch,birch,NOTE,Birch,LEVEL_A_DIRECT,A
Birch Leaf,birch leaf,NOTE,Birch Leaf,LEVEL_A_DIRECT,A
Birch Tar,birch tar,NOTE,Birch Tar,LEVEL_A_DIRECT,A
Bird cherry,bird cherry,NOTE,Bird cherry,LEVEL_A_DIRECT,A
Biryani,biryani,NOTE,Biryani,LEVEL_A_DIRECT,A
Bisabolene,bisabolene,NOTE,Bisabolene,LEVEL_A_DIRECT,A
Biscotti,biscotti,NOTE,Biscotti,LEVEL_A_DIRECT,A
Biscuit,biscuit,NOTE,Biscuit,LEVEL_A_DIRECT,A
bitter,bitter,ACCORD,bitter,LEVEL_A_DIRECT,A
Bitter Almond,bitter almond,NOTE,Bitter Almond,LEVEL_A_DIRECT,A
Bitter melon,bitter melon,NOTE,Bitter melon,LEVEL_A_DIRECT,A
