surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Brazilian Orange,brazilian orange,NOTE,Brazilian Orange,LEVEL_A_DIRECT,A
Brazilian Redwood,brazilian redwood,NOTE,Brazilian Redwood,LEVEL_A_DIRECT,A
Brazilian Rosewood,brazilian rosewood,NOTE,Brazilian Rosewood,LEVEL_A_DIRECT,A
Brazilian Spices,brazilian spices,NOTE,Brazilian Spices,LEVEL_A_DIRECT,A
Bread,bread,NOTE,Bread,LEVEL_A_DIRECT,A
Bread Flower,bread flower,NOTE,Bread Flower,LEVEL_A_DIRECT,A
Breadnut,breadnut,NOTE,Breadnut,LEVEL_A_DIRECT,A
Breu-Branco,breu-branco,NOTE,Breu-Branco,LEVEL_A_DIRECT,A
Brick,brick,NOTE,Brick,LEVEL_A_DIRECT,A
Brioche,brioche,NOTE,Brioche,LEVEL_A_DIRECT,A
Bromelia,bromelia,NOTE,Bromelia,LEVEL_A_DIRECT,A
Broom,broom,NOTE,Broom,LEVEL_A_DIRECT,A
brown scotch tape,brown scotch tape,ACCORD,brown scotch tape,LEVEL_A_DIRECT,A
Brown Scotch Tape,brown scotch tape,NOTE,Brown Scotch Tape,LEVEL_A_DIRECT,A
Brown sugar,brown sugar,NOTE,Brown sugar,LEVEL_A_DIRECT,A
Brownie,brownie,NOTE,Brownie,LEVEL_A_DIRECT,A
Bubbaloo,bubbaloo,NOTE,Bubbaloo,LEVEL_A_DIRECT,A
Bubble Gum,bubble gum,NOTE,Bubble Gum,LEVEL_A_DIRECT,A
Buchu or Agathosma,buchu or agathosma,NOTE,Buchu or Agathosma,LEVEL_A_DIRECT,A
Buckwheat,buckwheat,NOTE,Buckwheat,LEVEL_A_DIRECT,A
Buckwheat Tea,buckwheat tea,NOTE,Buckwheat Tea,LEVEL_A_DIRECT,A
Buddha Wood,buddha wood,NOTE,Buddha Wood,LEVEL_A_DIRECT,A
Buddha's hand,buddha's hand,NOTE,Buddha's hand,LEVEL_A_DIRECT,A
Buddleia,buddleia,NOTE,Buddleia,LEVEL_A_DIRECT,A
Bulgarian Light Tobacco,bulgarian light tobacco,NOTE,Bulgarian Light Tobacco,LEVEL_A_DIRECT,A
Bulgarian Rose,bulgarian rose,NOTE,Bulgarian Rose,LEVEL_A_DIRECT,A
Bulletwood Tree,bulletwood tree,NOTE,Bulletwood Tree,LEVEL_A_DIRECT,A
Bulrush,bulrush,NOTE,Bulrush,LEVEL_A_DIRECT,A
Burdock,burdock,NOTE,Burdock,LEVEL_A_DIRECT,A
Buriti,buriti,NOTE,Buriti,LEVEL_A_DIRECT,A
Burning Cherry,burning cherry,NOTE,Burning Cherry,LEVEL_A_DIRECT,A
Burnt Match,burnt match,NOTE,Burnt Match,LEVEL_A_DIRECT,A
Burnt Sugar,burnt sugar,NOTE,Burnt Sugar,LEVEL_A_DIRECT,A
Bushman Candle,bushman candle,NOTE,Bushman Candle,LEVEL_A_DIRECT,A
Butomus umbellatus,butomus umbellatus,NOTE,Butomus umbellatus,LEVEL_A_DIRECT,A
Butter,butter,NOTE,Butter,LEVEL_A_DIRECT,A
Buttercream,buttercream,NOTE,Buttercream,LEVEL_A_DIRECT,A
Buttercup,buttercup,NOTE,Buttercup,LEVEL_A_DIRECT,A
Buttered Rum,buttered rum,NOTE,Buttered Rum,LEVEL_A_DIRECT,A
Butterfly Orchid,butterfly orchid,NOTE,Butterfly Orchid,LEVEL_A_DIRECT,A
Buttermilk,buttermilk,NOTE,Buttermilk,LEVEL_A_DIRECT,A
Butterscotch,butterscotch,NOTE,Butterscotch,LEVEL_A_DIRECT,A
Cabernet Grape,cabernet grape,NOTE,Cabernet Grape,LEVEL_A_DIRECT,A
Cabreuva,cabreuva,NOTE,Cabreuva,LEVEL_A_DIRECT,A
cacao,cacao,ACCORD,cacao,LEVEL_A_DIRECT,A
Cacao,cacao,NOTE,Cacao,LEVEL_A_DIRECT,A
Cacao Absolute,cacao absolute,NOTE,Cacao Absolute,LEVEL_A_DIRECT,A
Cacao Blossom,cacao blossom,NOTE,Cacao Blossom,LEVEL_A_DIRECT,A
Cacao Butter,cacao butter,NOTE,Cacao Butter,LEVEL_A_DIRECT,A
Cacao Pod,cacao pod,NOTE,Cacao Pod,LEVEL_A_DIRECT,A
Cachalox,cachalox,NOTE,Cachalox,LEVEL_A_DIRECT,A
Cachaça,cachaça,NOTE,Cachaça,LEVEL_A_DIRECT,A
Cactus,cactus,NOTE,Cactus,LEVEL_A_DIRECT,A
Cactus Blossom,cactus blossom,NOTE,Cactus Blossom,LEVEL_A_DIRECT,A
Cactus Flower,cactus flower,NOTE,Cactus Flower,LEVEL_A_DIRECT,A
Cactus Juice,cactus juice,NOTE,Cactus Juice,LEVEL_A_DIRECT,A
Cade oil,cade oil,NOTE,Cade oil,LEVEL_A_DIRECT,A
Caffè Latte,caffè latte,NOTE,Caffè Latte,LEVEL_A_DIRECT,A
Café Expresso,café expresso,NOTE,Café Expresso,LEVEL_A_DIRECT,A
Caipirinha,caipirinha,NOTE,Caipirinha,LEVEL_A_DIRECT,A
Cake,cake,NOTE,Cake,LEVEL_A_DIRECT,A
Calabrian bergamot,calabrian bergamot,NOTE,Calabrian bergamot,LEVEL_A_DIRECT,A
Calabrian Mandarin,calabrian mandarin,NOTE,Calabrian Mandarin,LEVEL_A_DIRECT,A
Calafate,calafate,NOTE,Calafate,LEVEL_A_DIRECT,A
Calamansi,calamansi,NOTE,Calamansi,LEVEL_A_DIRECT,A
Calamus,calamus,NOTE,Calamus,LEVEL_A_DIRECT,A
Calendula,calendula,NOTE,Calendula,LEVEL_A_DIRECT,A
California Cedar,california cedar,NOTE,California Cedar,LEVEL_A_DIRECT,A
California Orange,california orange,NOTE,California Orange,LEVEL_A_DIRECT,A
California Redwood,california redwood,NOTE,California Redwood,LEVEL_A_DIRECT,A
Californian Fig,californian fig,NOTE,Californian Fig,LEVEL_A_DIRECT,A
Californian Gardenia,californian gardenia,NOTE,Californian Gardenia,LEVEL_A_DIRECT,A
Californian Lemon,californian lemon,NOTE,Californian Lemon,LEVEL_A_DIRECT,A
Californian Orange,californian orange,NOTE,Californian Orange,LEVEL_A_DIRECT,A
Calissons d'Aix,calissons d'aix,NOTE,Calissons d'Aix,LEVEL_A_DIRECT,A
Calla Lily,calla lily,NOTE,Calla Lily,LEVEL_A_DIRECT,A
Calone,calone,NOTE,Calone,LEVEL_A_DIRECT,A
Calvados Drink,calvados drink,NOTE,Calvados Drink,LEVEL_A_DIRECT,A
Calycanthus,calycanthus,NOTE,Calycanthus,LEVEL_A_DIRECT,A
Calypsone,calypsone,NOTE,Calypsone,LEVEL_A_DIRECT,A
Cambodian Oud,cambodian oud,NOTE,Cambodian Oud,LEVEL_A_DIRECT,A
Camelia,camelia,NOTE,Camelia,LEVEL_A_DIRECT,A
Camellia,camellia,NOTE,Camellia,LEVEL_A_DIRECT,A
Campari,campari,NOTE,Campari,LEVEL_A_DIRECT,A
camphor,camphor,ACCORD,camphor,LEVEL_A_DIRECT,A
Camphor,camphor,NOTE,Camphor,LEVEL_A_DIRECT,A
Campion Flower,campion flower,NOTE,Campion Flower,LEVEL_A_DIRECT,A
Canada Balsam,canada balsam,NOTE,Canada Balsam,LEVEL_A_DIRECT,A
Canadian balsam,canadian balsam,NOTE,Canadian balsam,LEVEL_A_DIRECT,A
Canadian Fir,canadian fir,NOTE,Canadian Fir,LEVEL_A_DIRECT,A
Canadian Pine,canadian pine,NOTE,Canadian Pine,LEVEL_A_DIRECT,A
Cananga,cananga,NOTE,Cananga,LEVEL_A_DIRECT,A
Candied Almond,candied almond,NOTE,Candied Almond,LEVEL_A_DIRECT,A
Candied Flowers,candied flowers,NOTE,Candied Flowers,LEVEL_A_DIRECT,A
Candied Fruits,candied fruits,NOTE,Candied Fruits,LEVEL_A_DIRECT,A
Candied Ginger,candied ginger,NOTE,Candied Ginger,LEVEL_A_DIRECT,A
Candied Lemon,candied lemon,NOTE,Candied Lemon,LEVEL_A_DIRECT,A
Candied Orange,candied orange,NOTE,Candied Orange,LEVEL_A_DIRECT,A
Candies,candies,NOTE,Candies,LEVEL_A_DIRECT,A
Candle Wax,candle wax,NOTE,Candle Wax,LEVEL_A_DIRECT,A
Candlenut,candlenut,NOTE,Candlenut,LEVEL_A_DIRECT,A
Candy Apple,candy apple,NOTE,Candy Apple,LEVEL_A_DIRECT,A
Candy apple,candy apple,NOTE,Candy apple,LEVEL_A_DIRECT,A
Canelé,canelé,NOTE,Canelé,LEVEL_A_DIRECT,A
Cangzhu,cangzhu,NOTE,Cangzhu,LEVEL_A_DIRECT,A
Canna flower,canna flower,NOTE,Canna flower,LEVEL_A_DIRECT,A
cannabis,cannabis,ACCORD,cannabis,LEVEL_A_DIRECT,A
cannabis,cannabis,NOTE,cannabis,LEVEL_A_DIRECT,A
Cannoli,cannoli,NOTE,Cannoli,LEVEL_A_DIRECT,A
Cannonball Flower,cannonball flower,NOTE,Cannonball Flower,LEVEL_A_DIRECT,A
Cantaloupe,cantaloupe,NOTE,Cantaloupe,LEVEL_A_DIRECT,A
Canvas,canvas,NOTE,Canvas,LEVEL_A_DIRECT,A
Caoutchouc,caoutchouc,NOTE,Caoutchouc,LEVEL_A_DIRECT,A
Caper,caper,NOTE,Caper,LEVEL_A_DIRECT,A
Capitiú,capitiú,NOTE,Capitiú,LEVEL_A_DIRECT,A
Cappuccino,cappuccino,NOTE,Cappuccino,LEVEL_A_DIRECT,A
Carambola,carambola,NOTE,Carambola,LEVEL_A_DIRECT,A
Carambola (Star Fruit),carambola (star fruit),NOTE,Carambola (Star Fruit),LEVEL_A_DIRECT,A
Carambola blossom,carambola blossom,NOTE,Carambola blossom,LEVEL_A_DIRECT,A
caramel,caramel,ACCORD,caramel,LEVEL_A_DIRECT,A
Caramel,caramel,NOTE,Caramel,LEVEL_A_DIRECT,A
Caramelized Almond,caramelized almond,NOTE,Caramelized Almond,LEVEL_A_DIRECT,A
Caraway,caraway,NOTE,Caraway,LEVEL_A_DIRECT,A
Cardamom,cardamom,NOTE,Cardamom,LEVEL_A_DIRECT,A
Cardamom Flower,cardamom flower,NOTE,Cardamom Flower,LEVEL_A_DIRECT,A
Cardamon,cardamon,NOTE,Cardamon,LEVEL_A_DIRECT,A
Carissa,carissa,NOTE,Carissa,LEVEL_A_DIRECT,A
Carnation,carnation,NOTE,Carnation,LEVEL_A_DIRECT,A
Carnation leaves,carnation leaves,NOTE,Carnation leaves,LEVEL_A_DIRECT,A
Carob tree,carob tree,NOTE,Carob tree,LEVEL_A_DIRECT,A
Carolina Reaper,carolina reaper,NOTE,Carolina Reaper,LEVEL_A_DIRECT,A
Carrot,carrot,NOTE,Carrot,LEVEL_A_DIRECT,A
Carrot Seeds,carrot seeds,NOTE,Carrot Seeds,LEVEL_A_DIRECT,A
Carum,carum,NOTE,Carum,LEVEL_A_DIRECT,A
Casablanca Lily,casablanca lily,NOTE,Casablanca Lily,LEVEL_A_DIRECT,A
Cascalone,cascalone,NOTE,Cascalone,LEVEL_A_DIRECT,A
Cascarilla,cascarilla,NOTE,Cascarilla,LEVEL_A_DIRECT,A
Cashalox,cashalox,NOTE,Cashalox,LEVEL_A_DIRECT,A
Cashew,cashew,NOTE,Cashew,LEVEL_A_DIRECT,A
Cashew Flower,cashew flower,NOTE,Cashew Flower,LEVEL_A_DIRECT,A
Cashmeran,cashmeran,NOTE,Cashmeran,LEVEL_A_DIRECT,A
Cashmere Musk,cashmere musk,NOTE,Cashmere Musk,LEVEL_A_DIRECT,A
Cashmere Wood,cashmere wood,NOTE,Cashmere Wood,LEVEL_A_DIRECT,A
Cashmir wood,cashmir wood,NOTE,Cashmir wood,LEVEL_A_DIRECT,A
Cashmirwood,cashmirwood,NOTE,Cashmirwood,LEVEL_A_DIRECT,A
Cassata Siciliana,cassata siciliana,NOTE,Cassata Siciliana,LEVEL_A_DIRECT,A
Cassia,cassia,NOTE,Cassia,LEVEL_A_DIRECT,A
Cassia Bourbon,cassia bourbon,NOTE,Cassia Bourbon,LEVEL_A_DIRECT,A
Cassis,cassis,NOTE,Cassis,LEVEL_A_DIRECT,A
Cassowary fruit,cassowary fruit,NOTE,Cassowary fruit,LEVEL_A_DIRECT,A
Castoreum,castoreum,NOTE,Castoreum,LEVEL_A_DIRECT,A
Catnip,catnip,NOTE,Catnip,LEVEL_A_DIRECT,A
Cauliflower,cauliflower,NOTE,Cauliflower,LEVEL_A_DIRECT,A
Caviar,caviar,NOTE,Caviar,LEVEL_A_DIRECT,A
Cedar,cedar,NOTE,Cedar,LEVEL_A_DIRECT,A
Cedar Essence,cedar essence,NOTE,Cedar Essence,LEVEL_A_DIRECT,A
Cedar Leaves,cedar leaves,NOTE,Cedar Leaves,LEVEL_A_DIRECT,A
Cedar Needles,cedar needles,NOTE,Cedar Needles,LEVEL_A_DIRECT,A
Cedar Roots,cedar roots,NOTE,Cedar Roots,LEVEL_A_DIRECT,A
Cedarmoss,cedarmoss,NOTE,Cedarmoss,LEVEL_A_DIRECT,A
Cedarwood,cedarwood,NOTE,Cedarwood,LEVEL_A_DIRECT,A
Cedramber,cedramber,NOTE,Cedramber,LEVEL_A_DIRECT,A
Celery,celery,NOTE,Celery,LEVEL_A_DIRECT,A
Celery Seeds,celery seeds,NOTE,Celery Seeds,LEVEL_A_DIRECT,A
Celosia,celosia,NOTE,Celosia,LEVEL_A_DIRECT,A
Centella Asiatica,centella asiatica,NOTE,Centella Asiatica,LEVEL_A_DIRECT,A
Cep,cep,NOTE,Cep,LEVEL_A_DIRECT,A
Cepes,cepes,NOTE,Cepes,LEVEL_A_DIRECT,A
Cereal,cereal,NOTE,Cereal,LEVEL_A_DIRECT,A
Cereals,cereals,NOTE,Cereals,LEVEL_A_DIRECT,A
Cetalox,cetalox,NOTE,Cetalox,LEVEL_A_DIRECT,A
Cetonal®,cetonal®,NOTE,Cetonal®,LEVEL_A_DIRECT,A
Ceylon Cinnamon,ceylon cinnamon,NOTE,Ceylon Cinnamon,LEVEL_A_DIRECT,A
Ceylon Spices,ceylon spices,NOTE,Ceylon Spices,LEVEL_A_DIRECT,A
Chai Hu,chai hu,NOTE,Chai Hu,LEVEL_A_DIRECT,A
Chai Latte,chai latte,NOTE,Chai Latte,LEVEL_A_DIRECT,A
Chalk,chalk,NOTE,Chalk,LEVEL_A_DIRECT,A
Chalood Bark,chalood bark,NOTE,Chalood Bark,LEVEL_A_DIRECT,A
Chamallow,chamallow,NOTE,Chamallow,LEVEL_A_DIRECT,A
Chamomile,chamomile,NOTE,Chamomile,LEVEL_A_DIRECT,A
Champaca,champaca,NOTE,Champaca,LEVEL_A_DIRECT,A
Champagne,champagne,ACCORD,Champagne,LEVEL_A_DIRECT,A
Champagne,champagne,NOTE,Champagne,LEVEL_A_DIRECT,A
Champagne Rosé,champagne rosé,NOTE,Champagne Rosé,LEVEL_A_DIRECT,A
Chantilly Cream,chantilly cream,NOTE,Chantilly Cream,LEVEL_A_DIRECT,A
Chaparral,chaparral,NOTE,Chaparral,LEVEL_A_DIRECT,A
Charcoal,charcoal,NOTE,Charcoal,LEVEL_A_DIRECT,A
Charred Wood,charred wood,NOTE,Charred Wood,LEVEL_A_DIRECT,A
Chayote,chayote,NOTE,Chayote,LEVEL_A_DIRECT,A
Cheese,cheese,NOTE,Cheese,LEVEL_A_DIRECT,A
Cheesecake,cheesecake,NOTE,Cheesecake,LEVEL_A_DIRECT,A
Chen Pi,chen pi,NOTE,Chen Pi,LEVEL_A_DIRECT,A
Cherimoya,cherimoya,NOTE,Cherimoya,LEVEL_A_DIRECT,A
cherry,cherry,ACCORD,cherry,LEVEL_A_DIRECT,A
Cherry,cherry,NOTE,Cherry,LEVEL_A_DIRECT,A
Cherry Blossom,cherry blossom,NOTE,Cherry Blossom,LEVEL_A_DIRECT,A
Cherry extract,cherry extract,NOTE,Cherry extract,LEVEL_A_DIRECT,A
Cherry Jam,cherry jam,NOTE,Cherry Jam,LEVEL_A_DIRECT,A
Cherry leaf,cherry leaf,NOTE,Cherry leaf,LEVEL_A_DIRECT,A
Cherry Liqueur,cherry liqueur,NOTE,Cherry Liqueur,LEVEL_A_DIRECT,A
Cherry Milk,cherry milk,NOTE,Cherry Milk,LEVEL_A_DIRECT,A
Cherry Syrup,cherry syrup,NOTE,Cherry Syrup,LEVEL_A_DIRECT,A
Cherry Tree,cherry tree,NOTE,Cherry Tree,LEVEL_A_DIRECT,A
Chestnut,chestnut,NOTE,Chestnut,LEVEL_A_DIRECT,A
Chhaang,chhaang,NOTE,Chhaang,LEVEL_A_DIRECT,A
Chia Seed,chia seed,NOTE,Chia Seed,LEVEL_A_DIRECT,A
Chickpeas,chickpeas,NOTE,Chickpeas,LEVEL_A_DIRECT,A
Chicory,chicory,NOTE,Chicory,LEVEL_A_DIRECT,A
Chili Pepper,chili pepper,NOTE,Chili Pepper,LEVEL_A_DIRECT,A
Chimonanthus or Wintersweet,chimonanthus or wintersweet,NOTE,Chimonanthus or Wintersweet,LEVEL_A_DIRECT,A
China Fruits,china fruits,NOTE,China Fruits,LEVEL_A_DIRECT,A
China Rose,china rose,NOTE,China Rose,LEVEL_A_DIRECT,A
Chinese Apricot,chinese apricot,NOTE,Chinese Apricot,LEVEL_A_DIRECT,A
Chinese Black Tea,chinese black tea,NOTE,Chinese Black Tea,LEVEL_A_DIRECT,A
Chinese Cedar,chinese cedar,NOTE,Chinese Cedar,LEVEL_A_DIRECT,A
Chinese Cinnamon Wood,chinese cinnamon wood,NOTE,Chinese Cinnamon Wood,LEVEL_A_DIRECT,A
Chinese Grapefruit,chinese grapefruit,NOTE,Chinese Grapefruit,LEVEL_A_DIRECT,A
Chinese Jasmine,chinese jasmine,NOTE,Chinese Jasmine,LEVEL_A_DIRECT,A
Chinese Litchi,chinese litchi,NOTE,Chinese Litchi,LEVEL_A_DIRECT,A
Chinese Magnolia,chinese magnolia,NOTE,Chinese Magnolia,LEVEL_A_DIRECT,A
Chinese Medicinal Herbs,chinese medicinal herbs,NOTE,Chinese Medicinal Herbs,LEVEL_A_DIRECT,A
Chinese Orange,chinese orange,NOTE,Chinese Orange,LEVEL_A_DIRECT,A
Chinese Osmanthus,chinese osmanthus,NOTE,Chinese Osmanthus,LEVEL_A_DIRECT,A
Chinese Oud,chinese oud,NOTE,Chinese Oud,LEVEL_A_DIRECT,A
Chinese Patchouli,chinese patchouli,NOTE,Chinese Patchouli,LEVEL_A_DIRECT,A
Chinese Peony,chinese peony,NOTE,Chinese Peony,LEVEL_A_DIRECT,A
Chinese Pink Peony,chinese pink peony,NOTE,Chinese Pink Peony,LEVEL_A_DIRECT,A
Chinese Plum,chinese plum,NOTE,Chinese Plum,LEVEL_A_DIRECT,A
Chinese Red Currant,chinese red currant,NOTE,Chinese Red Currant,LEVEL_A_DIRECT,A
Chinese Tea,chinese tea,NOTE,Chinese Tea,LEVEL_A_DIRECT,A
Chinotto,chinotto,NOTE,Chinotto,LEVEL_A_DIRECT,A
Chinotto blossom,chinotto blossom,NOTE,Chinotto blossom,LEVEL_A_DIRECT,A
Chive,chive,NOTE,Chive,LEVEL_A_DIRECT,A
Chlorophyll,chlorophyll,NOTE,Chlorophyll,LEVEL_A_DIRECT,A
chocolate,chocolate,ACCORD,chocolate,LEVEL_A_DIRECT,A
Chocolate,chocolate,NOTE,Chocolate,LEVEL_A_DIRECT,A
Chocolate Flower,chocolate flower,NOTE,Chocolate Flower,LEVEL_A_DIRECT,A
Chocolate Fudge,chocolate fudge,NOTE,Chocolate Fudge,LEVEL_A_DIRECT,A
Chocolate Sauce,chocolate sauce,NOTE,Chocolate Sauce,LEVEL_A_DIRECT,A
Chocolate Truffle,chocolate truffle,NOTE,Chocolate Truffle,LEVEL_A_DIRECT,A
Choux Pastry,choux pastry,NOTE,Choux Pastry,LEVEL_A_DIRECT,A
Choya Loban,choya loban,NOTE,Choya Loban,LEVEL_A_DIRECT,A
Choya Nakh,choya nakh,NOTE,Choya Nakh,LEVEL_A_DIRECT,A
Choya Ral,choya ral,NOTE,Choya Ral,LEVEL_A_DIRECT,A
Christmas Tree or Flame Tree,christmas tree or flame tree,NOTE,Christmas Tree or Flame Tree,LEVEL_A_DIRECT,A
Chrysanthemum,chrysanthemum,NOTE,Chrysanthemum,LEVEL_A_DIRECT,A
Chuan Xiong,chuan xiong,NOTE,Chuan Xiong,LEVEL_A_DIRECT,A
Churros,churros,NOTE,Churros,LEVEL_A_DIRECT,A
Chutney,chutney,NOTE,Chutney,LEVEL_A_DIRECT,A
Chypre Notes,chypre notes,NOTE,Chypre Notes,LEVEL_A_DIRECT,A
Cider Apple,cider apple,NOTE,Cider Apple,LEVEL_A_DIRECT,A
Cigarette,cigarette,NOTE,Cigarette,LEVEL_A_DIRECT,A
Cilantro,cilantro,NOTE,Cilantro,LEVEL_A_DIRECT,A
Cinammon,cinammon,NOTE,Cinammon,LEVEL_A_DIRECT,A
Cinnamaldehyde,cinnamaldehyde,NOTE,Cinnamaldehyde,LEVEL_A_DIRECT,A
cinnamon,cinnamon,ACCORD,cinnamon,LEVEL_A_DIRECT,A
Cinnamon,cinnamon,NOTE,Cinnamon,LEVEL_A_DIRECT,A
Cinnamon Flower,cinnamon flower,NOTE,Cinnamon Flower,LEVEL_A_DIRECT,A
Cinnamon Leaf,cinnamon leaf,NOTE,Cinnamon Leaf,LEVEL_A_DIRECT,A
Cistus Incanus,cistus incanus,NOTE,Cistus Incanus,LEVEL_A_DIRECT,A
Citron,citron,NOTE,Citron,LEVEL_A_DIRECT,A
Citron Leaf,citron leaf,NOTE,Citron Leaf,LEVEL_A_DIRECT,A
citrus,citrus,ACCORD,citrus,LEVEL_A_DIRECT,A
Citrus,citrus,NOTE,Citrus,LEVEL_A_DIRECT,A
Citrus and Floral Notes,citrus and floral notes,NOTE,Citrus and Floral Notes,LEVEL_A_DIRECT,A
Citrus Blossom,citrus blossom,NOTE,Citrus Blossom,LEVEL_A_DIRECT,A
Citrus Japonica,citrus japonica,NOTE,Citrus Japonica,LEVEL_A_DIRECT,A
Citrus Leaf,citrus leaf,NOTE,Citrus Leaf,LEVEL_A_DIRECT,A
Citrus Leaves,citrus leaves,NOTE,Citrus Leaves,LEVEL_A_DIRECT,A
Citruses,citruses,NOTE,Citruses,LEVEL_A_DIRECT,A
Citruses Water,citruses water,NOTE,Citruses Water,LEVEL_A_DIRECT,A
citruses with sugar,citruses with sugar,NOTE,citruses with sugar,LEVEL_A_DIRECT,A
Civet,civet,NOTE,Civet,LEVEL_A_DIRECT,A
Civetta,civetta,NOTE,Civetta,LEVEL_A_DIRECT,A
Civettone,civettone,NOTE,Civettone,LEVEL_A_DIRECT,A
Clary Sage,clary sage,NOTE,Clary Sage,LEVEL_A_DIRECT,A
Clarycet,clarycet,NOTE,Clarycet,LEVEL_A_DIRECT,A
clay,clay,ACCORD,clay,LEVEL_A_DIRECT,A
Clay,clay,NOTE,Clay,LEVEL_A_DIRECT,A
Clean notes,clean notes,NOTE,Clean notes,LEVEL_A_DIRECT,A
Clearwood,clearwood,NOTE,Clearwood,LEVEL_A_DIRECT,A
Clematis,clematis,NOTE,Clematis,LEVEL_A_DIRECT,A
Clementine,clementine,NOTE,Clementine,LEVEL_A_DIRECT,A
Cloudberry,cloudberry,NOTE,Cloudberry,LEVEL_A_DIRECT,A
Clove,clove,NOTE,Clove,LEVEL_A_DIRECT,A
Clove Leaf,clove leaf,NOTE,Clove Leaf,LEVEL_A_DIRECT,A
Clover,clover,NOTE,Clover,LEVEL_A_DIRECT,A
Cloves,cloves,NOTE,Cloves,LEVEL_A_DIRECT,A
CO2 Extracts,co2 extracts,NOTE,CO2 Extracts,LEVEL_A_DIRECT,A
Coal,coal,NOTE,Coal,LEVEL_A_DIRECT,A
Coal Tar,coal tar,NOTE,Coal Tar,LEVEL_A_DIRECT,A
Coal Tar Pitch,coal tar pitch,NOTE,Coal Tar Pitch,LEVEL_A_DIRECT,A
Cobblestone,cobblestone,NOTE,Cobblestone,LEVEL_A_DIRECT,A
Coca,coca,NOTE,Coca,LEVEL_A_DIRECT,A
coca-cola,coca-cola,ACCORD,coca-cola,LEVEL_A_DIRECT,A
Coca-Cola,coca-cola,NOTE,Coca-Cola,LEVEL_A_DIRECT,A
Cocaine,cocaine,NOTE,Cocaine,LEVEL_A_DIRECT,A
Cocktail accord,cocktail accord,NOTE,Cocktail accord,LEVEL_A_DIRECT,A
Cocktail Fruits,cocktail fruits,NOTE,Cocktail Fruits,LEVEL_A_DIRECT,A
Coco De Mer,coco de mer,NOTE,Coco De Mer,LEVEL_A_DIRECT,A
Cocoa,cocoa,NOTE,Cocoa,LEVEL_A_DIRECT,A
cocoa shell,cocoa shell,NOTE,cocoa shell,LEVEL_A_DIRECT,A
Cocoapulse™,cocoapulsetm,NOTE,Cocoapulse™,LEVEL_A_DIRECT,A
Cocobolo,cocobolo,NOTE,Cocobolo,LEVEL_A_DIRECT,A
coconut,coconut,ACCORD,coconut,LEVEL_A_DIRECT,A
Coconut,coconut,NOTE,Coconut,LEVEL_A_DIRECT,A
Coconut Blossom,coconut blossom,NOTE,Coconut Blossom,LEVEL_A_DIRECT,A
Coconut Leaf,coconut leaf,NOTE,Coconut Leaf,LEVEL_A_DIRECT,A
Coconut Milk,coconut milk,NOTE,Coconut Milk,LEVEL_A_DIRECT,A
Coconut Nectar,coconut nectar,NOTE,Coconut Nectar,LEVEL_A_DIRECT,A
Coconut Pie,coconut pie,NOTE,Coconut Pie,LEVEL_A_DIRECT,A
Coconut Powder,coconut powder,NOTE,Coconut Powder,LEVEL_A_DIRECT,A
Coconut Rum,coconut rum,NOTE,Coconut Rum,LEVEL_A_DIRECT,A
Coconut Tree,coconut tree,NOTE,Coconut Tree,LEVEL_A_DIRECT,A
Coconut Water,coconut water,NOTE,Coconut Water,LEVEL_A_DIRECT,A
coffee,coffee,ACCORD,coffee,LEVEL_A_DIRECT,A
Coffee,coffee,NOTE,Coffee,LEVEL_A_DIRECT,A
Coffee blossom,coffee blossom,NOTE,Coffee blossom,LEVEL_A_DIRECT,A
Coffee CO2,coffee co2,NOTE,Coffee CO2,LEVEL_A_DIRECT,A
Coffee Liqueur,coffee liqueur,NOTE,Coffee Liqueur,LEVEL_A_DIRECT,A
Coffee Tincture,coffee tincture,NOTE,Coffee Tincture,LEVEL_A_DIRECT,A
Coffee Tree,coffee tree,NOTE,Coffee Tree,LEVEL_A_DIRECT,A
Cognac,cognac,NOTE,Cognac,LEVEL_A_DIRECT,A
Coleus,coleus,NOTE,Coleus,LEVEL_A_DIRECT,A
Columbian Coffee,columbian coffee,NOTE,Columbian Coffee,LEVEL_A_DIRECT,A
Concrete,concrete,NOTE,Concrete,LEVEL_A_DIRECT,A
Condensed Milk,condensed milk,NOTE,Condensed Milk,LEVEL_A_DIRECT,A
Cone Waffle,cone waffle,NOTE,Cone Waffle,LEVEL_A_DIRECT,A
Confetti,confetti,NOTE,Confetti,LEVEL_A_DIRECT,A
Confetti (Sugared Almonds),confetti (sugared almonds),NOTE,Confetti (Sugared Almonds),LEVEL_A_DIRECT,A
conifer,conifer,ACCORD,conifer,LEVEL_A_DIRECT,A
Conifer,conifer,NOTE,Conifer,LEVEL_A_DIRECT,A
Cookie,cookie,NOTE,Cookie,LEVEL_A_DIRECT,A
Cookie Dough,cookie dough,NOTE,Cookie Dough,LEVEL_A_DIRECT,A
Copahu Balm,copahu balm,NOTE,Copahu Balm,LEVEL_A_DIRECT,A
Copaiba balm,copaiba balm,NOTE,Copaiba balm,LEVEL_A_DIRECT,A
Copal,copal,NOTE,Copal,LEVEL_A_DIRECT,A
Copper,copper,NOTE,Copper,LEVEL_A_DIRECT,A
Coral Amber,coral amber,NOTE,Coral Amber,LEVEL_A_DIRECT,A
