accord,accord_frequency,eligible_perfume_count,mean_day_share,mean_night_share,corpus_day_share,corpus_night_share,day_difference_vs_corpus,night_difference_vs_corpus,day_lift,night_lift,day_bias_q25,day_bias_q75,daypart_tendency
yellow floral,6986,2425,0.657506239357542,0.34249376064245707,0.6200564192418216,0.3799435807581744,0.0374498201157204,-0.03744982011571735,1.0603974395773734,0.901433207422569,-0.08849253375985738,0.052318727513083585,Neutral
tropical,6512,2558,0.7196241566166367,0.2803758433833631,0.6200564192418216,0.3799435807581744,0.09956773737481506,-0.09956773737481134,1.1605785123498313,0.7379407301049153,-0.08849253375985738,0.052318727513083585,Day leaning
mossy,6173,2093,0.6291713071110057,0.3708286928889949,0.6200564192418216,0.3799435807581744,0.009114887869184018,-0.009114887869179522,1.0147000943564608,0.9760098911238588,-0.08849253375985738,0.052318727513083585,Neutral
ozonic,5777,2228,0.7387119764059576,0.261288023594041,0.6200564192418216,0.3799435807581744,0.118655557164136,-0.1186555571641334,1.1913625171548468,0.6877021663917648,-0.08849253375985738,0.052318727513083585,Day leaning
tobacco,4372,1506,0.43812755851384877,0.5618724414861507,0.6200564192418216,0.3799435807581744,-0.18192886072797287,0.18192886072797626,0.7065930533379081,1.4788312526953045,-0.08849253375985738,0.052318727513083585,Night leaning
marine,4326,1464,0.7354124236980779,0.26458757630192214,0.6200564192418216,0.3799435807581744,0.11535600445625627,-0.11535600445625227,1.186041142187204,0.6963864892096341,-0.08849253375985738,0.052318727513083585,Day leaning
cinnamon,4259,1573,0.4745869696904319,0.5254130303095681,0.6200564192418216,0.3799435807581744,-0.14546944955138974,0.14546944955139368,0.7653932044937725,1.3828711864564485,-0.08849253375985738,0.052318727513083585,Night leaning
caramel,4008,1569,0.5522427723079268,0.44775722769207316,0.6200564192418216,0.3799435807581744,-0.0678136469338948,0.06781364693389874,0.8906331023605651,1.1784834653570857,-0.08849253375985738,0.052318727513083585,Neutral
tuberose,3931,1473,0.606140089955507,0.3938599100444931,0.6200564192418216,0.3799435807581744,-0.013916329286314588,0.013916329286318696,0.9775563499474276,1.0366273573001255,-0.08849253375985738,0.052318727513083585,Neutral
nutty,3619,1501,0.5815660624819706,0.41843393751803004,0.6200564192418216,0.3799435807581744,-0.03849035675985102,0.038490356759855626,0.9379244282207168,1.101305453517726,-0.08849253375985738,0.052318727513083585,Neutral
aldehydic,3556,1177,0.6853460188247821,0.31465398117521853,0.6200564192418216,0.3799435807581744,0.06528959958296043,-0.06528959958295588,1.1052962239513522,0.8281597508433463,-0.08849253375985738,0.052318727513083585,Day leaning
honey,3467,1225,0.5515229572933246,0.4484770427066757,0.6200564192418216,0.3799435807581744,-0.06853346194849708,0.0685334619485013,0.8894722160407648,1.180377996679779,-0.08849253375985738,0.052318727513083585,Neutral
almond,3438,1387,0.5805212409035405,0.4194787590964606,0.6200564192418216,0.3799435807581744,-0.03953517833828113,0.03953517833828618,0.936239385463305,1.1040553922753322,-0.08849253375985738,0.052318727513083585,Neutral
coconut,3269,1287,0.6869558998334869,0.3130441001665131,0.6200564192418216,0.3799435807581744,0.06689948059166528,-0.06689948059166134,1.107892569959145,0.8239225927750538,-0.08849253375985738,0.052318727513083585,Day leaning
salty,2520,887,0.7340745466323167,0.2659254533676826,0.6200564192418216,0.3799435807581744,0.1140181273904951,-0.11401812739049183,1.1838834722974267,0.6999077411362773,-0.08849253375985738,0.052318727513083585,Day leaning
metallic,2235,729,0.4648809506114947,0.5351190493885053,0.6200564192418216,0.3799435807581744,-0.15517546863032694,0.15517546863033088,0.749739759455972,1.4084171347774306,-0.08849253375985738,0.052318727513083585,Night leaning
cacao,2035,765,0.47243583682481377,0.5275641631751863,0.6200564192418216,0.3799435807581744,-0.14762058241700787,0.14762058241701187,0.7619239510534993,1.388532903023223,-0.08849253375985738,0.052318727513083585,Night leaning
sour,1912,513,0.72925296045382,0.27074703954618046,0.6200564192418216,0.3799435807581744,0.1091965412119984,-0.10919654121199396,1.1761074280071468,0.7125980099621815,-0.08849253375985738,0.052318727513083585,Day leaning
conifer,1828,552,0.6711771918743145,0.32882280812568654,0.6200564192418216,0.3799435807581744,0.05112077263249282,-0.051120772632487876,1.0824453566580299,0.8654516743499738,-0.08849253375985738,0.052318727513083585,Neutral
coffee,1815,692,0.4555706371546563,0.544429362845344,0.6200564192418216,0.3799435807581744,-0.16448578208716536,0.16448578208716963,0.734724491219216,1.432921597882874,-0.08849253375985738,0.052318727513083585,Night leaning
cherry,1803,689,0.5594865719454082,0.44051342805459176,0.6200564192418216,0.3799435807581744,-0.06056984729641346,0.060569847296417345,0.9023155870711319,1.1594180040508928,-0.08849253375985738,0.052318727513083585,Neutral
soapy,1720,479,0.7390373289578227,0.2609626710421774,0.6200564192418216,0.3799435807581744,0.11898090971600106,-0.11898090971599701,1.1918872315869027,0.6868458483268186,-0.08849253375985738,0.052318727513083585,Day leaning
chocolate,1554,583,0.48446359785560417,0.5155364021443959,0.6200564192418216,0.3799435807581744,-0.13559282138621748,0.13559282138622147,0.7813218004387172,1.3568762001864778,-0.08849253375985738,0.052318727513083585,Night leaning
anis,1418,503,0.5930305287282598,0.40696947127173977,0.6200564192418216,0.3799435807581744,-0.027025890513561857,0.027025890513565354,0.9564138202994367,1.071131325497421,-0.08849253375985738,0.052318727513083585,Neutral
rum,1166,552,0.4607755840166823,0.5392244159833176,0.6200564192418216,0.3799435807581744,-0.15928083522513936,0.1592808352251432,0.7431188029310283,1.4192223353459468,-0.08849253375985738,0.052318727513083585,Night leaning
bitter,1034,262,0.7191919941651618,0.2808080058348377,0.6200564192418216,0.3799435807581744,0.09913557492334013,-0.09913557492333669,1.1598815395614464,0.7390781685914724,-0.08849253375985738,0.052318727513083585,Day leaning
whiskey,808,271,0.41764498790034343,0.5823550120996567,0.6200564192418216,0.3799435807581744,-0.2024114313414782,0.20241143134148226,0.6735596551214191,1.5327407583451518,-0.08849253375985738,0.052318727513083585,Night leaning
camphor,793,249,0.6630795137977191,0.3369204862022803,0.6200564192418216,0.3799435807581744,0.04302309455589748,-0.04302309455589409,1.0693857739728012,0.8867645178527774,-0.08849253375985738,0.052318727513083585,Neutral
mineral,770,270,0.6372568846501658,0.36274311534983394,0.6200564192418216,0.3799435807581744,0.01720046540834419,-0.01720046540834047,1.0277401618216875,0.9547288958691785,-0.08849253375985738,0.052318727513083585,Neutral
savory,654,247,0.6585414474671263,0.341458552532874,0.6200564192418216,0.3799435807581744,0.03848502822530464,-0.03848502822530042,1.0620669781507341,0.8987085710238771,-0.08849253375985738,0.052318727513083585,Neutral
terpenic,557,153,0.7792946659308848,0.2207053340691153,0.6200564192418216,0.3799435807581744,0.15923824668906317,-0.15923824668905912,1.2568125121319973,0.5808897563914609,-0.08849253375985738,0.052318727513083585,Day leaning
cannabis,388,128,0.5477580100236336,0.4522419899763663,0.6200564192418216,0.3799435807581744,-0.07229840921818809,0.07229840921819186,0.8834002729838819,1.1902872238923499,-0.08849253375985738,0.052318727513083585,Neutral
beeswax,349,122,0.5829013185863312,0.41709868141366885,0.6200564192418216,0.3799435807581744,-0.037155100655490436,0.03715510065549443,0.9400778711380456,1.0977910998821239,-0.08849253375985738,0.052318727513083585,Neutral
Champagne,311,125,0.6724272726842127,0.32757272731578785,0.6200564192418216,0.3799435807581744,0.05237085344239101,-0.05237085344238657,1.0844614325683908,0.8621614995103195,-0.08849253375985738,0.052318727513083585,Day leaning
wine,236,69,0.5172918970323918,0.48270810296760813,0.6200564192418216,0.3799435807581744,-0.10276452220942989,0.10276452220943372,0.8342658522347274,1.2704731107823113,-0.08849253375985738,0.052318727513083585,Night leaning
sand,215,80,0.7357478285891562,0.2642521714108435,0.6200564192418216,0.3799435807581744,0.11569140934733457,-0.11569140934733091,1.1865820685943338,0.695503713692255,-0.08849253375985738,0.052318727513083585,Day leaning
alcohol,154,74,0.4329138340161253,0.567086165983875,0.6200564192418216,0.3799435807581744,-0.18714258522569632,0.18714258522570054,0.6981845854373603,1.4925536177036047,-0.08849253375985738,0.052318727513083585,Night leaning
gourmand,151,53,0.66814372548882,0.3318562745111801,0.6200564192418216,0.3799435807581744,0.04808730624699831,-0.04808730624699431,1.077553114127578,0.8734356660243174,-0.08849253375985738,0.052318727513083585,Neutral
oily,132,7,0.6894272366719674,0.3105727633280328,0.6200564192418216,0.3799435807581744,0.06937081743014573,-0.06937081743014162,1.1118782344273919,0.8174181090473678,-0.08849253375985738,0.052318727513083585,Day leaning
coca-cola,90,40,0.559899093919091,0.44010090608090896,0.6200564192418216,0.3799435807581744,-0.06015732532273066,0.060157325322734545,0.9029808845519438,1.1583322587071772,-0.08849253375985738,0.052318727513083585,Neutral
vodka,87,42,0.5827984223740007,0.41720157762599913,0.6200564192418216,0.3799435807581744,-0.03725799686782094,0.037257996867824716,0.939911924606186,1.0980619195973167,-0.08849253375985738,0.052318727513083585,Neutral
paper,58,11,0.5196087551949006,0.4803912448050994,0.6200564192418216,0.3799435807581744,-0.10044766404692107,0.10044766404692501,0.8380023802192965,1.2643752102522234,-0.08849253375985738,0.052318727513083585,Night leaning
clay,43,14,0.7147815463950955,0.2852184536049044,0.6200564192418216,0.3799435807581744,0.09472512715327386,-0.09472512715327003,1.1527685613981704,0.7506863335755093,-0.08849253375985738,0.052318727513083585,Day leaning
plastic,39,18,0.5447451444522431,0.4552548555477569,0.6200564192418216,0.3799435807581744,-0.07531127478957855,0.0753112747895825,0.8785412545496006,1.19821699484776,-0.08849253375985738,0.052318727513083585,Neutral
vinyl,37,24,0.5443936220911761,0.4556063779088238,0.6200564192418216,0.3799435807581744,-0.0756627971506455,0.07566279715064939,0.8779743345885158,1.1991421910581168,-0.08849253375985738,0.052318727513083585,Neutral
asphault,29,13,0.5073749592396077,0.4926250407603923,0.6200564192418216,0.3799435807581744,-0.1126814600022139,0.1126814600022179,0.8182722466771718,1.2965741907715955,-0.08849253375985738,0.052318727513083585,Night leaning
gasoline,25,9,0.46605605211478784,0.5339439478852122,0.6200564192418216,0.3799435807581744,-0.1540003671270338,0.15400036712703774,0.7516349120047191,1.4053243032024156,-0.08849253375985738,0.052318727513083585,Night leaning
rubber,21,5,0.36662889088844364,0.6333711091115564,0.6200564192418216,0.3799435807581744,-0.253427528353378,0.25342752835338195,0.5912831147474317,1.6670135809313302,-0.08849253375985738,0.052318727513083585,Night leaning
milky,20,5,0.6177884167114936,0.3822115832885064,0.6200564192418216,0.3799435807581744,-0.002268002530327995,0.0022680025303319917,0.9963422642521769,1.0059693139855297,-0.08849253375985738,0.052318727513083585,Neutral
industrial glue,12,5,0.5512262737262736,0.4487737262737263,0.6200564192418216,0.3799435807581744,-0.068830145515548,0.06883014551555189,0.8889937376993685,1.1811588588447839,-0.08849253375985738,0.052318727513083585,Neutral
hot iron,10,5,0.5997811379632274,0.40021886203677265,0.6200564192418216,0.3799435807581744,-0.020275281278594237,0.020275281278598234,0.9673009089989166,1.053363926397017,-0.08849253375985738,0.052318727513083585,Neutral
sake,9,3,0.44149144573592797,0.5585085542640721,0.6200564192418216,0.3799435807581744,-0.17856497350589368,0.17856497350589767,0.7120181842093737,1.4699776033840937,-0.08849253375985738,0.052318727513083585,Night leaning
spice,8,2,0.45250236071765815,0.5474976392823419,0.6200564192418216,0.3799435807581744,-0.1675540585241635,0.16755405852416744,0.7297761085530872,1.4409972085587408,-0.08849253375985738,0.052318727513083585,Night leaning
bacon,7,1,0.6296296296296297,0.37037037037037035,0.6200564192418216,0.3799435807581744,0.009573210387808007,-0.009573210387804065,1.015439256962316,0.9748036001326807,-0.08849253375985738,0.052318727513083585,Neutral
varnish,5,3,0.6320770732535439,0.36792292674645616,0.6200564192418216,0.3799435807581744,0.012020654011722254,-0.012020654011718257,1.019386387494255,0.9683620026222548,-0.08849253375985738,0.052318727513083585,Neutral
Pear,4,1,0.7518220176448025,0.24817798235519756,0.6200564192418216,0.3799435807581744,0.13176559840298085,-0.13176559840297686,1.212505820944646,0.6531969348184811,-0.08849253375985738,0.052318727513083585,Day leaning
meat,4,2,0.36923076923076925,0.6307692307692307,0.6200564192418216,0.3799435807581744,-0.2508256500110524,0.25082565001105633,0.5954793108702089,1.6601655159182733,-0.08849253375985738,0.052318727513083585,Night leaning
bbq,3,0,,,0.6200564192418216,0.3799435807581744,,,,,-0.08849253375985738,0.052318727513083585,INSUFFICIENT_DATA
tennis ball,3,3,0.9178143245531935,0.0821856754468066,0.6200564192418216,0.3799435807581744,0.2977579053113718,-0.2977579053113678,1.4802109873734675,0.2163102092231845,-0.08849253375985738,0.052318727513083585,Day leaning
wet plaster,2,1,0.8421052631578947,0.15789473684210525,0.6200564192418216,0.3799435807581744,0.22204884391607305,-0.22204884391606916,1.3581107090022306,0.4155741663723534,-0.08849253375985738,0.052318727513083585,Day leaning
brown scotch tape,1,1,0.6868131868131868,0.3131868131868132,0.6200564192418216,0.3799435807581744,0.06675676757136517,-0.06675676757136123,1.1076624086127396,0.8242982091231845,-0.08849253375985738,0.052318727513083585,Day leaning
foresty,1,1,0.6027397260273972,0.3972602739726027,0.6200564192418216,0.3799435807581744,-0.017316693214424417,0.017316693214428303,0.9720723910324184,1.0455770121971082,-0.08849253375985738,0.052318727513083585,Neutral
