accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
salty,2520,1152,0.10366545443982429,0.21015620864724194,0.49327809588453375,0.31402781364970145,0.2857808718775258,1.098841261091404,0.41282622007637676,0.23873846990843414,1.7291985670960877,0.1694805118340973,0.265324449566811,0.6387670345149274,summer,summer,spring,winter
metallic,2235,975,0.3075654312905965,0.21015620864724194,1.4635086599171618,0.22055543527365054,0.2857808718775258,0.7717641626069771,0.13864843039437594,0.23873846990843414,0.5807544567390133,0.333230703041377,0.265324449566811,1.255936660136052,autumn,winter,autumn,summer
cacao,2035,974,0.3586694393886462,0.21015620864724194,1.706680196113984,0.17876061906420945,0.2857808718775258,0.6255163891473431,0.10148400308495578,0.23873846990843414,0.4250844161139133,0.36108593846218817,0.265324449566811,1.3609222182566465,autumn,winter,autumn,summer
sour,1912,693,0.1531273665122731,0.21015620864724194,0.7286359394183082,0.31280740877007546,0.2857808718775258,1.0945708392412357,0.33575424619015354,0.23873846990843414,1.4063684261649532,0.19831097852749857,0.265324449566811,0.7474282104467803,summer,summer,spring,winter
conifer,1828,774,0.1844121181701818,0.21015620864724194,0.8775002145177023,0.28875661041240636,0.2857808718775258,1.0104126581857298,0.27552155675807455,0.23873846990843414,1.1540727259571875,0.2513097146593379,0.265324449566811,0.947178878801578,spring,summer,spring,winter
coffee,1815,900,0.35451128165729295,0.21015620864724194,1.6868941628670056,0.1785168847618191,0.2857808718775258,0.6246635178519724,0.0973626057339377,0.23873846990843414,0.40782118512898313,0.3696092278469507,0.265324449566811,1.3930462437608107,autumn,winter,autumn,summer
cherry,1803,887,0.2615162288557618,0.21015620864724194,1.2443897353264985,0.26118732123858146,0.2857808718775258,0.9139426285693321,0.18557210573692065,0.23873846990843414,0.7773029030809113,0.291724344168737,0.265324449566811,1.0995004216348265,autumn,winter,autumn,summer
soapy,1720,669,0.13343167330790107,0.21015620864724194,0.6349166373279651,0.36021753730335515,0.2857808718775258,1.26046762660074,0.31830400847246426,0.23873846990843414,1.3332748953050872,0.18804678091628074,0.265324449566811,0.7087427533470825,spring,summer,spring,winter
chocolate,1554,764,0.3546849554032703,0.21015620864724194,1.6877205659844545,0.18101884064156273,0.2857808718775258,0.633418323109953,0.11129520246749117,0.23873846990843414,0.46618042961478884,0.3530010014876766,0.265324449566811,1.3304503300167514,winter,winter,autumn,summer
anis,1418,648,0.23175603403827466,0.21015620864724194,1.1027798585160486,0.2678281122862869,0.2857808718775258,0.9371799817346321,0.21121991741108273,0.23873846990843414,0.8847334804989498,0.2891959362643559,0.265324449566811,1.0899709270537234,autumn,winter,autumn,summer
