accord,accord_frequency,eligible_perfume_count,mean_winter_share,corpus_winter_share,winter_lift,mean_spring_share,corpus_spring_share,spring_lift,mean_summer_share,corpus_summer_share,summer_lift,mean_autumn_share,corpus_autumn_share,autumn_lift,dominant_season_by_share,strongest_season_by_lift,second_season_by_lift,weakest_season_by_lift
rum,1166,679,0.32969561648412954,0.21015620864724194,1.5688121640866708,0.19282319469480227,0.2857808718775258,0.6747239359583119,0.13164587232214484,0.23873846990843414,0.5514229540494096,0.345835316498924,0.265324449566811,1.3034430753123627,autumn,winter,autumn,summer
bitter,1034,373,0.136662657233096,0.21015620864724194,0.6502908389563277,0.32294363731076764,0.2857808718775258,1.130039373136101,0.3297042946717052,0.23873846990843414,1.381027091269204,0.2106894107844313,0.265324449566811,0.7940821553702229,summer,summer,spring,winter
whiskey,808,356,0.3581749777570593,0.21015620864724194,1.7043273670694856,0.17444010134933988,0.2857808718775258,0.6103981004862281,0.09123279112457758,0.23873846990843414,0.38214532898518216,0.3761521297690228,0.265324449566811,1.41770624751378,autumn,winter,autumn,summer
camphor,793,345,0.17470952320174973,0.21015620864724194,0.8313317237988848,0.3018205330491489,0.2857808718775258,1.0561257339102004,0.2659599888143852,0.23873846990843414,1.1140223396605986,0.25750995493471635,0.265324449566811,0.9705474009468287,spring,summer,spring,winter
mineral,770,364,0.17363579387768352,0.21015620864724194,0.8262225274968686,0.2863212518505548,0.2857808718775258,1.0018908892308949,0.300664452844095,0.23873846990843414,1.259388371549051,0.2393785014276666,0.265324449566811,0.9022104891520335,summer,summer,spring,winter
savory,654,324,0.2614394294919666,0.21015620864724194,1.2440242959027024,0.26123718280175484,0.2857808718775258,0.9141171033788104,0.18486797426308232,0.23873846990843414,0.774353518869358,0.29245541344319614,0.265324449566811,1.1022558000993923,autumn,winter,autumn,summer
terpenic,557,213,0.10536339824519202,0.21015620864724194,0.5013575326820343,0.3020183530165592,0.2857808718775258,1.0568179424758426,0.432838456867824,0.23873846990843414,1.8130235023866705,0.15977979187042465,0.265324449566811,0.6022053079966561,summer,summer,spring,winter
cannabis,388,185,0.2092948793553375,0.21015620864724194,0.9959014806298194,0.2792677036484865,0.2857808718775258,0.9772092226248418,0.2152826318539247,0.23873846990843414,0.9017509073275636,0.2961547851422514,0.265324449566811,1.1161986225761567,autumn,autumn,winter,summer
beeswax,349,164,0.2520125498336598,0.21015620864724194,1.199167759334086,0.2601666247358145,0.2857808718775258,0.9103710231778963,0.1775177367192648,0.23873846990843414,0.7435656967532297,0.3103030887112605,0.265324449566811,1.1695231601078795,autumn,winter,autumn,summer
Champagne,311,160,0.17351701500691147,0.21015620864724194,0.8256573342459216,0.32741451783486175,0.2857808718775258,1.1456838090100672,0.27829083898945767,0.23873846990843414,1.1656723740258261,0.22077762816876906,0.265324449566811,0.8321043482017112,spring,summer,spring,winter
wine,236,101,0.2627593007292675,0.21015620864724194,1.2503047253308732,0.2377264433830242,0.2857808718775258,0.831848688196683,0.1711193617412163,0.23873846990843414,0.7167649261002951,0.328394894146492,0.265324449566811,1.2377106394930983,autumn,winter,autumn,summer
sand,215,103,0.11459265878521185,0.21015620864724194,0.5452737253057394,0.27702623542408433,0.2857808718775258,0.9693659117353615,0.4196596046544095,0.23873846990843414,1.7578214554837597,0.18872150113629443,0.265324449566811,0.7112857538926985,summer,summer,spring,winter
alcohol,154,90,0.33609445458684306,0.21015620864724194,1.5992601729459013,0.19409464794814232,0.2857808718775258,0.6791729854870184,0.12199529884655623,0.23873846990843414,0.5109997517088317,0.3478155986184579,0.265324449566811,1.3109067000283172,autumn,winter,autumn,summer
gourmand,151,66,0.22057540676415419,0.21015620864724194,1.0495783502375673,0.27949497044159427,0.2857808718775258,0.9780044710668199,0.22236328909569097,0.23873846990843414,0.9314095427560388,0.2775663336985606,0.265324449566811,1.046139299079812,spring,winter,autumn,summer
oily,132,9,0.16810596370702707,0.21015620864724194,0.7999095757822774,0.28493069834159174,0.2857808718775258,0.9970250859326287,0.31520823823239774,0.23873846990843414,1.3203076921507155,0.23175509971898345,0.265324449566811,0.8734781136731445,summer,summer,spring,winter
coca-cola,90,56,0.2401331670166453,0.21015620864724194,1.1426413169630465,0.2431820821920819,0.2857808718775258,0.8509389750070465,0.2296379155060254,0.23873846990843414,0.9618806537300034,0.2870468352852475,0.265324449566811,1.0818710290510434,autumn,winter,autumn,spring
vodka,87,52,0.19789523150205934,0.21015620864724194,0.9416577924387507,0.2871387065971938,0.2857808718775258,1.0047513142175937,0.2911287076744269,0.23873846990843414,1.2194461486918573,0.2238373542263201,0.265324449566811,0.8436363651814753,summer,summer,spring,autumn
paper,58,18,0.2831262947649502,0.21015620864724194,1.3472183219682667,0.2127266327103992,0.2857808718775258,0.7443697379493099,0.10260667168039876,0.23873846990843414,0.42978692005420227,0.40154040084425185,0.265324449566811,1.5133938900083932,autumn,autumn,winter,summer
clay,43,23,0.17246501637385664,0.21015620864724194,0.8206515405088416,0.3068332885746939,0.2857808718775258,1.0736662903953567,0.241535883510175,0.23873846990843414,1.011717481488483,0.2791658115412744,0.265324449566811,1.052167683743665,spring,spring,autumn,winter
