표현,accord,해당군 수,해당군 비율,전체 비율,배수,배수 CI하한,순환,신호
깨끗한,smoky,125,0.030909990108803166,0.06671501087744743,0.46331387347869096,0.38335651684246824,False,False
깨끗한,caramel,63,0.015578635014836795,0.047296752880509225,0.32938064594401956,0.24868048722831135,False,False
깨끗한,cinnamon,44,0.010880316518298714,0.04077028442510676,0.26686879112372597,0.1884442576891733,False,False
깨끗한,tobacco,38,0.009396636993076163,0.03641930545483845,0.2580125259315669,0.17636275652138148,False,False
빨래,soapy,43,0.04493207941483804,0.009991136894690195,4.497193851754475,3.183541097247829,False,True
빨래,aldehydic,81,0.08463949843260188,0.028764805414551606,2.9424672690392772,2.329381427543076,False,True
빨래,aquatic,118,0.12330198537095088,0.06429780033840947,1.9176703514271574,1.5936934607457216,False,True
빨래,ozonic,77,0.08045977011494253,0.04463782128756748,1.8025021785136313,1.416427005945298,False,True
빨래,fresh,406,0.42424242424242425,0.24027072758037224,1.7656850192061462,1.6353605042002013,True,False
빨래,musky,503,0.5256008359456635,0.31931351220691323,1.6460338064399773,1.5469545389918278,False,True
빨래,white floral,433,0.45245559038662486,0.27693175408911447,1.6338162153879552,1.5199421043033872,False,True
빨래,floral,473,0.4942528735632184,0.3336556280718717,1.481326349624029,1.3863877194929441,False,False
빨래,violet,78,0.08150470219435736,0.05575698976714205,1.4617844782285683,1.1508774177089913,False,False
빨래,lavender,86,0.08986415882967608,0.06147772137619854,1.4617353541744558,1.1670023943507897,False,False
빨래,salty,31,0.03239289446185998,0.022238336959149143,1.4566239607468991,0.95222730494191,False,False
빨래,marine,44,0.04597701149425287,0.03255176859237773,1.4124274496415157,1.004788848859491,False,False
빨래,citrus,545,0.5694879832810867,0.41447103376037386,1.3740115397553592,1.2983211329248674,False,False
빨래,yellow floral,73,0.07628004179728318,0.05599871082104585,1.3621749622245776,1.061845666076127,False,False
빨래,iris,92,0.0961337513061651,0.07356377407138828,1.3068083104718675,1.0529296897646805,False,False
빨래,green,266,0.2779519331243469,0.21577632745145436,1.2881484100098093,1.156606479998018,False,False
빨래,powdery,552,0.5768025078369906,0.5068890500362582,1.1379265497957225,1.076171524265801,False,False
빨래,fresh spicy,371,0.3876698014629049,0.34533881234388847,1.1225781395137922,1.0331902802773256,False,False
빨래,animalic,122,0.12748171368861025,0.11868503746676336,1.0741178198162538,0.8960787377246696,False,False
빨래,aromatic,414,0.43260188087774293,0.4123761179598743,1.0490468822926275,0.9729275896034913,False,False
빨래,herbal,54,0.05642633228840126,0.05382322133591169,1.0483640868732755,0.7767456579316555,False,False
빨래,rose,154,0.16091954022988506,0.16380630086213843,0.9823769866173652,0.8402502793084048,False,False
빨래,fruity,324,0.3385579937304075,0.3645153492869229,0.9287894032245994,0.8465373582781772,False,False
빨래,tropical,52,0.054336468129571575,0.06147772137619854,0.8838399815938569,0.6502273273547852,False,False
빨래,woody,547,0.5715778474399164,0.6622351140117637,0.86310410811252,0.815760478368211,False,False
빨래,sweet,443,0.46290491118077326,0.5450809765530578,0.8492406286274319,0.7912830061055529,False,False
빨래,mossy,33,0.034482758620689655,0.04117315284827975,0.8375059045819556,0.5567253705431594,False,False
빨래,tuberose,31,0.03239289446185998,0.03923938441704939,0.8255199448996802,0.5396606492073248,False,False
빨래,lactonic,52,0.054336468129571575,0.0728386109096769,0.7459844092434876,0.5488091269598463,False,False
빨래,soft spicy,71,0.0741901776384535,0.10289259527838208,0.7210448666177339,0.559664730163632,False,False
빨래,amber,256,0.26750261233019856,0.3727338651196519,0.7176772420298518,0.6424338607655241,False,False
빨래,earthy,89,0.09299895506792058,0.13802272177906696,0.6737945308511163,0.5404754093460649,False,False
빨래,vanilla,164,0.17136886102403343,0.3528321650149061,0.4856951208424935,0.4180278730703292,False,False
빨래,leather,42,0.0438871473354232,0.09934735315445975,0.4417545706244423,0.31111731271260185,False,False
빨래,warm spicy,138,0.14420062695924765,0.3775682861977278,0.38191933017311624,0.3229706412873757,False,False
빨래,balsamic,52,0.054336468129571575,0.1545403271291596,0.35160057661945404,0.25866707548055323,False,False
빨래,patchouli,31,0.03239289446185998,0.10305374264765128,0.31433011193600013,0.20548454743077965,False,False
이불,caramel,39,0.3482142857142857,0.047296752880509225,7.362329642248722,5.496845999699678,False,True
이불,powdery,89,0.7946428571428571,0.5068890500362582,1.5676859799713876,1.4200898232031123,False,True
이불,musky,52,0.4642857142857143,0.31931351220691323,1.454012112036336,1.1647516752600058,False,False
이불,vanilla,53,0.4732142857142857,0.3528321650149061,1.3411880566339347,1.0791135309891693,False,False
이불,sweet,80,0.7142857142857143,0.5450809765530578,1.3104212860310422,1.1569284909192254,False,False
이불,fruity,50,0.44642857142857145,0.3645153492869229,1.2247181697612732,0.9721410167779806,False,False
이불,fresh,32,0.2857142857142857,0.24027072758037224,1.1891348088531186,0.8409192625984435,False,False
이불,floral,38,0.3392857142857143,0.3336556280718717,1.0168739434919103,0.7540661495901407,False,False
이불,amber,38,0.3392857142857143,0.3727338651196519,0.910262645914397,0.675008198325286,False,False
이불,woody,55,0.49107142857142855,0.6622351140117637,0.7415363791215477,0.6017272259765735,False,False
이불,citrus,31,0.2767857142857143,0.41447103376037386,0.6678047239502333,0.4678838188011714,False,False
비 오는 숲,mossy,36,0.14937759336099585,0.04117315284827975,3.6280338771102145,2.5349724624089767,False,True
비 오는 숲,ozonic,34,0.14107883817427386,0.04463782128756748,3.1605224920233086,2.17593990748641,False,True
비 오는 숲,earthy,101,0.4190871369294606,0.13802272177906696,3.0363633721141476,2.5850225403950877,False,True
비 오는 숲,aquatic,47,0.1950207468879668,0.06429780033840947,3.0330858265996947,2.2550776063042766,False,True
비 오는 숲,green,104,0.4315352697095436,0.21577632745145436,1.9999194295612939,1.7101159045676553,False,True
비 오는 숲,aromatic,137,0.5684647302904564,0.4123761179598743,1.378510310206107,1.2268702476947815,False,False
비 오는 숲,fresh,72,0.2987551867219917,0.24027072758037224,1.243410671497867,1.0028972898938708,False,False
비 오는 숲,patchouli,30,0.12448132780082988,0.10305374264765128,1.2079263169164187,0.8034728209793289,False,False
비 오는 숲,woody,189,0.7842323651452282,0.6622351140117637,1.1842204506408842,1.1057961099011404,False,False
비 오는 숲,fresh spicy,94,0.3900414937759336,0.34533881234388847,1.1294458654346973,0.9511227222439277,False,False
비 오는 숲,balsamic,41,0.17012448132780084,0.1545403271291596,1.1008419904897477,0.7938722221420238,False,False
비 오는 숲,floral,82,0.34024896265560167,0.3336556280718717,1.019760897251551,0.8404785452936965,False,False
비 오는 숲,musky,74,0.3070539419087137,0.31931351220691323,0.9616064781804304,0.7792222388480172,False,False
비 오는 숲,warm spicy,86,0.35684647302904565,0.3775682861977278,0.945117707375904,0.7849222954378053,False,False
비 오는 숲,amber,80,0.33195020746887965,0.3727338651196519,0.8905823659525002,0.73107175216138,False,False
비 오는 숲,rose,33,0.13692946058091288,0.16380630086213843,0.8359230375158434,0.5709580183636789,False,False
비 오는 숲,powdery,92,0.3817427385892116,0.5068890500362582,0.7531090651137665,0.6321036945973081,False,False
비 오는 숲,white floral,50,0.2074688796680498,0.27693175408911447,0.7491697019377848,0.564302683563413,False,False
비 오는 숲,citrus,73,0.3029045643153527,0.41447103376037386,0.7308220349373721,0.5908464167726012,False,False
비 오는 숲,fruity,55,0.22821576763485477,0.3645153492869229,0.6260799938364683,0.48071745360946,False,False
비 오는 숲,sweet,76,0.3153526970954357,0.5450809765530578,0.5785428416336219,0.47091658124506625,False,False
차가운,cinnamon,284,0.07082294264339152,0.04077028442510676,1.7371216228204194,1.5423721160190658,False,True
차가운,chocolate,101,0.025187032418952617,0.016598179034727257,1.5174575696680628,1.2252626976997278,False,True
차가운,rum,117,0.029177057356608478,0.0193376843123036,1.5088185785536161,1.239435582332418,False,True
차가운,tobacco,220,0.05486284289276808,0.03641930545483845,1.5064219981020899,1.3128962305427634,False,True
차가운,metallic,99,0.024688279301745636,0.01651760535009266,1.4946645581169027,1.2038916551830887,False,False
차가운,whiskey,38,0.009476309226932668,0.006365321086133269,1.4887401748792575,1.0176374513594328,False,False
차가운,oud,310,0.0773067331670823,0.05615985819031504,1.3765478699234697,1.2293521374981942,False,False
차가운,coffee,112,0.027930174563591023,0.02038514221255338,1.3701240968724435,1.11994230681054,False,False
차가운,sour,31,0.0077306733167082295,0.005720731609056482,1.3513434723051527,0.877477246739175,False,False
차가운,smoky,360,0.08977556109725686,0.06671501087744743,1.3456575951425784,1.21303618729549,False,False
차가운,warm spicy,1996,0.4977556109725686,0.3775682861977278,1.3183194382801,1.2773316951931895,False,False
차가운,cacao,117,0.029177057356608478,0.022560631697687534,1.2932730673316708,1.0623733562849296,False,False
차가운,leather,498,0.12418952618453866,0.09934735315445975,1.2500536978721082,1.147305281622478,False,False
차가운,tropical,304,0.07581047381546134,0.06147772137619854,1.2331373401358987,1.0998738296734425,False,False
차가운,balsamic,743,0.18528678304239402,0.1545403271291596,1.1989542566940314,1.1211386586863985,False,False
차가운,amber,1792,0.44688279301745637,0.3727338651196519,1.198932629515705,1.157647805927579,False,False
차가운,caramel,215,0.05361596009975062,0.047296752880509225,1.1336076333867207,0.9861954744048501,False,False
차가운,soft spicy,466,0.11620947630922693,0.10289259527838208,1.129425066933293,1.0330210332628078,False,False
차가운,cherry,93,0.02319201995012469,0.020546289581822575,1.1287692533372453,0.9020312240246923,False,False
차가운,patchouli,463,0.11546134663341646,0.10305374264765128,1.1203993534537386,1.024415797969634,False,False
차가운,anis,49,0.012219451371571072,0.011280315848843767,1.0832543640897756,0.781801986476509,False,False
차가운,vanilla,1526,0.38054862842892767,0.3528321650149061,1.0785542423912815,1.0359625982315612,False,False
차가운,honey,156,0.03890274314214464,0.03609701071630006,1.0777275561097257,0.9119268299208967,False,False
차가운,fruity,1548,0.3860349127182045,0.3645153492869229,1.0590360967607506,1.0176977414043593,False,False
차가운,sweet,2294,0.5720698254364089,0.5450809765530578,1.049513466887106,1.021418156418707,False,False
차가운,fresh spicy,1436,0.35810473815461347,0.34533881234388847,1.0369663801299365,0.9939953650821179,False,False
차가운,woody,2723,0.6790523690773067,0.6622351140117637,1.0253946894535166,1.003575410145639,False,False
차가운,rose,663,0.1653366583541147,0.16380630086213843,1.0093424824559358,0.9391495268169685,False,False
차가운,aromatic,1592,0.3970074812967581,0.4123761179598743,0.9627315065209193,0.9260078694737469,False,False
차가운,powdery,1932,0.48179551122194514,0.5068890500362582,0.9504950071173996,0.9199842534555517,False,False
차가운,animalic,446,0.11122194513715711,0.11868503746676336,0.937118507194336,0.8551249329970526,False,False
차가운,almond,151,0.037655860349127185,0.04068971074047216,0.9254393718673614,0.7806353004898887,False,False
차가운,fresh,873,0.2177057356608479,0.24027072758037224,0.9060851392645148,0.8529229288391265,False,False
차가운,aquatic,232,0.05785536159600998,0.06429780033840947,0.8998031237695236,0.787415531835798,False,False
차가운,earthy,498,0.12418952618453866,0.13802272177906696,0.8997759541601338,0.8258186878228344,False,False
차가운,nutty,172,0.0428927680798005,0.047860768672951415,0.8961988966976497,0.7651671435550244,False,False
차가운,conifer,40,0.00997506234413965,0.011441463218112964,0.8718344982613888,0.6030011180697741,False,False
차가운,musky,1100,0.2743142144638404,0.31931351220691323,0.8590748714889537,0.8158269686387889,False,False
차가운,citrus,1414,0.35261845386533663,0.41447103376037386,0.8507674243628874,0.8150876271883342,False,False
차가운,floral,1135,0.2830423940149626,0.3336556280718717,0.8483069674280853,0.8065183586579138,False,False
차가운,ozonic,148,0.03690773067331671,0.04463782128756748,0.8268264357157648,0.6960969611240178,False,False
차가운,lactonic,240,0.059850374064837904,0.0728386109096769,0.8216847262375035,0.7208862066998449,False,False
차가운,violet,182,0.045386533665835414,0.05575698976714205,0.8140061695472303,0.6984583240273888,False,False
차가운,mossy,133,0.03316708229426434,0.04117315284827975,0.8055511905168586,0.6709344381766714,False,False
