note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Violet Leaf,2849,2850,UNMATCHED,,,Violet leaf absolute | Violet leaf extract,,CANDIDATE_ONLY
Orchid,2814,2824,UNMATCHED,,,,,UNMATCHED
Tangerine,2765,2767,MATCH_SECONDARY_DESCRIPTOR,Tangerine,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Petitgrain,2750,2755,MATCH_SECONDARY_DESCRIPTOR,Petitgrain,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Almond,2713,2729,MATCH_SECONDARY_DESCRIPTOR,Almond,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Myrrh,2709,2722,MATCH_PRINCIPAL_EXACT,Myrrh,PRINCIPAL,,,STRICT_MATCH
Galbanum,2707,2716,MATCH_SECONDARY_DESCRIPTOR,Galbanum,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Virginia Cedar,2694,2695,UNMATCHED,,,,,UNMATCHED
Cashmere Wood,2688,2691,UNMATCHED,,,,,UNMATCHED
Cypress,2630,2651,MATCH_PRINCIPAL_EXACT,Cypress,PRINCIPAL,,,STRICT_MATCH
Carnation,2588,2605,MATCH_SECONDARY_DESCRIPTOR,Carnation,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Clary Sage,2541,2545,UNMATCHED,,,Clary sage absolute | Clary sage extract | Clary sage oil,,CANDIDATE_ONLY
Fruity Notes,2476,2493,UNMATCHED,,,,,UNMATCHED
Coffee,2469,2508,MATCH_SECONDARY_DESCRIPTOR,Coffee,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cashmeran,2386,2388,UNMATCHED,,,,,UNMATCHED
Cloves,2381,2390,UNMATCHED,,,,,UNMATCHED
Orris,2380,2397,MATCH_SECONDARY_DESCRIPTOR,Orris,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Flowers,2317,2323,UNMATCHED,,,,,UNMATCHED
Spicy Notes,2213,2240,UNMATCHED,,,,,UNMATCHED
Sea Notes,2183,2193,UNMATCHED,,,,,UNMATCHED
Praline,2164,2171,UNMATCHED,,,,,UNMATCHED
Orris Root,2137,2150,UNMATCHED,,,,,UNMATCHED
Bulgarian Rose,2122,2131,UNMATCHED,,,,,UNMATCHED
Clove,2098,2103,MATCH_SECONDARY_DESCRIPTOR,Clove,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Sugar,2094,2116,UNMATCHED,,,,,UNMATCHED
Mimosa,2076,2085,MATCH_SECONDARY_DESCRIPTOR,Mimosa,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Cassis,2045,2045,MATCH_SECONDARY_DESCRIPTOR,Cassis,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Vanille,2033,2037,UNMATCHED,,,,,UNMATCHED
Strawberry,1980,2004,MATCH_SECONDARY_DESCRIPTOR,Strawberry,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Apricot,1974,1981,MATCH_SECONDARY_DESCRIPTOR,Apricot,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Rum,1971,1977,MATCH_SECONDARY_DESCRIPTOR,Rum,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Juniper,1914,1920,MATCH_SECONDARY_DESCRIPTOR,Juniper,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
elemi,1868,1871,UNMATCHED,,,"Elemi absolute | Elemi CO2 extract | Elemi oil | ELEMI oil (low methyleugenol) | Elemi oil, rectified | Elemi resinoid",,CANDIDATE_ONLY
Melon,1847,1855,MATCH_SECONDARY_DESCRIPTOR,Melon,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Turkish Rose,1811,1822,UNMATCHED,,,,,UNMATCHED
Fig,1810,1846,UNMATCHED,,,,,UNMATCHED
Bitter Orange,1809,1809,UNMATCHED,,,,,UNMATCHED
Lotus,1771,1781,UNMATCHED,,,,,UNMATCHED
Artemisia,1759,1767,MATCH_SECONDARY_DESCRIPTOR,Artemisia,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Amberwood,1757,1761,UNMATCHED,,,,,UNMATCHED
Suede,1733,1737,UNMATCHED,,,,,UNMATCHED
Litchi,1708,1712,UNMATCHED,,,,,UNMATCHED
Cyclamen,1660,1662,MATCH_SECONDARY_DESCRIPTOR,Cyclamen,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Green Apple,1658,1660,UNMATCHED,,,,,UNMATCHED
Milk,1657,1674,UNMATCHED,,,,,UNMATCHED
Damask Rose,1644,1657,UNMATCHED,,,,,UNMATCHED
Cherry,1599,1634,MATCH_SECONDARY_DESCRIPTOR,Cherry,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Powdery Notes,1593,1604,UNMATCHED,,,,,UNMATCHED
Tea,1580,1588,MATCH_SECONDARY_DESCRIPTOR,Tea,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
