note,perfume_count,occurrence_count,strict_match_status,strict_matched_term,strict_ifra_level,material_family_candidate,alias_candidate,final_auto_status
Bigarade,66,67,UNMATCHED,,,,,UNMATCHED
African Geranium,66,66,UNMATCHED,,,,,UNMATCHED
Angelica Root,66,66,UNMATCHED,,,Angelica root oil,,CANDIDATE_ONLY
Baie Rose,66,66,UNMATCHED,,,,,UNMATCHED
Barley,66,66,UNMATCHED,,,,,UNMATCHED
French orange flower,66,66,UNMATCHED,,,,,UNMATCHED
Kaffir Lime,66,66,UNMATCHED,,,,,UNMATCHED
Orange Leaf,66,66,UNMATCHED,,,Orange leaf absolute,,CANDIDATE_ONLY
Helvetolide,65,65,UNMATCHED,,,,,UNMATCHED
Lime (Linden Blossom),65,65,UNMATCHED,,,,,UNMATCHED
Raisin,64,65,UNMATCHED,,,,,UNMATCHED
Blackcurrant Syrup,64,64,UNMATCHED,,,,,UNMATCHED
Celery Seeds,64,64,UNMATCHED,,,,,UNMATCHED
Pink Freesia,64,64,UNMATCHED,,,,,UNMATCHED
Siberian Pine,64,64,UNMATCHED,,,,,UNMATCHED
Talc,64,64,UNMATCHED,,,,,UNMATCHED
Vanillin,63,64,MATCH_PRINCIPAL_EXACT,Vanillin,PRINCIPAL,,,STRICT_MATCH
Black Spruce,63,63,UNMATCHED,,,,,UNMATCHED
Bran,63,63,UNMATCHED,,,Bran absolute,,CANDIDATE_ONLY
Night blooming Cereus,63,63,UNMATCHED,,,,,UNMATCHED
Pineapple Leaf,63,63,UNMATCHED,,,,,UNMATCHED
Rhododendron,63,63,UNMATCHED,,,,,UNMATCHED
Candied Almond,62,63,UNMATCHED,,,,,UNMATCHED
Floral bouquet,62,63,UNMATCHED,,,,,UNMATCHED
Blood Grapefruit,62,62,UNMATCHED,,,,,UNMATCHED
Coffee blossom,62,62,UNMATCHED,,,,,UNMATCHED
Forest Fruits,62,62,UNMATCHED,,,,,UNMATCHED
Turkish Rose Oil,62,62,UNMATCHED,,,,,UNMATCHED
Iris Butter,61,62,UNMATCHED,,,,,UNMATCHED
Red Chilli Pepper,61,62,UNMATCHED,,,,,UNMATCHED
Cedar Leaves,61,61,UNMATCHED,,,,,UNMATCHED
Clove Leaf,61,61,UNMATCHED,,,"Clove leaf oil | Clove leaf oil terpenes | Clove leaf oil, rectified",,CANDIDATE_ONLY
Mignonette,61,61,UNMATCHED,,,,,UNMATCHED
Wool,61,61,UNMATCHED,,,,,UNMATCHED
heather,61,61,UNMATCHED,,,,,UNMATCHED
Concrete,60,60,UNMATCHED,,,,,UNMATCHED
Olive Blossom,60,60,UNMATCHED,,,,,UNMATCHED
Pitosporum,60,60,UNMATCHED,,,,,UNMATCHED
Tomato,60,60,UNMATCHED,,,,,UNMATCHED
French Rose,59,60,UNMATCHED,,,,,UNMATCHED
Lichen,59,59,UNMATCHED,,,,,UNMATCHED
Snowdrops,59,59,UNMATCHED,,,,,UNMATCHED
black fig,59,59,UNMATCHED,,,,,UNMATCHED
mulberry,58,60,UNMATCHED,,,,,UNMATCHED
Evernyl,58,58,UNMATCHED,,,,,UNMATCHED
Moroccan Cedar,58,58,UNMATCHED,,,,,UNMATCHED
Musk Mallow,58,58,UNMATCHED,,,,,UNMATCHED
Siam,58,58,UNMATCHED,,,,,UNMATCHED
CO2 Extracts,57,58,UNMATCHED,,,,,UNMATCHED
Ambrarome,57,57,UNMATCHED,,,,,UNMATCHED
Banana Leaf,57,57,UNMATCHED,,,,,UNMATCHED
Japanese Cherry Blossom,57,57,UNMATCHED,,,,,UNMATCHED
Macadamia,57,57,UNMATCHED,,,,,UNMATCHED
Water,57,57,UNMATCHED,,,,,UNMATCHED
Acai Berry,56,56,UNMATCHED,,,,,UNMATCHED
Clay,56,56,UNMATCHED,,,,,UNMATCHED
Italian Tangerine,56,56,UNMATCHED,,,,,UNMATCHED
Piña Colada,55,57,UNMATCHED,,,,,UNMATCHED
Egyptian Musk,55,55,UNMATCHED,,,,,UNMATCHED
Espresso,55,55,UNMATCHED,,,,,UNMATCHED
Italian Iris,55,55,UNMATCHED,,,,,UNMATCHED
Milk Mousse,55,55,UNMATCHED,,,,,UNMATCHED
Wild Orchid,55,55,UNMATCHED,,,,,UNMATCHED
Assam Oud,54,55,UNMATCHED,,,,,UNMATCHED
Hortensia,54,55,UNMATCHED,,,,,UNMATCHED
Apple Tree,54,54,UNMATCHED,,,,,UNMATCHED
Lemonade,54,54,UNMATCHED,,,,,UNMATCHED
Nigerian Ginger,54,54,UNMATCHED,,,,,UNMATCHED
Singapore Patchouli,54,54,UNMATCHED,,,,,UNMATCHED
Water Mint,54,54,UNMATCHED,,,,,UNMATCHED
Gasoline,53,54,UNMATCHED,,,,,UNMATCHED
Parma Violet,53,54,UNMATCHED,,,,,UNMATCHED
Black Cardamom,53,53,UNMATCHED,,,,,UNMATCHED
Malaysian Oud,53,53,UNMATCHED,,,,,UNMATCHED
Mexican Vanilla,53,53,UNMATCHED,,,,,UNMATCHED
Vetiver Root,53,53,UNMATCHED,,,,,UNMATCHED
Vine,53,53,UNMATCHED,,,,,UNMATCHED
Priprioca,52,53,UNMATCHED,,,,,UNMATCHED
Black and Pink Pepper,52,52,UNMATCHED,,,,,UNMATCHED
Dried Fallen Leaves,52,52,UNMATCHED,,,,,UNMATCHED
Flower Petals,52,52,UNMATCHED,,,,,UNMATCHED
Hemlock,52,52,UNMATCHED,,,,,UNMATCHED
Italian Orange,52,52,UNMATCHED,,,,,UNMATCHED
Light Amber,52,52,UNMATCHED,,,,,UNMATCHED
Mimosa absolute,52,52,MATCH_PRINCIPAL_EXACT,Mimosa absolute,PRINCIPAL,,,STRICT_MATCH
Mirabelle Plum,52,52,UNMATCHED,,,,,UNMATCHED
Mock Orange,52,52,UNMATCHED,,,,,UNMATCHED
Choya Loban,51,52,UNMATCHED,,,,,UNMATCHED
Casablanca Lily,51,51,UNMATCHED,,,,,UNMATCHED
Citrus and Floral Notes,51,51,UNMATCHED,,,,,UNMATCHED
Gentiana,51,51,UNMATCHED,,,,,UNMATCHED
Lipstick,51,51,UNMATCHED,,,,,UNMATCHED
Madagascar Vetiver,51,51,UNMATCHED,,,,,UNMATCHED
Pink Jasmine,51,51,UNMATCHED,,,,,UNMATCHED
Red Poppy,51,51,UNMATCHED,,,,,UNMATCHED
Creamy notes,50,51,UNMATCHED,,,,,UNMATCHED
Milk Cream,50,51,UNMATCHED,,,,,UNMATCHED
Amyl Salicylate,50,50,MATCH_PRINCIPAL_EXACT,Amyl salicylate,PRINCIPAL,,,STRICT_MATCH
Blackwood,50,50,UNMATCHED,,,,,UNMATCHED
Ginseng,50,50,UNMATCHED,,,,,UNMATCHED
Madagascar Cloves,50,50,UNMATCHED,,,,,UNMATCHED
Strawberry Leaf,50,50,UNMATCHED,,,,,UNMATCHED
White Rum,50,50,UNMATCHED,,,,,UNMATCHED
Exotic Spices,49,50,UNMATCHED,,,,,UNMATCHED
Ambertonic,49,49,UNMATCHED,,,,,UNMATCHED
Candied Orange,49,49,UNMATCHED,,,,,UNMATCHED
Green Lilac,49,49,UNMATCHED,,,,,UNMATCHED
Madagascar Pepper,49,49,UNMATCHED,,,,,UNMATCHED
Massoia,49,49,UNMATCHED,,,,,UNMATCHED
Palm Tree,49,49,UNMATCHED,,,,,UNMATCHED
West Indian Bay,49,49,UNMATCHED,,,,,UNMATCHED
Berry Fruits,48,48,UNMATCHED,,,,,UNMATCHED
Bitter Orange Blossom,48,48,UNMATCHED,,,,,UNMATCHED
Dulce de leche,48,48,UNMATCHED,,,,,UNMATCHED
Geosmin,48,48,UNMATCHED,,,,,UNMATCHED
Thuja,48,48,UNMATCHED,,,,,UNMATCHED
Green Mango,47,47,UNMATCHED,,,,,UNMATCHED
Ho Wood,47,47,MATCH_PRINCIPAL_EXACT,Ho wood,PRINCIPAL,,,STRICT_MATCH
Peat,47,47,UNMATCHED,,,,,UNMATCHED
Tonic Water,47,47,UNMATCHED,,,,,UNMATCHED
Vietnamese Oud,47,47,UNMATCHED,,,,,UNMATCHED
Caviar,46,46,UNMATCHED,,,,,UNMATCHED
Chinese Black Tea,46,46,UNMATCHED,,,,,UNMATCHED
Dewberry,46,46,UNMATCHED,,,,,UNMATCHED
Kyara Incense,46,46,UNMATCHED,,,,,UNMATCHED
Poplar (Populus) buds,46,46,UNMATCHED,,,,,UNMATCHED
Wild Jasmine,46,46,UNMATCHED,,,,,UNMATCHED
Dreamwood,45,45,UNMATCHED,,,,,UNMATCHED
Graperfuit,45,45,UNMATCHED,,,,,UNMATCHED
Pimento Seeds,45,45,UNMATCHED,,,,,UNMATCHED
Reseda,45,45,UNMATCHED,,,,,UNMATCHED
Seagrass,45,45,UNMATCHED,,,,,UNMATCHED
Water Flowers,45,45,UNMATCHED,,,,,UNMATCHED
Tequila,44,46,UNMATCHED,,,,,UNMATCHED
Coal,44,44,UNMATCHED,,,,,UNMATCHED
Dust,44,44,UNMATCHED,,,,,UNMATCHED
Grenadine,44,44,UNMATCHED,,,,,UNMATCHED
Holly,44,44,UNMATCHED,,,,,UNMATCHED
Indole,44,44,MATCH_PRINCIPAL_EXACT,Indole,PRINCIPAL,,,STRICT_MATCH
Masala Chai,44,44,UNMATCHED,,,,,UNMATCHED
Oak Tree,44,44,UNMATCHED,,,,,UNMATCHED
Tahitian Tiare Flower,44,44,UNMATCHED,,,,,UNMATCHED
Wood Resin,44,44,UNMATCHED,,,,,UNMATCHED
Arum Lily,43,43,UNMATCHED,,,,,UNMATCHED
Dark Patchouli,43,43,UNMATCHED,,,,,UNMATCHED
Frosting,43,43,UNMATCHED,,,,,UNMATCHED
Loukhoum,43,43,UNMATCHED,,,,,UNMATCHED
Oat,43,43,UNMATCHED,,,,,UNMATCHED
Oriental Woodsy notes,43,43,UNMATCHED,,,,,UNMATCHED
Raspberry Bloom,43,43,UNMATCHED,,,,,UNMATCHED
Vervain,43,43,UNMATCHED,,,,,UNMATCHED
Coconut Blossom,42,42,UNMATCHED,,,,,UNMATCHED
Coriander Leaf,42,42,UNMATCHED,,,,,UNMATCHED
Cypriol Oil,42,42,MATCH_PRINCIPAL_EXACT,Cypriol oil,PRINCIPAL,,,STRICT_MATCH
Indonesian Nutmeg,42,42,UNMATCHED,,,,,UNMATCHED
Nectarine blossom,42,42,UNMATCHED,,,,,UNMATCHED
Neroli Essence,42,42,UNMATCHED,,,,,UNMATCHED
White Leather,42,42,UNMATCHED,,,,,UNMATCHED
Asphalt,41,41,UNMATCHED,,,,,UNMATCHED
Cascalone,41,41,UNMATCHED,,,,,UNMATCHED
Cedarmoss,41,41,UNMATCHED,,,,,UNMATCHED
Dragon Blood Resin,41,41,UNMATCHED,,,,,UNMATCHED
English Rose,41,41,UNMATCHED,,,,,UNMATCHED
Kashmir wood,41,41,UNMATCHED,,,,,UNMATCHED
Lorenox,41,41,UNMATCHED,,,,,UNMATCHED
Pineapple blossom,41,41,UNMATCHED,,,,,UNMATCHED
Silver Fir,41,41,UNMATCHED,,,,,UNMATCHED
Stephanotis,41,41,UNMATCHED,,,,,UNMATCHED
Vinyl,41,41,UNMATCHED,,,,,UNMATCHED
Buttercream,40,41,UNMATCHED,,,,,UNMATCHED
Chypre Notes,40,40,UNMATCHED,,,,,UNMATCHED
Citrus Blossom,40,40,UNMATCHED,,,,,UNMATCHED
Dill,40,40,UNMATCHED,,,Dill seed oil | Dill seed oleoresin | Dill weed oil,,CANDIDATE_ONLY
Frosting [Glacé],40,40,UNMATCHED,,,,,UNMATCHED
Fur,40,40,UNMATCHED,,,,,UNMATCHED
Transparent Flowers,40,40,UNMATCHED,,,,,UNMATCHED
Vanilla Caviar,40,40,UNMATCHED,,,,,UNMATCHED
Almond Cream,39,39,UNMATCHED,,,,,UNMATCHED
Buddha Wood,39,39,UNMATCHED,,,,,UNMATCHED
Chinese Cedar,39,39,UNMATCHED,,,,,UNMATCHED
Chinese Jasmine,39,39,UNMATCHED,,,,,UNMATCHED
Indian Spices,39,39,UNMATCHED,,,,,UNMATCHED
Rooibos Tea,39,39,UNMATCHED,,,,,UNMATCHED
Tyger Lily,39,39,UNMATCHED,,,,,UNMATCHED
Yellow Freesia,39,39,UNMATCHED,,,,,UNMATCHED
Candied Lemon,38,38,UNMATCHED,,,,,UNMATCHED
Choya Nakh,38,38,UNMATCHED,,,,,UNMATCHED
Flax,38,38,UNMATCHED,,,,,UNMATCHED
Green Pear,38,38,UNMATCHED,,,,,UNMATCHED
Green Tangerine,38,38,UNMATCHED,,,,,UNMATCHED
Paradisone,38,38,UNMATCHED,,,,,UNMATCHED
Red Algae,38,38,UNMATCHED,,,,,UNMATCHED
Hops,37,39,UNMATCHED,,,,,UNMATCHED
Turkey Red Rose,37,39,UNMATCHED,,,,,UNMATCHED
Rubber,37,38,UNMATCHED,,,,,UNMATCHED
Mitti Attar,37,37,UNMATCHED,,,,,UNMATCHED
Water Fruit,37,37,UNMATCHED,,,,,UNMATCHED
Almond Tree,36,36,UNMATCHED,,,,,UNMATCHED
Cereals,36,36,UNMATCHED,,,,,UNMATCHED
Chantilly Cream,36,36,UNMATCHED,,,,,UNMATCHED
Cilantro,36,36,UNMATCHED,,,,,UNMATCHED
Flint,36,36,UNMATCHED,,,,,UNMATCHED
Forget me not,36,36,UNMATCHED,,,,,UNMATCHED
Nettle,36,36,UNMATCHED,,,,,UNMATCHED
Roasted Nuts,36,36,UNMATCHED,,,,,UNMATCHED
Silk Tree blossom,36,36,UNMATCHED,,,,,UNMATCHED
White Pear,36,36,UNMATCHED,,,,,UNMATCHED
White Violet,36,36,UNMATCHED,,,,,UNMATCHED
Blue Lavender,35,35,UNMATCHED,,,,,UNMATCHED
Breu-Branco,35,35,UNMATCHED,,,,,UNMATCHED
Dirt,35,35,UNMATCHED,,,,,UNMATCHED
Green Almond,35,35,UNMATCHED,,,,,UNMATCHED
Pine tar,35,35,UNMATCHED,,,"Pine tar oil | Pine tar oil, rectified",,CANDIDATE_ONLY
Pomarose,35,35,UNMATCHED,,,,,UNMATCHED
Primrose,35,35,UNMATCHED,,,,,UNMATCHED
Sweet Grass,35,35,UNMATCHED,,,,,UNMATCHED
Black Licorice,34,34,UNMATCHED,,,,,UNMATCHED
Champagne Rosé,34,34,UNMATCHED,,,,,UNMATCHED
Finger Lime,34,34,UNMATCHED,,,,,UNMATCHED
Fougère Accord,34,34,UNMATCHED,,,,,UNMATCHED
Galanga,34,34,UNMATCHED,,,,,UNMATCHED
Javanol,34,34,UNMATCHED,,,,,UNMATCHED
Lapsang Souchong Tea,34,34,UNMATCHED,,,,,UNMATCHED
Mango Blossom,34,34,UNMATCHED,,,,,UNMATCHED
Red Sandalwood,34,34,UNMATCHED,,,,,UNMATCHED
Seashells,34,34,UNMATCHED,,,,,UNMATCHED
Elderberry,33,35,UNMATCHED,,,,,UNMATCHED
Nougat,33,35,UNMATCHED,,,,,UNMATCHED
Pecan,33,34,UNMATCHED,,,,,UNMATCHED
Accord Eudora®,33,33,UNMATCHED,,,,,UNMATCHED
Karo Karounde,33,33,UNMATCHED,,,,,UNMATCHED
Lady of the Night Flower,33,33,UNMATCHED,,,,,UNMATCHED
Lime Blossom,33,33,UNMATCHED,,,,,UNMATCHED
Limoncello,33,33,UNMATCHED,,,,,UNMATCHED
Maraschino Cherry,33,33,UNMATCHED,,,,,UNMATCHED
Nard,33,33,UNMATCHED,,,,,UNMATCHED
Nasturtium,33,33,MATCH_SECONDARY_DESCRIPTOR,Nasturtium,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Pimento Leaf,33,33,UNMATCHED,,,,,UNMATCHED
Pollen,33,33,UNMATCHED,,,,,UNMATCHED
Rose Leaf,33,33,UNMATCHED,,,,,UNMATCHED
Rosebay Willowherb,33,33,UNMATCHED,,,,,UNMATCHED
TimbersilkTM,33,33,UNMATCHED,,,,,UNMATCHED
Watercress,33,33,UNMATCHED,,,,,UNMATCHED
White Currant,33,33,UNMATCHED,,,,,UNMATCHED
Boletus edulis,32,32,UNMATCHED,,,,,UNMATCHED
Candle Wax,32,32,UNMATCHED,,,,,UNMATCHED
French Violet,32,32,UNMATCHED,,,,,UNMATCHED
Gurjun Balsam,32,32,MATCH_PRINCIPAL_EXACT,Gurjun balsam,PRINCIPAL,,,STRICT_MATCH
Lime peel,32,32,UNMATCHED,,,,,UNMATCHED
Magnolia Petals,32,32,UNMATCHED,,,,,UNMATCHED
Marmalade,32,32,UNMATCHED,,,,,UNMATCHED
Rice Powder,32,32,UNMATCHED,,,,,UNMATCHED
Stems Greens,32,32,UNMATCHED,,,,,UNMATCHED
Valerian,32,32,MATCH_SECONDARY_DESCRIPTOR,Valerian,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
White Magnolia,32,32,UNMATCHED,,,,,UNMATCHED
boxwood,31,34,UNMATCHED,,,,,UNMATCHED
prickly pear,31,32,UNMATCHED,,,,,UNMATCHED
Conifer,31,31,UNMATCHED,,,,,UNMATCHED
Dyer’s Greenweed,31,31,UNMATCHED,,,,,UNMATCHED
French pastries,31,31,UNMATCHED,,,,,UNMATCHED
Gold,31,31,UNMATCHED,,,,,UNMATCHED
Jelly,31,31,UNMATCHED,,,,,UNMATCHED
Mangosteen,31,31,UNMATCHED,,,,,UNMATCHED
Nerium Oleander,31,31,UNMATCHED,,,,,UNMATCHED
Parsley,31,31,MATCH_SECONDARY_DESCRIPTOR,Parsley,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
pink tulip,31,31,UNMATCHED,,,,,UNMATCHED
Chinese Oud,30,33,UNMATCHED,,,,,UNMATCHED
Henna,30,31,UNMATCHED,,,,,UNMATCHED
edelweiss,30,31,UNMATCHED,,,,,UNMATCHED
Blue Sage,30,30,UNMATCHED,,,,,UNMATCHED
Brazilian Redwood,30,30,UNMATCHED,,,,,UNMATCHED
Cypress Leaf,30,30,UNMATCHED,,,,,UNMATCHED
Dandelion,30,30,UNMATCHED,,,,,UNMATCHED
Gaiac,30,30,UNMATCHED,,,,,UNMATCHED
Honeycomb,30,30,UNMATCHED,,,,,UNMATCHED
Indian Saffron,30,30,UNMATCHED,,,,,UNMATCHED
Italian Jasmine,30,30,UNMATCHED,,,,,UNMATCHED
Muscenone,30,30,UNMATCHED,,,,,UNMATCHED
Panacotta,30,30,UNMATCHED,,,,,UNMATCHED
Red Amber,30,30,UNMATCHED,,,,,UNMATCHED
Reed,30,30,UNMATCHED,,,,,UNMATCHED
Tar,30,30,UNMATCHED,,,"Tar wood oil, distilled",,CANDIDATE_ONLY
cream soda,30,30,UNMATCHED,,,,,UNMATCHED
Peanut,29,30,MATCH_SECONDARY_DESCRIPTOR,Peanut,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Bellini,29,29,UNMATCHED,,,,,UNMATCHED
Bergamot Leaf,29,29,UNMATCHED,,,,,UNMATCHED
Damask Plum,29,29,UNMATCHED,,,,,UNMATCHED
Gray Musk,29,29,UNMATCHED,,,,,UNMATCHED
Iris Pallida,29,29,UNMATCHED,,,"Iris pallida absolute | Iris pallida concrete | Iris pallida oil | Iris pallida oil, rectified | Iris pallida resinoid | Iris pallida tincture",,CANDIDATE_ONLY
Leatherwood,29,29,UNMATCHED,,,,,UNMATCHED
Plastic,29,29,MATCH_SECONDARY_DESCRIPTOR,Plastic,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Red Tea,29,29,UNMATCHED,,,,,UNMATCHED
Rose Oxide,29,29,UNMATCHED,,,,,UNMATCHED
Skin musk,29,29,UNMATCHED,,,,,UNMATCHED
Tansy,29,29,UNMATCHED,,,Tansy oil,,CANDIDATE_ONLY
Yarrow,29,29,UNMATCHED,,,Yarrow oil,,CANDIDATE_ONLY
Butterscotch,28,28,MATCH_SECONDARY_DESCRIPTOR,Butterscotch,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Dried Apricot,28,28,UNMATCHED,,,,,UNMATCHED
Egyptian balsam,28,28,UNMATCHED,,,,,UNMATCHED
Italian Orris Root,28,28,UNMATCHED,,,,,UNMATCHED
Molasses,28,28,UNMATCHED,,,,,UNMATCHED
Pitanga,28,28,UNMATCHED,,,,,UNMATCHED
Suntan Lotion,28,28,UNMATCHED,,,,,UNMATCHED
Wild Orange,28,28,UNMATCHED,,,,,UNMATCHED
AmbrostarTM,27,27,UNMATCHED,,,,,UNMATCHED
Blue Hyacinth,27,27,UNMATCHED,,,,,UNMATCHED
Cedar Essence,27,27,UNMATCHED,,,,,UNMATCHED
Egyptian Rose,27,27,UNMATCHED,,,,,UNMATCHED
Liquidambar,27,27,UNMATCHED,,,,,UNMATCHED
Martini,27,27,UNMATCHED,,,,,UNMATCHED
Pear Leaf,27,27,UNMATCHED,,,,,UNMATCHED
Powdered Sugar,27,27,UNMATCHED,,,,,UNMATCHED
Rhubarb Leaf,27,27,UNMATCHED,,,,,UNMATCHED
Wallflower,27,27,UNMATCHED,,,,,UNMATCHED
Wintergreen,27,27,UNMATCHED,,,Wintergreen extract | Wintergreen oil,,CANDIDATE_ONLY
Fabric,26,27,UNMATCHED,,,,,UNMATCHED
Bergamot Blossom,26,26,UNMATCHED,,,,,UNMATCHED
Black Iris,26,26,UNMATCHED,,,,,UNMATCHED
Cacao Butter,26,26,UNMATCHED,,,,,UNMATCHED
Candied Ginger,26,26,UNMATCHED,,,,,UNMATCHED
Cassia Bourbon,26,26,UNMATCHED,,,,,UNMATCHED
Cheese,26,26,UNMATCHED,,,,,UNMATCHED
Curry Tree,26,26,UNMATCHED,,,,,UNMATCHED
Goji Berries,26,26,UNMATCHED,,,,,UNMATCHED
Hibiscus Seed,26,26,UNMATCHED,,,,,UNMATCHED
Mugane,26,26,UNMATCHED,,,,,UNMATCHED
Pea,26,26,MATCH_SECONDARY_DESCRIPTOR,Pea,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
Prosecco,26,26,UNMATCHED,,,,,UNMATCHED
Sap,26,26,UNMATCHED,,,,,UNMATCHED
Charred Wood,25,26,UNMATCHED,,,,,UNMATCHED
African Ginger,25,25,UNMATCHED,,,,,UNMATCHED
Bushman Candle,25,25,UNMATCHED,,,,,UNMATCHED
Gorse,25,25,UNMATCHED,,,,,UNMATCHED
Hot iron,25,25,UNMATCHED,,,,,UNMATCHED
Manuka,25,25,UNMATCHED,,,,,UNMATCHED
Old Books,25,25,UNMATCHED,,,,,UNMATCHED
Orangewood,25,25,UNMATCHED,,,,,UNMATCHED
Sinfonide,25,25,UNMATCHED,,,,,UNMATCHED
Transparent Woods,25,25,UNMATCHED,,,,,UNMATCHED
Tulsi,25,25,UNMATCHED,,,,,UNMATCHED
Vermouth,25,25,UNMATCHED,,,,,UNMATCHED
Yellow Narcissus,25,25,UNMATCHED,,,,,UNMATCHED
latex,25,25,UNMATCHED,,,,,UNMATCHED
Larch,24,25,UNMATCHED,,,,,UNMATCHED
Olive Leaf,24,25,UNMATCHED,,,,,UNMATCHED
Aglaia,24,24,UNMATCHED,,,,,UNMATCHED
Calabrian Mandarin,24,24,UNMATCHED,,,,,UNMATCHED
Cantaloupe,24,24,UNMATCHED,,,,,UNMATCHED
Coconut Powder,24,24,UNMATCHED,,,,,UNMATCHED
Coton candy,24,24,UNMATCHED,,,,,UNMATCHED
Fig Milk,24,24,UNMATCHED,,,,,UNMATCHED
Green Forest,24,24,UNMATCHED,,,,,UNMATCHED
Jacaranda,24,24,UNMATCHED,,,,,UNMATCHED
Magnolia Leaf,24,24,UNMATCHED,,,,,UNMATCHED
Mandora,24,24,UNMATCHED,,,,,UNMATCHED
Natural Vanilla,24,24,UNMATCHED,,,,,UNMATCHED
Roots,24,24,UNMATCHED,,,,,UNMATCHED
Steam Accord,24,24,UNMATCHED,,,,,UNMATCHED
Tiramisu,24,24,UNMATCHED,,,,,UNMATCHED
Waffle,24,24,UNMATCHED,,,,,UNMATCHED
Chinotto,23,25,UNMATCHED,,,,,UNMATCHED
Corn,23,24,MATCH_SECONDARY_DESCRIPTOR,Corn,SECONDARY_DESCRIPTOR,,,STRICT_MATCH
AMBROX® SUPER,23,23,UNMATCHED,,,,,UNMATCHED
Apple Leaf,23,23,UNMATCHED,,,,,UNMATCHED
Bourbon Pepper,23,23,UNMATCHED,,,,,UNMATCHED
Citrus Leaves,23,23,UNMATCHED,,,,,UNMATCHED
French Narcissus,23,23,UNMATCHED,,,,,UNMATCHED
Fresh Cream,23,23,UNMATCHED,,,,,UNMATCHED
Honeydew Melon,23,23,UNMATCHED,,,,,UNMATCHED
Indian Ginger,23,23,UNMATCHED,,,,,UNMATCHED
Japanese Plum,23,23,UNMATCHED,,,,,UNMATCHED
Marron glace,23,23,UNMATCHED,,,,,UNMATCHED
Pebbles,23,23,UNMATCHED,,,,,UNMATCHED
Peppertree,23,23,UNMATCHED,,,,,UNMATCHED
Peruvian Pepper,23,23,UNMATCHED,,,,,UNMATCHED
Propolis,23,23,UNMATCHED,,,,,UNMATCHED
Red Lily,23,23,UNMATCHED,,,,,UNMATCHED
Rose Jam,23,23,UNMATCHED,,,,,UNMATCHED
Saffiano Leather,23,23,UNMATCHED,,,,,UNMATCHED
Yogurt,23,23,UNMATCHED,,,,,UNMATCHED
Choya Ral,22,23,UNMATCHED,,,,,UNMATCHED
Sake,22,23,UNMATCHED,,,,,UNMATCHED
Blue Rose,22,22,UNMATCHED,,,,,UNMATCHED
Cherry extract,22,22,UNMATCHED,,,,,UNMATCHED
Cookie Dough,22,22,UNMATCHED,,,,,UNMATCHED
Cornflower or Sultan seeds,22,22,UNMATCHED,,,,,UNMATCHED
Croissant,22,22,UNMATCHED,,,,,UNMATCHED
Hiba,22,22,UNMATCHED,,,,,UNMATCHED
Pansy,22,22,UNMATCHED,,,,,UNMATCHED
Pear Wood,22,22,UNMATCHED,,,,,UNMATCHED
Puff Pastry,22,22,UNMATCHED,,,,,UNMATCHED
Spanish Jasmine,22,22,UNMATCHED,,,,,UNMATCHED
Tangelo,22,22,UNMATCHED,,,"Tangelo oil, expressed",,CANDIDATE_ONLY
White Ginger,22,22,UNMATCHED,,,,,UNMATCHED
White Heliotrope,22,22,UNMATCHED,,,,,UNMATCHED
Yellow Fruits,22,22,UNMATCHED,,,,,UNMATCHED
Ambreine,21,23,UNMATCHED,,,,,UNMATCHED
Bakhoor,21,21,UNMATCHED,,,,,UNMATCHED
Belladonna,21,21,UNMATCHED,,,,,UNMATCHED
Citrus Leaf,21,21,UNMATCHED,,,,,UNMATCHED
Dried Rose,21,21,UNMATCHED,,,,,UNMATCHED
Egyptian Pelargonium,21,21,UNMATCHED,,,,,UNMATCHED
Galaxolide,21,21,UNMATCHED,,,,,UNMATCHED
Green Anjou Pears,21,21,UNMATCHED,,,,,UNMATCHED
Green Orange,21,21,UNMATCHED,,,,,UNMATCHED
Iced Lemon,21,21,UNMATCHED,,,,,UNMATCHED
Italian Cypress,21,21,UNMATCHED,,,,,UNMATCHED
Maninka,21,21,UNMATCHED,,,,,UNMATCHED
Mocha,21,21,UNMATCHED,,,,,UNMATCHED
Pataqueira,21,21,UNMATCHED,,,,,UNMATCHED
Safraleine,21,21,UNMATCHED,,,,,UNMATCHED
Star Fruit,21,21,UNMATCHED,,,,,UNMATCHED
Tahitian Gardenia,21,21,UNMATCHED,,,,,UNMATCHED
Tangerine Blossom,21,21,UNMATCHED,,,,,UNMATCHED
Balsamic Vinegar,20,20,UNMATCHED,,,,,UNMATCHED
Basil Leaf,20,20,UNMATCHED,,,,,UNMATCHED
Boozy Notes,20,20,UNMATCHED,,,,,UNMATCHED
Calypsone,20,20,UNMATCHED,,,,,UNMATCHED
Campari,20,20,UNMATCHED,,,,,UNMATCHED
Carob tree,20,20,UNMATCHED,,,,,UNMATCHED
Cyperus esculentus,20,20,UNMATCHED,,,,,UNMATCHED
Goat hair tincture,20,20,UNMATCHED,,,,,UNMATCHED
