note,perfume_count,occurrence_count
Black Amber,224,224
Pink Peony,224,224
Gourmand Accord,223,225
Tunisian Neroli,223,223
White Lily,221,223
Cade oil,221,221
Blonde Woods,218,218
Lemon Blossom,217,219
Sicilian Orange,217,217
Clover,214,215
Broom,213,215
Green Grass,213,213
Fir Resin,212,213
Texas Cedar,212,212
Gin,211,211
Ceylon Cinnamon,209,209
Wild Rose,208,208
Laotian Oud,207,211
Exotic Fruits,207,207
Thailand Oud,205,215
Hinoki Wood,205,205
Dew Drop,202,203
Tincture of Rose,201,201
Black Musk,199,200
Sicilian Mandarin,197,198
Turmeric,197,198
Almond Milk,197,197
Laurels,195,196
Guatemalan Cardamom,194,194
Tulip,193,194
Yellow Mandarin,188,188
Ebony,187,187
Iris Flower,186,189
Velvet,184,184
Blue Lotus,183,184
Indian Tuberose,183,183
Black currant leaf,182,183
Camphor,182,182
Tea Rose,181,182
Truffle,181,181
Acácia,180,180
Pear Blossom,180,180
Tobacco Blossom,178,178
Costus,177,178
Sorbet,174,174
Cream,173,175
Rose Geranium,172,172
Hinoki,171,172
Carambola (Star Fruit),171,171
Olive,169,170
Sesame,169,170
Allspice,169,169
Plum Blossom,169,169
Nagarmotha,168,169
White Sandalwood,168,169
Brazilian Orange,168,168
Orange Peel,166,167
Mountain Air,166,166
Bourbon Geranium,163,164
Hiacynth,163,163
Gaiac Wood,161,161
Brandy,160,161
Grasse Rose,160,160
Matcha Tea,159,162
Blood Mandarin,159,159
Ginger flower,159,159
Rain Notes,159,159
Walnut,159,159
Java vetiver oil,158,159
Aloe Vera,158,158
Moroccan Jasmine,158,158
Night Blooming Jasmine,157,159
Chili Pepper,157,158
Litsea Cubeba,157,158
Water Jasmine,157,157
Linden Blossom,156,160
Cupcake,156,156
Poppy,156,156
Black Rose,155,155
Exotic Woods,155,155
Vanilla Flower,155,155
Cardamon,154,155
Fig Tree,153,157
Exotic floral notes,152,152
Red Pepper,152,152
Biscuit,151,154
Spun Sugar,151,151
Nard Himalayan (Jatamansi),150,150
Tunisian Orange Blossom,148,148
Tuscan Iris,147,152
Ink,147,148
Maple,147,148
Spearmint,146,146
Pumpkin,145,147
Wheat,145,146
Copaiba balm,145,145
Lemon Peel,144,144
Palmarosa,143,143
Cake,142,142
Marjoram,142,142
Black Orchid,141,142
Black Vanilla Husk,140,142
Spanish Labdanum,140,140
AmbrofixTM,139,139
Cistus Incanus,138,140
Hyrax,137,137
Olive Tree,136,137
Shiso,135,135
White Grapefruit,135,135
Bark,134,136
