composition,direction,fragrantica_id,brand,name,korea_rank,family,family_ko
D2 최대균형,들어옴,73336,John Varvatos,XX Artisan Teal,225,AQUATIC,아쿠아틱
D2 최대균형,들어옴,38890,Lanvin,Modern Princess,226,FRUITY,프루티
D2 최대균형,들어옴,115545,Versace,Crystal Emerald,227,MUSK,머스크·파우더리
D2 최대균형,들어옴,76413,TUMI,Kinetic [--:-- GMT],229,AMBER,앰버·스파이시
D2 최대균형,들어옴,70278,TUMI,Continuum,230,AMBER,앰버·스파이시
D2 최대균형,들어옴,72448,Lalique,Soleil Vibrant,235,GOURMAND,구르망
D2 최대균형,들어옴,62839,Memo Paris,Odéon,239,AMBER,앰버·스파이시
D2 최대균형,들어옴,101595,Narciso Rodriguez,Narciso Rodriguez For Her Intense,241,MUSK,머스크·파우더리
D2 최대균형,들어옴,12301,Montale,Pretty Fruity,242,FRUITY,프루티
D2 최대균형,들어옴,12299,Montale,Musk to Musk,248,MUSK,머스크·파우더리
D2 최대균형,들어옴,2432,The Body Shop,White Musk,249,MUSK,머스크·파우더리
D2 최대균형,들어옴,11896,Rance 1795,Le Roi Empereur,254,AMBER,앰버·스파이시
D2 최대균형,들어옴,35971,Elizabeth Arden,Green Tea Nectarine Blossom,255,FRUITY,프루티
D2 최대균형,들어옴,60321,Replay,Signature Lovers For Man,257,AMBER,앰버·스파이시
D2 최대균형,들어옴,46410,Ariana Grande,Moonlight,258,GOURMAND,구르망
D2 최대균형,들어옴,123290,KINFOLK NOTES,Captain's Bar,263,MUSK,머스크·파우더리
D2 최대균형,들어옴,21856,Bentley,Bentley For Men Azure,264,AQUATIC,아쿠아틱
D2 최대균형,들어옴,124286,Maison Martin Margiela,Chasing Sunsets,270,FRUITY,프루티
D2 최대균형,들어옴,10858,Marc Jacobs,Daisy Eau So Fresh,271,FRUITY,프루티
D2 최대균형,들어옴,62021,Marc Jacobs,Perfect,272,GOURMAND,구르망
D2 최대균형,들어옴,38167,Parfums Berdoues,Vanira Moorea,274,GOURMAND,구르망
D2 최대균형,들어옴,80042,Kenzo,Kenzo Homme Marine,277,AQUATIC,아쿠아틱
D2 최대균형,들어옴,95861,Sabrina Carpenter,Sweet Tooth Cherry Baby,279,FRUITY,프루티
D2 최대균형,들어옴,104354,Chwi 취,Sachal 사찰,282,AMBER,앰버·스파이시
