composition,seed,family,family_ko,n,area_share,largest_blob_share,pieces,spread,on_own,has_territory
D2 최대균형,1,GREEN,그린·아로마틱,24,0.1746,0.7394,2,0.386,0.9583,True
D2 최대균형,1,AQUATIC,아쿠아틱,15,0.0606,0.956,3,0.588,0.8,True
D2 최대균형,1,WOODY,우디,24,0.1162,0.7574,5,0.571,0.8333,True
D2 최대균형,1,AMBER,앰버·스파이시,25,0.1268,0.4611,4,0.365,1.0,False
D2 최대균형,1,GOURMAND,구르망,25,0.1302,0.9395,5,0.393,0.8,True
D2 최대균형,1,MUSK,머스크·파우더리,25,0.154,0.5476,4,0.878,0.88,False
D2 최대균형,2,CITRUS,시트러스,24,0.1129,0.9357,3,0.292,0.9167,True
D2 최대균형,2,FRUITY,프루티,14,0.0309,0.6592,2,0.16,0.9286,True
D2 최대균형,2,FLORAL,플로럴,24,0.0883,0.8141,3,0.297,0.9167,True
D2 최대균형,2,GREEN,그린·아로마틱,24,0.1825,0.9403,2,0.393,0.9583,True
D2 최대균형,2,AQUATIC,아쿠아틱,15,0.0529,0.9869,1,0.607,0.8,True
D2 최대균형,2,WOODY,우디,24,0.1141,1.0,1,0.501,0.75,True
D2 최대균형,2,AMBER,앰버·스파이시,25,0.1466,0.513,4,0.521,0.96,False
D2 최대균형,2,GOURMAND,구르망,25,0.1054,0.7705,4,0.548,0.72,True
D2 최대균형,2,MUSK,머스크·파우더리,25,0.1664,0.8172,4,1.163,0.84,True
D2 최대균형,3,CITRUS,시트러스,24,0.1122,0.9715,2,0.315,0.8333,True
D2 최대균형,3,FRUITY,프루티,14,0.0346,0.9398,2,0.155,0.9286,True
D2 최대균형,3,FLORAL,플로럴,24,0.0671,0.9045,2,0.328,0.8333,True
D2 최대균형,3,GREEN,그린·아로마틱,24,0.1562,0.7725,2,0.382,0.9583,True
D2 최대균형,3,AQUATIC,아쿠아틱,15,0.0828,0.8433,2,0.604,1.0,True
D2 최대균형,3,WOODY,우디,24,0.1301,0.7454,4,0.614,0.875,True
D2 최대균형,3,AMBER,앰버·스파이시,25,0.1089,0.4662,5,0.381,1.0,False
D2 최대균형,3,GOURMAND,구르망,25,0.1319,0.9066,4,0.495,0.76,True
D2 최대균형,3,MUSK,머스크·파우더리,25,0.1762,0.3542,9,1.17,0.84,False
D2 최대균형,4,CITRUS,시트러스,24,0.1264,0.9263,3,0.31,0.875,True
D2 최대균형,4,FRUITY,프루티,14,0.0464,0.9304,2,0.158,0.9286,True
D2 최대균형,4,FLORAL,플로럴,24,0.052,0.9254,2,0.273,0.7917,True
D2 최대균형,4,GREEN,그린·아로마틱,24,0.1632,0.7377,2,0.38,1.0,True
D2 최대균형,4,AQUATIC,아쿠아틱,15,0.0807,0.3638,3,0.613,1.0,False
D2 최대균형,4,WOODY,우디,24,0.123,0.7655,5,0.576,0.7917,True
D2 최대균형,4,AMBER,앰버·스파이시,25,0.0964,0.4752,4,0.389,0.84,False
D2 최대균형,4,GOURMAND,구르망,25,0.1444,0.8817,4,0.463,0.8,True
D2 최대균형,4,MUSK,머스크·파우더리,25,0.1675,0.4502,10,1.076,0.88,False
