composition,fragrantica_id,x,y,family,korea_rank
D1 cap30,18,5.411460876464844,-1.291661024093628,GREEN,33
D1 cap30,56077,1.6419470310211182,-0.9495238661766052,GREEN,34
D1 cap30,46187,4.20025110244751,1.2351282835006714,WOODY,35
D1 cap30,68578,-1.0543899536132812,0.4052245020866394,FLORAL,36
D1 cap30,27040,-2.4788219928741455,-1.427496075630188,FLORAL,37
D1 cap30,52359,-0.7495638728141785,-0.24548083543777466,FLORAL,38
D1 cap30,29165,0.4385931193828583,-0.6321372389793396,FRUITY,39
D1 cap30,12201,4.300623416900635,1.668217420578003,WOODY,40
D1 cap30,9405,-1.1114863157272339,0.24955955147743225,FLORAL,41
D1 cap30,64167,4.92133903503418,1.5550225973129272,WOODY,42
D1 cap30,131985,-2.187600612640381,-0.5240622758865356,FLORAL,43
D1 cap30,10314,-0.5335261821746826,-0.5398141145706177,FLORAL,44
D1 cap30,653,0.19306515157222748,-0.6653282046318054,FRUITY,45
D1 cap30,3779,-0.08137024939060211,-0.5999892950057983,FRUITY,46
D1 cap30,536,-1.7259464263916016,0.13713198900222778,FLORAL,47
D1 cap30,68416,-2.2990291118621826,-0.7326745986938477,FLORAL,48
D1 cap30,632,-1.4109337329864502,-0.008732408285140991,FLORAL,49
D1 cap30,44894,-1.6319594383239746,0.4777394235134125,FLORAL,50
D1 cap30,3575,5.611690521240234,1.155401349067688,AMBER,51
D1 cap30,12310,-0.8695688247680664,-1.4757745265960693,MUSK,52
D1 cap30,38914,0.726259171962738,-0.48926109075546265,FRUITY,53
D1 cap30,73661,-0.26319119334220886,-1.1163978576660156,AQUATIC,54
D1 cap30,50384,1.0933605432510376,0.6972973942756653,GOURMAND,55
D1 cap30,17798,-1.6691993474960327,0.3237137496471405,FLORAL,56
D1 cap30,56076,-1.402766466140747,0.5586612820625305,FLORAL,57
D1 cap30,5484,-1.2322020530700684,-0.213548481464386,FLORAL,58
D1 cap30,5585,5.317713737487793,-0.6755825281143188,GREEN,59
D1 cap30,109563,6.277733325958252,0.1575973927974701,GREEN,60
D1 cap30,42944,4.513336658477783,-2.3048458099365234,FLORAL,61
D1 cap30,75642,-1.580284595489502,0.44620639085769653,FLORAL,62
D1 cap30,11784,6.444974422454834,1.1196925640106201,GREEN,63
D1 cap30,25836,-0.7158248424530029,-0.1549331098794937,FLORAL,64
D1 cap30,275,6.143954753875732,-0.6223589181900024,GREEN,65
D1 cap30,108962,6.4328694343566895,1.099700927734375,GOURMAND,66
D1 cap30,23032,5.726393699645996,-1.3552494049072266,MUSK,67
D1 cap30,10464,3.1696486473083496,1.8783087730407715,AMBER,68
D1 cap30,18767,-1.5638105869293213,-0.11667322367429733,FLORAL,69
D1 cap30,72062,4.395782947540283,-2.2161784172058105,CITRUS,70
D1 cap30,72606,-1.365055799484253,0.10291549563407898,FLORAL,71
D1 cap30,31861,5.6681952476501465,0.5698480010032654,AMBER,72
D1 cap30,79437,6.076085090637207,-1.1666285991668701,AQUATIC,73
D1 cap30,52002,5.387880325317383,0.610493540763855,AMBER,74
D1 cap30,12426,1.6506739854812622,1.3049697875976562,GOURMAND,75
D1 cap30,2271,4.572898864746094,-2.532513380050659,CITRUS,76
D1 cap30,3865,4.033938407897949,-0.1630219668149948,GOURMAND,77
D1 cap30,5534,4.440956115722656,-2.0015947818756104,CITRUS,78
D1 cap30,644,4.4335856437683105,-1.3496782779693604,CITRUS,79
D1 cap30,2186,1.6024818420410156,1.2227754592895508,GOURMAND,80
D1 cap30,92647,4.321386814117432,-1.6276215314865112,CITRUS,81
D1 cap30,65792,6.506874084472656,-0.5331070423126221,AMBER,82
D1 cap30,96192,-2.2986745834350586,-1.5331413745880127,FLORAL,83
D1 cap30,39181,6.195933818817139,1.2673152685165405,GOURMAND,84
D1 cap30,53671,6.8348212242126465,-2.1847193241119385,AQUATIC,85
D1 cap30,64022,6.386873722076416,-0.9552724361419678,GREEN,86
D1 cap30,37603,1.958006739616394,1.6936705112457275,GOURMAND,87
D1 cap30,74740,4.910915374755859,0.1788015067577362,AMBER,88
D1 cap30,45029,6.139052391052246,-1.1080067157745361,GREEN,89
