system,short,population,family,family_ko,fragrantica_id,brand,name,top1,family_mass_ratio
S9,9,korea200,WOODY,우디,109564,Sennok,Slow September,0.5351,1.0
S9,9,korea200,WOODY,우디,85144,Essential Parfums,Patchouli Mania,0.5176,1.0
S9,9,korea200,WOODY,우디,32523,Mercedes-Benz,Mercedes Benz Man,0.4962,1.0
S9,9,korea200,WOODY,우디,890,Ralph Lauren,Polo,0.4751,1.0
S9,9,korea200,AMBER,앰버·스파이시,57088,Essential Parfums,Divine Vanille,0.5631,1.0
S9,9,korea200,AMBER,앰버·스파이시,115749,BMW Fragrances,BMW M 2025,0.5225,1.0
S9,9,korea200,AMBER,앰버·스파이시,106299,BMW Fragrances,Amberness,0.4585,1.0
S9,9,korea200,AMBER,앰버·스파이시,10464,Frederic Malle,Portrait of a Lady,0.4553,1.0
S9,9,korea200,AMBER,앰버·스파이시,76893,Mancera,Tonka Cola,0.4295,1.0
S9,9,korea200,GOURMAND,구르망,50384,Ariana Grande,Cloud,0.8046,1.0
S9,9,korea200,GOURMAND,구르망,76824,Sabrina Carpenter,Sweet Tooth,0.7428,1.0
S9,9,korea200,GOURMAND,구르망,56741,Ariana Grande,"Thank U, Next",0.7306,1.0
S9,9,korea200,GOURMAND,구르망,2186,Montale,Chocolate Greedy,0.6387,1.0
S9,9,korea200,GOURMAND,구르망,42782,Mancera,Coco Vanille,0.6245,1.0
S9,9,korea200,MUSK,머스크·파우더리,93865,SW19,Midnight,0.5583,0.9129
S9,9,korea200,MUSK,머스크·파우더리,109565,Sennok,Soap Clean Soap,0.5429,0.8495
S9,9,korea200,MUSK,머스크·파우더리,50790,Essential Parfums,The Musc,0.4838,1.0
S9,9,korea200,MUSK,머스크·파우더리,124051,Postes,From.Saint-Tropez,0.4791,1.0
S9,9,korea200,MUSK,머스크·파우더리,131717,Diptyque,Fleur de Peau,0.467,0.915
S8A,8A,korea200,CITRUS,시트러스,92647,Versace,Eros Energy,0.5556,0.9326
