source,source_rank,ranking_basis,ranking_updated_at,source_product_id,brand_raw,product_name_raw,package_info_raw,price_raw,commerce_price_raw,review_count,review_rating,is_rank_new,rank_delta,collected_at,source_file,har_entry_index
hwahae,41,카테고리별 랭킹,2026-09-03T05:00:00,1769749,샤넬,샹스 오 비브 오 드 뚜왈렛,50ml,166000,,26,4.46,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,42,카테고리별 랭킹,2026-09-03T05:00:00,1793593,랑콤,미라클 오 드 퍼퓸,30ml,121000,,190,4.21,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,43,카테고리별 랭킹,2026-09-03T05:00:00,1822873,톰포드,네롤리 포르토피노 EDP,50ml,395000,,24,4.5,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,44,카테고리별 랭킹,2026-09-03T05:00:00,1829140,랑방,모던 프린세스 오 센슈얼 EDT,30ml,55000,,86,4.49,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,45,카테고리별 랭킹,2026-09-03T05:00:00,1888447,에르메스,운 자르뎅 수르닐 오 드 뚜왈렛,100ml,195000,,56,4.5,false,4,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,46,카테고리별 랭킹,2026-09-03T05:00:00,1855131,입생로랑뷰티,리브르 오 드 빠르펭,30ml,155000,,118,4.3,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,47,카테고리별 랭킹,2026-09-03T05:00:00,1818814,조말론,잉글리쉬 오크 앤 헤이즐넛 코롱,30ml,110000,,14,4.86,false,-3,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,48,카테고리별 랭킹,2026-09-03T05:00:00,2034103,구찌,플로라 오 드 퍼퓸 [골저스가드니아],50ml,174000,,13,4.77,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,49,카테고리별 랭킹,2026-09-03T05:00:00,2025129,바이레도,모하비 고스트 오 드 퍼퓸,50ml,280000,,17,4.35,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,50,카테고리별 랭킹,2026-09-03T05:00:00,1899298,샤넬,샹스 오 땅드르 오 드 빠르펭,35ml,126000,,39,4.67,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,51,카테고리별 랭킹,2026-09-03T05:00:00,1994200,샤넬,N°1 드 샤넬 레드 까멜리아 향수,100ml,176000,,14,4.64,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,52,카테고리별 랭킹,2026-09-03T05:00:00,1739435,지미추,블러썸 EDP,40ml,84000,,362,4.38,false,1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,53,카테고리별 랭킹,2026-09-03T05:00:00,1872402,르라보,상탈 33 EDP,50ml,310000,,35,4.4,false,-1,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,54,카테고리별 랭킹,2026-09-03T05:00:00,14061,랑방,메리미 EDP,30ml,76000,,448,4.06,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,55,카테고리별 랭킹,2026-09-03T05:00:00,1879931,이솝,로즈 오 드 퍼퓸,50 mL,225000,,21,4.43,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,56,카테고리별 랭킹,2026-09-03T05:00:00,1979676,헉슬리,퍼퓸 [모로칸가드너],15ml,48000,,45,4.47,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
hwahae,57,카테고리별 랭킹,2026-09-03T05:00:00,2014190,조말론,잉글리쉬 페어 앤 프리지아 코롱,30ml,110000,,49,4.45,false,0,2026-09-06,data/korea_popularity/raw/hwahae_perfume_top100_20260906.har,122
