candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_14dda770b229,Byredo,집시 워터,1,True,65.0,ci_71ebbf36734f,,,,0.0
cf_5e9d99f27ffb,Jo Malone London,와일드 블루벨 코롱,1,True,66.0,ci_d9f02e55e685,,,,0.0
cf_01231600cef1,Yves Saint Laurent,리브르,1,True,67.0,ci_967f46658c28,,,,0.0
cf_8a3690690360,Yves Saint Laurent,몽 파리 오 드 빠르펭,1,True,69.0,ci_62d910c73aef,,,,0.0
cf_2027fb0162e7,Santa Maria Novella,피렌체 1221 에디션 엔 디 피렌체,1,True,70.0,ci_f3536fc87e94,,,,0.0
cf_a094fe7c469e,Acqua di Parma,피코 디 아말피 오 드 뜨왈렛,1,True,71.0,ci_9d1a7b03ec31,,,,0.0
cf_e20b7de59620,Byredo,인플로레센스,1,True,73.0,ci_e482bce17fd1,,,,0.0
cf_15d99b2d4944,Santa Maria Novella,피렌체 1221 에디션 로사 가데니아,1,True,74.0,ci_c1af0ea0301d,,,,0.0
cf_f6869d2f2b84,Chanel,가브리엘 에쌍스 오 드 빠르펭,1,True,75.0,ci_32a3c5eeb16c,,,,0.0
cf_67527e4ddf87,Jo Malone London,레드 로즈 코롱,1,True,76.0,ci_dd74e4775403,,,,0.0
cf_189de37b3cbf,Jo Malone London,라임 바질 앤 만다린 코롱,1,True,77.0,ci_df148be1ae47,,,,0.0
cf_b4d525abf050,Coach,,1,True,80.0,ci_b942e480720e,,,,0.0
cf_f9d644db143d,Dior,쟈도르 도,1,True,81.0,ci_86e8202df97e,,,,0.0
cf_1539227f449e,Burberry,마이,1,True,85.0,ci_87b915f533b7,,,,0.0
cf_d7c71863f6fa,Tamburins,에그 펌키니,1,True,87.0,ci_5ca8c2d44a98,,,,0.0
cf_2eb5e493e1c9,Mebelic,케라,1,True,89.0,ci_518dbc0d2ea8,,,,0.0
cf_53f3d1ce5dbb,Frederic Malle,포트레이트 오브 어 레이디,1,True,90.0,ci_d06dbb3cb628,,,,0.0
cf_3794a0001b76,Jo Malone London,피오니 앤 블러쉬 스웨이드 코롱,1,True,91.0,ci_b56d0e0e5a5c,,,,0.0
cf_f61f2952cf10,데일리콤마,모스트 텐더파리,1,True,92.0,ci_7ed1d1421ae9,,,,0.0
cf_dca202496e69,Dior,옴므 코롱,1,True,93.0,ci_3c6a890dddda,,,,0.0
cf_40c7e0c40ad2,Yves Saint Laurent,몽파리 루미에르,1,True,94.0,ci_8f843e5cde59,,,,0.0
cf_5332645e5574,Dior,소바쥬,1,True,95.0,ci_9b8e78586ef0,,,,0.0
cf_e327faabe8de,Jo Malone London,얼 그레이 앤 큐컴버 코롱,1,True,96.0,ci_8911952ed170,,,,0.0
cf_e104d3135daa,Prada,캔디,1,True,98.0,ci_1ccb7bd24c2a,,,,0.0
cf_feda2e4ffcba,Lanvin,루머2 로즈,1,True,99.0,ci_44a09a59b93d,,,,0.0
cf_e7216fa01447,Versace,브라이트 크리스탈,1,False,,ci_72b3ebd6097d,35.0,,8.0,0.025232198142414862
cf_63abeaf62f0d,Versace,오프레쉬 맨,2,False,,ci_8798439946b7|ci_2349a2481b25,,186.0,15.0,0.017398373983739838
cf_c0947df60c34,무신사 스탠다드 뷰티,무신사 스탠다드 애프터 샤워,1,False,,ci_e58baaff7634,1.0,,,0.01639344262295082
cf_87fc92bc9c61,Grès,카보틴,1,False,,ci_497721463d61,,,1.0,0.01639344262295082
cf_7d5e61646e83,Montale,초콜릿 그리디,1,False,,ci_1788671841a1,,,2.0,0.016129032258064516
cf_dc7d8a66b49c,Forment,박지훈 시그니처 코튼허그,1,False,,ci_e2bbb1d18103,,3.0,,0.015873015873015872
cf_26bab507d9e7,Versace,에로스 에너지,1,False,,ci_76232424e429,,,3.0,0.015873015873015872
cf_ce6fb528ab60,Jaguar,클래식 일렉트릭 스카이,1,False,,ci_759aaa61d109,,,4.0,0.015625
cf_d46605f5252d,Lalique,솔레이 루나,1,False,,ci_1a909149b802,,,5.0,0.015384615384615385
cf_24344e7d2727,무신사 스탠다드 뷰티,Gen G Chovy,1,False,,ci_1eb4b6619fa0,6.0,,,0.015151515151515152
cf_8422258c2ea9,Mancera,오드 레몬 민트,1,False,,ci_5ce232d05e65,,,6.0,0.015151515151515152
cf_7e16920873b1,무신사 스탠다드 뷰티,노홍철 럭키 가이 실행력,1,False,,ci_ea3b2620a699,7.0,,,0.014925373134328358
cf_c5bc8737d82c,Parfums Berdoues,그랑크뤼 아주르 리비에라,1,False,,ci_2f9d3332dc12,,,7.0,0.014925373134328358
cf_eb3077ce8cde,무신사 스탠다드 뷰티,무신사 스탠다드 시어,1,False,,ci_d97a8f66f9f2,8.0,,,0.014705882352941176
cf_8b638eabd45a,Banana Republic,메탈레인,1,False,,ci_36159d40c5bd,,,9.0,0.014492753623188406
