fragrantica_id,family_key,weight,rank
95642,WOODY,0.3475,2
50790,MUSK,0.4838,1
50786,WOODY,0.3316,1
50786,CITRUS,0.2487,2
121230,GREEN,0.372,1
121230,FRUITY,0.2439,2
3024,CITRUS,0.2695,1
3024,AQUATIC,0.2615,2
73092,WOODY,0.2564,1
106299,AMBER,0.4585,1
106299,GREEN,0.2591,2
31436,GREEN,0.3688,1
31436,CITRUS,0.3322,2
890,WOODY,0.4751,1
890,GREEN,0.306,2
72796,WOODY,0.3475,1
72796,MUSK,0.2534,2
98468,CITRUS,0.3436,1
98468,AMBER,0.2577,2
59392,GOURMAND,0.3203,1
60320,FLORAL,0.3693,1
54885,AMBER,0.3225,1
54885,MUSK,0.2576,2
122211,MUSK,0.4305,1
122211,FLORAL,0.4278,2
10728,FLORAL,0.2468,1
76893,AMBER,0.4295,1
76893,FRUITY,0.2484,2
94718,WOODY,0.3774,1
94718,GREEN,0.2642,2
115749,AMBER,0.5225,1
115749,GREEN,0.3045,2
109565,MUSK,0.5429,1
109565,FLORAL,0.4,2
75731,CITRUS,0.3257,1
75731,GOURMAND,0.2476,2
4849,FLORAL,0.4298,1
4849,MUSK,0.2829,2
42782,GOURMAND,0.6245,1
16657,GREEN,0.3646,1
122669,GOURMAND,0.3047,1
122669,FLORAL,0.276,2
76824,GOURMAND,0.7428,1
42670,CITRUS,0.3425,1
18042,FLORAL,0.4751,1
99134,AMBER,0.2657,1
74636,AQUATIC,0.3129,1
1198,AQUATIC,0.4413,1
1198,GREEN,0.3333,2
4023,WOODY,0.2994,1
43531,GREEN,0.5358,1
129391,MUSK,0.3112,1
123059,FLORAL,0.2,1
69742,FLORAL,0.2953,1
50789,FLORAL,0.3292,1
50789,CITRUS,0.2475,2
6420,FLORAL,0.457,1
3172,AMBER,0.2496,1
64015,FLORAL,0.3128,1
64015,GOURMAND,0.2933,2
1924,FLORAL,0.3717,1
16931,FLORAL,0.5438,1
115747,WOODY,0.4566,1
115746,GREEN,0.2732,1
115746,CITRUS,0.2568,2
95035,GOURMAND,0.5385,1
95035,FRUITY,0.3077,2
50225,FLORAL,0.3614,1
37602,FLORAL,0.3632,1
75969,GOURMAND,0.6027,1
64093,MUSK,0.4081,1
64093,FLORAL,0.3053,2
109564,WOODY,0.5351,1
95156,GOURMAND,0.2964,1
95156,WOODY,0.2896,2
31247,WOODY,0.3088,1
31247,AMBER,0.2898,2
1000,FLORAL,0.3853,1
103276,FLORAL,0.2844,1
103276,WOODY,0.2634,2
111273,FLORAL,0.4228,1
111273,GOURMAND,0.3705,2
57088,AMBER,0.5631,1
57088,GOURMAND,0.3014,2
50787,FLORAL,0.379,1
72,FLORAL,0.4201,1
72,MUSK,0.2881,2
50788,GREEN,0.4298,1
50788,WOODY,0.3582,2
68367,FRUITY,0.2725,1
815,AQUATIC,0.2738,1
815,MUSK,0.251,2
85144,WOODY,0.5176,1
90834,FLORAL,0.4483,1
57384,GOURMAND,0.3732,1
57384,AMBER,0.284,2
46623,CITRUS,0.3846,1
46623,GREEN,0.2962,2
108587,AQUATIC,0.3612,1
108587,GOURMAND,0.2777,2
108587,FRUITY,0.2693,3
84224,CITRUS,0.2364,1
39761,GOURMAND,0.592,1
70985,AQUATIC,0.3743,1
70985,WOODY,0.3101,2
52180,CITRUS,0.25,1
72381,FRUITY,0.439,1
485,CITRUS,0.3215,1
116224,FLORAL,0.3447,1
116224,WOODY,0.3319,2
116224,MUSK,0.3234,3
45711,FLORAL,0.6314,1
103564,WOODY,0.2711,1
103564,CITRUS,0.2632,2
103564,AMBER,0.2553,3
63829,FLORAL,0.4777,1
69281,WOODY,0.3101,1
69281,GREEN,0.2903,2
89712,GOURMAND,0.2642,1
89712,AMBER,0.2487,2
54785,AMBER,0.3838,1
47891,AQUATIC,0.4698,1
48434,WOODY,0.4288,1
64092,GREEN,0.4703,1
64092,AMBER,0.2755,2
62372,FLORAL,0.3594,1
74739,FLORAL,0.3578,1
120743,WOODY,0.4316,1
120743,MUSK,0.2871,2
120743,FLORAL,0.2813,3
32523,WOODY,0.4962,1
49827,FLORAL,0.4316,1
124051,MUSK,0.4791,1
46300,MUSK,0.2861,1
46300,FRUITY,0.2725,2
21547,FLORAL,0.3646,1
104123,MUSK,0.2495,1
132011,CITRUS,0.3125,1
132011,GREEN,0.2969,2
114281,MUSK,0.2215,1
114188,CITRUS,0.2217,1
98469,FLORAL,0.3561,1
98469,CITRUS,0.273,2
