fragrantica_id,accord_name,strength,rank
276,powdery,38,3
276,woody,37,4
276,white floral,34,5
276,fresh,33,6
276,aromatic,33,7
276,fresh spicy,26,8
1483,woody,100,1
1483,citrus,96,2
1483,aromatic,46,3
1483,floral,36,4
1483,musky,33,5
1483,powdery,33,6
1483,earthy,29,7
1483,white floral,25,8
56741,sweet,100,1
56741,coconut,50,2
56741,fruity,41,3
56741,vanilla,30,4
56741,rose,21,5
56741,almond,20,6
56741,musky,18,7
56741,lactonic,17,8
1360,woody,100,1
1360,aldehydic,98,2
1360,fresh,85,3
1360,white floral,83,4
1360,yellow floral,77,5
1360,vanilla,58,6
1360,sweet,50,7
1360,rose,45,8
131717,musky,100,1
131717,powdery,91,2
131717,aldehydic,52,3
131717,iris,52,4
131717,woody,45,5
131717,floral,40,6
131717,fresh,38,7
131717,earthy,29,8
607,citrus,100,1
607,aromatic,55,2
607,vanilla,53,3
607,aldehydic,52,4
607,marine,46,5
607,sweet,40,6
607,fresh spicy,34,7
607,fresh,31,8
39970,sweet,100,1
39970,fruity,67,2
39970,vanilla,60,3
39970,powdery,33,4
39970,lactonic,23,5
39970,white floral,15,6
39970,floral,15,7
39970,citrus,13,8
31661,sweet,100,1
31661,fruity,64,2
31661,powdery,42,3
31661,citrus,23,4
31661,rose,18,5
31661,floral,16,6
31661,musky,14,7
31661,fresh,14,8
611,citrus,100,1
611,woody,47,2
611,patchouli,46,3
611,sweet,45,4
611,white floral,42,5
611,rose,33,6
611,earthy,27,7
611,vanilla,26,8
30796,citrus,100,1
30796,woody,32,2
30796,powdery,24,3
30796,white floral,24,4
30796,fresh spicy,23,5
30796,aromatic,22,6
30796,musky,22,7
30796,fresh,18,8
184,floral,100,1
184,fresh spicy,79,2
184,citrus,56,3
184,fruity,54,4
184,fresh,45,5
184,tropical,35,6
184,white floral,25,7
184,musky,25,8
12192,citrus,100,1
12192,white floral,59,2
12192,aromatic,32,3
12192,fresh spicy,31,4
12192,floral,16,5
12192,fresh,16,6
12192,sweet,13,7
12192,amber,11,8
48478,citrus,100,1
48478,powdery,59,2
48478,fruity,57,3
48478,musky,52,4
48478,floral,52,5
48478,white floral,49,6
48478,sweet,48,7
48478,fresh,47,8
18,citrus,100,1
18,aromatic,79,2
18,floral,68,3
18,fresh spicy,63,4
18,green,56,5
18,fruity,49,6
18,tropical,48,7
18,powdery,45,8
56077,white floral,100,1
56077,citrus,73,2
56077,lavender,65,3
56077,vanilla,49,4
56077,aromatic,39,5
56077,sweet,37,6
56077,powdery,33,7
56077,animalic,32,8
46187,woody,100,1
46187,nutty,28,2
46187,aromatic,13,3
46187,earthy,9,4
46187,powdery,7,5
46187,sweet,6,6
46187,almond,3,7
68578,white floral,100,1
68578,floral,73,2
68578,sweet,66,3
68578,fruity,54,4
68578,lactonic,33,5
68578,patchouli,33,6
68578,citrus,29,7
68578,fresh,28,8
27040,floral,100,1
27040,woody,72,2
27040,powdery,71,3
27040,violet,56,4
27040,musky,50,5
27040,fruity,38,6
27040,amber,28,7
27040,citrus,22,8
52359,rose,100,1
52359,citrus,89,2
52359,fruity,89,3
52359,musky,86,4
52359,floral,86,5
52359,sweet,75,6
52359,white floral,57,7
52359,powdery,43,8
29165,fruity,100,1
29165,sweet,78,2
29165,rose,33,3
29165,fresh,30,4
29165,floral,29,5
29165,citrus,26,6
29165,sour,15,7
29165,musky,15,8
12201,woody,100,1
12201,powdery,52,2
12201,leather,42,3
12201,warm spicy,37,4
12201,violet,29,5
12201,iris,19,6
12201,aromatic,17,7
12201,animalic,16,8
9405,floral,100,1
9405,citrus,74,2
9405,white floral,70,3
9405,fruity,39,4
9405,rose,25,5
9405,fresh,25,6
9405,powdery,25,7
9405,musky,22,8
64167,woody,100,1
64167,aromatic,64,2
64167,rose,63,3
64167,green,38,4
