fragrantica_id,accord_name,strength,rank
103276,aromatic,48,4
103276,earthy,40,5
103276,balsamic,35,6
103276,green,30,7
103276,violet,22,8
111273,vanilla,100,1
111273,rose,81,2
111273,white floral,73,3
111273,sweet,56,4
111273,citrus,41,5
111273,amber,27,6
111273,floral,24,7
111273,powdery,19,8
57088,vanilla,100,1
57088,warm spicy,84,2
57088,amber,76,3
57088,cinnamon,42,4
57088,balsamic,39,5
57088,aromatic,30,6
57088,sweet,29,7
57088,powdery,28,8
50787,rose,100,1
50787,vanilla,47,2
50787,citrus,47,3
50787,fruity,35,4
50787,aromatic,31,5
50787,floral,30,6
50787,tropical,30,7
50787,fresh spicy,23,8
72,powdery,100,1
72,floral,84,2
72,violet,80,3
72,rose,62,4
72,amber,57,5
72,musky,55,6
72,vanilla,55,7
72,sweet,45,8
50788,aromatic,100,1
50788,woody,91,2
50788,citrus,40,3
50788,fresh spicy,34,4
50788,earthy,34,5
50788,green,18,6
50788,lavender,17,7
50788,herbal,15,8
68367,fruity,100,1
68367,sweet,86,2
68367,woody,57,3
68367,powdery,47,4
68367,musky,26,5
68367,floral,20,6
68367,white floral,16,7
68367,earthy,15,8
815,fresh spicy,100,1
815,ozonic,83,2
815,musky,81,3
815,aquatic,61,4
815,woody,59,5
815,aromatic,57,6
815,powdery,51,7
815,green,34,8
85144,woody,100,1
85144,patchouli,64,2
85144,warm spicy,53,3
85144,earthy,42,4
85144,aromatic,41,5
85144,nutty,33,6
85144,green,33,7
85144,balsamic,32,8
90834,white floral,100,1
90834,citrus,44,2
90834,fresh spicy,32,3
90834,fresh,25,4
90834,woody,25,5
90834,warm spicy,22,6
90834,aromatic,21,7
90834,floral,17,8
57384,sweet,100,1
57384,vanilla,84,2
57384,amber,80,3
57384,oud,61,4
57384,warm spicy,60,5
57384,rose,51,6
57384,musky,31,7
57384,metallic,26,8
46623,citrus,100,1
46623,aromatic,41,2
46623,fresh spicy,40,3
46623,herbal,22,4
46623,woody,18,5
46623,green,14,6
46623,sweet,13,7
46623,fruity,12,8
108587,sweet,100,1
108587,ozonic,92,2
108587,aquatic,81,3
108587,fruity,73,4
108587,tropical,56,5
108587,fresh,48,6
108587,floral,44,7
108587,caramel,33,8
84224,citrus,100,1
84224,fruity,58,2
84224,musky,52,3
84224,sweet,52,4
84224,woody,47,5
84224,fresh spicy,43,6
84224,white floral,38,7
84224,powdery,33,8
39761,sweet,100,1
39761,fruity,54,2
39761,honey,35,3
39761,green,30,4
39761,caramel,13,5
39761,floral,11,6
39761,animalic,4,7
39761,sour,3,8
70985,aquatic,100,1
70985,woody,55,2
70985,green,51,3
70985,ozonic,34,4
70985,rose,33,5
70985,aromatic,29,6
70985,earthy,28,7
70985,mossy,28,8
52180,citrus,100,1
52180,fresh spicy,59,2
52180,vanilla,58,3
52180,aromatic,57,4
52180,woody,47,5
52180,warm spicy,33,6
52180,sweet,23,7
52180,powdery,23,8
72381,fruity,100,1
72381,tropical,80,2
72381,sweet,73,3
72381,citrus,50,4
72381,fresh,42,5
72381,woody,39,6
72381,fresh spicy,38,7
72381,musky,30,8
485,citrus,100,1
485,woody,64,2
485,fresh,47,3
485,fruity,41,4
485,aromatic,34,5
485,musky,28,6
485,powdery,24,7
485,green,20,8
116224,powdery,100,1
116224,woody,85,2
116224,iris,80,3
116224,violet,54,4
116224,musky,52,5
116224,oud,39,6
116224,earthy,32,7
116224,floral,28,8
45711,rose,100,1
45711,floral,73,2
45711,fresh,53,3
45711,musky,30,4
45711,fruity,23,5
45711,tropical,20,6
45711,powdery,15,7
45711,woody,13,8
103564,citrus,100,1
103564,woody,75,2
103564,fresh spicy,57,3
103564,fresh,45,4
103564,aromatic,42,5
103564,warm spicy,40,6
103564,green,38,7
103564,earthy,28,8
63829,floral,100,1
63829,rose,93,2
63829,musky,67,3
63829,fresh,63,4
63829,citrus,51,5
63829,soft spicy,39,6
63829,sweet,29,7
63829,powdery,25,8
69281,woody,100,1
69281,aromatic,78,2
69281,herbal,68,3
69281,earthy,56,4
69281,warm spicy,55,5
69281,ozonic,50,6
69281,citrus,49,7
69281,fresh spicy,47,8
89712,woody,100,1
89712,amber,98,2
89712,sweet,93,3
89712,citrus,75,4
89712,vanilla,60,5
89712,powdery,57,6
89712,fruity,50,7
89712,fresh spicy,46,8
54785,vanilla,100,1
54785,warm spicy,88,2
54785,woody,82,3
54785,fresh spicy,80,4
54785,citrus,65,5
54785,powdery,61,6
54785,amber,55,7
54785,aromatic,50,8
47891,marine,100,1
47891,aromatic,81,2
47891,aldehydic,44,3
47891,aquatic,42,4
47891,woody,38,5
47891,fresh,35,6
47891,amber,30,7
47891,salty,29,8
48434,woody,100,1
48434,citrus,90,2
48434,fruity,79,3
48434,mossy,77,4
48434,earthy,67,5
48434,floral,64,6
48434,sweet,52,7
48434,powdery,40,8
64092,green,100,1
64092,fresh spicy,85,2
64092,aromatic,70,3
64092,ozonic,39,4
64092,citrus,39,5
64092,soft spicy,31,6
64092,aquatic,29,7
64092,anis,28,8
62372,rose,100,1
62372,citrus,77,2
62372,woody,55,3
62372,fruity,52,4
62372,floral,38,5
62372,amber,27,6
62372,sweet,22,7
62372,soft spicy,13,8
74739,white floral,100,1
74739,fruity,62,2
74739,sweet,50,3
74739,woody,50,4
74739,tuberose,46,5
74739,citrus,35,6
74739,green,33,7
74739,vanilla,32,8
120743,rose,100,1
120743,musky,99,2
120743,earthy,89,3
120743,woody,57,4
120743,powdery,50,5
120743,floral,46,6
120743,patchouli,44,7
120743,mossy,34,8
32523,woody,100,1
32523,mossy,57,2
32523,fruity,48,3
32523,aromatic,42,4
32523,sweet,41,5
32523,earthy,40,6
32523,musky,35,7
32523,fresh spicy,34,8
49827,white floral,100,1
49827,floral,86,2
49827,citrus,81,3
49827,musky,40,4
49827,sweet,36,5
49827,fresh spicy,31,6
49827,fruity,29,7
49827,aromatic,28,8
124051,musky,100,1
124051,powdery,83,2
124051,citrus,50,3
124051,sweet,38,4
124051,yellow floral,36,5
124051,aromatic,33,6
124051,vanilla,22,7
124051,amber,20,8
46300,fruity,100,1
46300,musky,55,2
46300,powdery,50,3
46300,rose,47,4
46300,sweet,43,5
46300,iris,28,6
46300,patchouli,22,7
46300,citrus,22,8
21547,floral,100,1
21547,fruity,60,2
21547,fresh,50,3
21547,sweet,46,4
21547,woody,43,5
21547,citrus,43,6
21547,aquatic,38,7
21547,rose,32,8
104123,fruity,100,1
104123,sweet,88,2
104123,musky,79,3
104123,white floral,63,4
104123,woody,40,5
104123,powdery,39,6
104123,floral,34,7
104123,earthy,30,8
132011,citrus,100,1
132011,aromatic,50,2
132011,fresh spicy,40,3
132011,white floral,33,4
132011,floral,30,5
132011,herbal,23,6
132011,amber,22,7
132011,lavender,22,8
114281,woody,100,1
114281,aromatic,88,2
114281,musky,63,3
114281,white floral,63,4
114281,fresh spicy,50,5
114281,powdery,44,6
114281,vanilla,44,7
114281,amber,31,8
114188,citrus,100,1
114188,fruity,84,2
114188,woody,75,3
114188,floral,54,4
114188,sweet,39,5
114188,aromatic,38,6
114188,herbal,31,7
114188,green,30,8
98469,white floral,100,1
98469,citrus,92,2
98469,soft spicy,44,3
98469,fresh spicy,28,4
98469,floral,20,5
98469,musky,19,6
98469,aromatic,18,7
98469,sweet,16,8
