condition,seed,family,family_ko,signal,contributors,area_share,largest_blob_share,pieces,weighted_coverage,spread,has_territory
0.30 (T1),2,CITRUS,시트러스,8.54,26,0.108,0.9959,1,0.8743,0.271,True
0.30 (T1),2,FRUITY,프루티,2.93,9,0.0369,0.7024,2,0.895,0.159,True
0.30 (T1),2,FLORAL,플로럴,29.06,67,0.2818,0.8956,4,0.8037,0.51,True
0.30 (T1),2,GREEN,그린·아로마틱,9.34,26,0.1525,0.7151,2,0.7593,0.468,True
0.30 (T1),2,AQUATIC,아쿠아틱,4.41,12,0.052,0.7511,2,0.6278,0.511,True
0.30 (T1),2,WOODY,우디,10.92,28,0.1385,1.0,1,0.7194,0.481,True
0.30 (T1),2,AMBER,앰버·스파이시,5.27,14,0.0783,0.9888,1,0.8453,0.34,True
0.30 (T1),2,GOURMAND,구르망,10.68,23,0.0689,0.8344,2,0.7949,0.346,True
0.30 (T1),2,MUSK,머스크·파우더리,8.57,23,0.0832,0.7493,4,0.8646,0.653,True
0.30 (T1),3,CITRUS,시트러스,8.54,26,0.0988,1.0,1,0.7911,0.222,True
0.30 (T1),3,FRUITY,프루티,2.93,9,0.0301,0.916,2,0.895,0.13,True
0.30 (T1),3,FLORAL,플로럴,29.06,67,0.2686,0.8683,3,0.8024,0.471,True
0.30 (T1),3,GREEN,그린·아로마틱,9.34,26,0.1445,0.6995,2,0.7951,0.432,True
0.30 (T1),3,AQUATIC,아쿠아틱,4.41,12,0.0724,0.781,3,0.938,0.568,True
0.30 (T1),3,WOODY,우디,10.92,28,0.1427,0.9179,4,0.7246,0.445,True
0.30 (T1),3,AMBER,앰버·스파이시,5.27,14,0.0786,0.9942,1,0.8342,0.311,True
0.30 (T1),3,GOURMAND,구르망,10.68,23,0.0915,0.8668,2,0.7664,0.338,True
0.30 (T1),3,MUSK,머스크·파우더리,8.57,23,0.0728,0.8707,4,0.7817,0.732,True
0.30 (T1),4,CITRUS,시트러스,8.54,26,0.1038,0.9946,1,0.8743,0.282,True
0.30 (T1),4,FRUITY,프루티,2.93,9,0.041,0.7347,2,0.895,0.191,True
0.30 (T1),4,FLORAL,플로럴,29.06,67,0.2921,0.9121,3,0.7837,0.52,True
0.30 (T1),4,GREEN,그린·아로마틱,9.34,26,0.1476,1.0,1,0.7016,0.46,True
0.30 (T1),4,AQUATIC,아쿠아틱,4.41,12,0.0569,0.8382,2,0.737,0.487,True
0.30 (T1),4,WOODY,우디,10.92,28,0.1462,0.9294,2,0.7874,0.561,True
0.30 (T1),4,AMBER,앰버·스파이시,5.27,14,0.0703,1.0,1,0.8342,0.338,True
