accord,perfume_count,perfume_share,strength_observation_count,mean_strength,median_strength,strength_std
coca-cola,90,0.0006821799439096491,90,76.41111111111111,80.0,22.530914290490568
vodka,87,0.000659440612445994,87,57.206896551724135,54.0,21.622751922764973
paper,58,0.00043962707496399605,58,49.86206896551724,43.0,24.82590990509579
clay,43,0.0003259304176457212,43,65.25581395348837,68.0,24.74436090163783
plastic,39,0.0002956113090275146,39,62.0,68.0,31.154700842976887
vinyl,37,0.0002804517547184113,37,64.1891891891892,61.0,27.862439929088143
asphault,29,0.00021981353748199803,29,51.89655172413793,49.0,21.427254361879964
gasoline,25,0.00018949442886379142,25,37.56,34.0,20.081991933072775
rubber,21,0.00015917532024558478,21,53.285714285714285,50.0,22.97854663468029
milky,20,0.0001515955430910331,20,50.6,45.5,25.62498780487515
industrial glue,12,9.095732585461987e-05,12,57.416666666666664,50.0,28.432546882441294
hot iron,10,7.579777154551656e-05,10,37.5,32.0,26.249761903682096
sake,9,6.82179943909649e-05,9,50.333333333333336,44.0,21.8377858055456
spice,8,6.063821723641325e-05,8,52.125,50.5,23.5448375445659
bacon,7,5.305844008186159e-05,7,74.57142857142857,100.0,29.654472767224185
varnish,5,3.789888577275828e-05,5,33.6,19.0,30.72848841059384
Pear,4,3.0319108618206625e-05,4,83.0,100.0,29.444863728670914
meat,4,3.0319108618206625e-05,4,75.25,76.0,24.772716847370617
bbq,3,2.273933146365497e-05,3,79.66666666666667,77.0,15.62761089297472
tennis ball,3,2.273933146365497e-05,3,96.66666666666667,100.0,4.714045207910316
wet plaster,2,1.5159554309103312e-05,2,71.5,71.5,28.5
brown scotch tape,1,7.579777154551656e-06,1,93.0,93.0,0.0
foresty,1,7.579777154551656e-06,1,44.0,44.0,0.0
