fragrantica_id,brand,name,SetA,SetB,SetC
30567,Nishane,Wulóng Chá,Fresh,CITRUS,c2
8339,John Varvatos,Artisan Black,UNCLASSIFIED,CITRUS,c2
54976,Rance 1795,Désirée,Fresh,FLORAL,c2
104985,Dolce&Gabbana,Light Blue Eau de Toilette,Floral,CITRUS,c2
87956,Rance 1795,Mathilde,Floral,FLORAL,c6
95642,Issey Miyake,Le Sel d’Issey,Woody,AQUATIC,c4
50790,Essential Parfums,The Musc,Woody,MUSK,c3
50786,Essential Parfums,Orange X Santal,Fresh,WOODY,c2
121230,Elizabeth Arden,Green Tea Strawberry Basil,Fresh,GREEN,c1
3024,Clean,Clean Warm Cotton,Floral,CITRUS,c2
73092,Essential Parfums,Fig Infusion,UNCLASSIFIED,WOODY,c1
106299,BMW Fragrances,Amberness,Woody,AMBER,c2
31436,Parfums Berdoues,Assam of India,Fresh,GREEN,c2
890,Ralph Lauren,Polo,Woody,WOODY,c2
72796,Mancera,Intense Cedrat Boise,Amber,WOODY,c0
98468,Adidas,Spark Up,Amber,CITRUS,c2
59392,Banana Republic,Dark Cherry & Amber,Floral,GOURMAND,c1
60320,Replay,Signature Lovers for Woman,Amber,FLORAL,c1
54885,Mancera,Instant Crush,Amber,AMBER,c0
122211,Narciso Rodriguez,Pure Musc Blanc For Her,Floral,MUSK,c6
10728,Rance 1795,Helene,Floral,FLORAL,c1
76893,Mancera,Tonka Cola,Amber,AMBER,c5
94718,Kenneth Cole,Mankind Rise,Woody,WOODY,c0
115749,BMW Fragrances,BMW M 2025,Fresh,AMBER,c0
109565,Sennok,Soap Clean Soap,UNCLASSIFIED,MUSK,c6
75731,Mancera,Fabulous Yuzu,Amber,CITRUS,c2
4849,Philosophy,Amazing Grace,Floral,FLORAL,c1
42782,Mancera,Coco Vanille,Amber,GOURMAND,c5
16657,Versace,Eros,Fresh,GREEN,c2
122669,Coach,Coach Cherry,Floral,GOURMAND,c5
76824,Sabrina Carpenter,Sweet Tooth,Floral,GOURMAND,c5
42670,Mancera,Sicily,Fresh,CITRUS,c2
18042,Mancera,Roses Greedy,Floral,FLORAL,c1
99134,Luafee,"Oh, Love",Floral,AMBER,c2
74636,Mancera,French Riviera,Fresh,AQUATIC,c2
1198,Ralph Lauren,Polo Blue,Fresh,AQUATIC,c2
4023,Montblanc,Starwalker,Woody,WOODY,c2
43531,Etat Libre d'Orange,You Or Someone Like You,Fresh,GREEN,c2
129391,Calvin Klein,CK One Night Essence,Woody,MUSK,c0
123059,RboW,Tokyo Fig,UNCLASSIFIED,FLORAL,c1
69742,Lanvin,Sunny Magnolia,Floral,FLORAL,c1
50789,Essential Parfums,Nice Bergamote,Fresh,FLORAL,c2
6420,Rance 1795,Rue Rance Eau De La Couronne,Amber,FLORAL,c1
3172,Rance 1795,Francois Charles,Woody,AMBER,c2
64015,Jimmy Choo,I Want Choo,Amber,FLORAL,c6
1924,Rance 1795,Eugenie,Floral,FLORAL,c1
16931,Lalique,L'Amour,Floral,FLORAL,c6
115747,BMW Fragrances,BMW M  1985,Woody,WOODY,c0
115746,BMW Fragrances,BMW M 1972,Fresh,GREEN,c2
95035,Youssoful,Berry Sexy,Floral,GOURMAND,c5
50225,Banana Republic,Neroli Woods,Fresh,FLORAL,c6
37602,Nishane,Hundred Silent Ways,UNCLASSIFIED,FLORAL,c6
75969,Jimmy Choo,I Want Choo Forever,Floral,GOURMAND,c5
64093,Nishane,Nanshe,Amber,MUSK,c1
109564,Sennok,Slow September,Woody,WOODY,c0
95156,Jimmy Choo,I Want Choo Le Parfum,Floral,GOURMAND,c1
31247,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,Woody,WOODY,c0
1000,Burberry,Weekend for Women,Floral,FLORAL,c1
103276,Essential Parfums,Velvet Iris,Woody,FLORAL,c0
111273,Chloé,Chloé Le Parfum,Amber,FLORAL,c5
57088,Essential Parfums,Divine Vanille,Amber,AMBER,c5
50787,Essential Parfums,Rose Magnetic,Amber,FLORAL,c1
72,Kenzo,Flower by Kenzo,Amber,FLORAL,c1
50788,Essential Parfums,Mon Vetiver,Woody,GREEN,c2
68367,Ariana Grande,Thank U Next 2.0,Floral,FRUITY,c1
815,Burberry,Touch for Men,Woody,AQUATIC,c2
85144,Essential Parfums,Patchouli Mania,Woody,WOODY,c0
90834,Essential Parfums,Néroli Botanica,Fresh,FLORAL,c6
57384,Montale,Arabians Tonka,Amber,GOURMAND,c5
46623,John Varvatos,Artisan Pure,Fresh,CITRUS,c2
108587,Yugen,Inspire,Floral,AQUATIC,c1
84224,Ex Nihilo,Blue Talisman,UNCLASSIFIED,CITRUS,c2
39761,Lush,29 High Street,UNCLASSIFIED,GOURMAND,c5
70985,Maison Martin Margiela,When the Rain Stops,Fresh,AQUATIC,c2
52180,Versace,Eros Flame,Woody,CITRUS,c2
72381,Stéphane Humbert Lucas 777,God of Fire,Amber,FRUITY,c1
485,Dolce&Gabbana,Light Blue,Floral,CITRUS,c2
116224,Nishane,Meant To Be Seen,Woody,FLORAL,c0
45711,Philosophy,Amazing Grace Ballet Rose,Floral,FLORAL,c1
103564,Maison Martin Margiela,Never-ending Summer,Fresh,WOODY,c2
63829,Banana Republic,Peony & Peppercorn,Amber,FLORAL,c1
69281,Bentley,Momentum Unbreakable Eau de Parfum,Floral,WOODY,c2
89712,Jaguar,Jaguar Era Reloaded,UNCLASSIFIED,GOURMAND,c2
54785,Nishane,Ani,Amber,AMBER,c2
47891,Maison Martin Margiela,Sailing Day,UNCLASSIFIED,AQUATIC,c4
48434,Chloé,Nomade,Woody,WOODY,c1
64092,Nishane,EGE / ΑΙΓΑΙΟ,Fresh,GREEN,c2
62372,Chloé,Chloé Rose Tangerine,Floral,FLORAL,c1
74739,Banana Republic,Velvet Pomegranate,Floral,FLORAL,c6
120743,Maison Martin Margiela,Up At Dawn,Floral,WOODY,c1
32523,Mercedes-Benz,Mercedes Benz Man,Fresh,WOODY,c1
49827,Replay,Replay Signature Secret,Floral,FLORAL,c2
124051,Postes,From.Saint-Tropez,UNCLASSIFIED,MUSK,c3
46300,Mancera,Musky Garden,Floral,MUSK,c1
21547,Versace,Bright Crystal Absolu,Floral,FLORAL,c1
104123,Clean,Strawberry Fields,Floral,MUSK,c1
132011,Huxley,Port Breathe,Fresh,CITRUS,c2
114281,Tenui,Bare,UNCLASSIFIED,MUSK,c2
114188,Kuoca,Wild Peach,Floral,CITRUS,c1
98469,Adidas,Happy Feels,Floral,FLORAL,c6
